time,open,high,low,close,vol,time_stamp
1577966400000,1.7976,1.805,1.785,1.7985,128268.14,2020-01-02 12:00:00
1577980800000,1.7983,1.8057,1.7259,1.7322,680570.73,2020-01-02 16:00:00
1577995200000,1.7322,1.7421,1.7065,1.7366,265680.89,2020-01-02 20:00:00
1578009600000,1.7366,1.74,1.7013,1.7295,391069.66,2020-01-03 00:00:00
1578024000000,1.7295,1.7946,1.7293,1.7791,299326.76,2020-01-03 04:00:00
1578038400000,1.7815,1.8267,1.7797,1.8093,327775.35,2020-01-03 08:00:00
1578052800000,1.8105,1.8178,1.7798,1.7965,270607.5,2020-01-03 12:00:00
1578067200000,1.7965,1.8292,1.791,1.8244,314644.06,2020-01-03 16:00:00
1578081600000,1.8234,1.8238,1.7869,1.804,186190.66,2020-01-03 20:00:00
1578096000000,1.803,1.8069,1.784,1.7988,231611.81,2020-01-04 00:00:00
1578110400000,1.7959,1.8078,1.7891,1.8003,113976.0,2020-01-04 04:00:00
1578124800000,1.8001,1.8154,1.7935,1.8019,138978.52,2020-01-04 08:00:00
1578139200000,1.8018,1.8175,1.7882,1.8155,124083.12,2020-01-04 12:00:00
1578153600000,1.8149,1.8446,1.8126,1.826,488472.79,2020-01-04 16:00:00
1578168000000,1.827,1.8345,1.8142,1.8242,144200.57,2020-01-04 20:00:00
1578182400000,1.8243,1.841,1.805,1.8156,452888.68,2020-01-05 00:00:00
1578196800000,1.8159,1.8197,1.7979,1.8124,240286.72,2020-01-05 04:00:00
1578211200000,1.8124,1.8182,1.8047,1.815,90887.55,2020-01-05 08:00:00
1578225600000,1.815,1.84,1.8086,1.834,273705.26,2020-01-05 12:00:00
1578240000000,1.8343,1.8413,1.8187,1.8242,186107.61,2020-01-05 16:00:00
1578254400000,1.8239,1.8251,1.785,1.7957,280841.58,2020-01-05 20:00:00
1578268800000,1.7954,1.8417,1.7925,1.8407,290168.3,2020-01-06 00:00:00
1578283200000,1.8416,1.8465,1.8225,1.8243,259603.04,2020-01-06 04:00:00
1578297600000,1.8243,1.92,1.824,1.8964,1074538.01,2020-01-06 08:00:00
1578312000000,1.8952,1.8989,1.856,1.8775,599767.31,2020-01-06 12:00:00
1578326400000,1.8745,1.9155,1.8699,1.909,459572.95,2020-01-06 16:00:00
1578340800000,1.911,1.9386,1.8995,1.9374,617612.05,2020-01-06 20:00:00
1578355200000,1.9373,1.9594,1.9271,1.934,530625.37,2020-01-07 00:00:00
1578369600000,1.936,1.9445,1.8993,1.9434,374262.37,2020-01-07 04:00:00
1578384000000,1.9434,2.0457,1.9246,2.0145,990960.98,2020-01-07 08:00:00
1578398400000,2.0148,2.0999,2.013,2.0366,2277344.67,2020-01-07 12:00:00
1578412800000,2.0366,2.099,2.0245,2.0549,1337760.2,2020-01-07 16:00:00
1578427200000,2.0525,2.1398,2.0478,2.1033,1362549.8,2020-01-07 20:00:00
1578441600000,2.1006,2.17,2.1006,2.1401,1251519.12,2020-01-08 00:00:00
1578456000000,2.1401,2.33,2.1401,2.2511,2610437.01,2020-01-08 04:00:00
1578470400000,2.2512,2.3495,2.2165,2.3082,2080546.64,2020-01-08 08:00:00
1578484800000,2.3095,2.331,2.205,2.2305,2315289.85,2020-01-08 12:00:00
1578499200000,2.23,2.2775,2.1164,2.1296,2518989.0,2020-01-08 16:00:00
1578513600000,2.1278,2.2261,2.1237,2.1892,1370880.08,2020-01-08 20:00:00
1578528000000,2.1877,2.1924,2.1231,2.1452,1004207.09,2020-01-09 00:00:00
1578542400000,2.1466,2.1589,2.1354,2.1427,363108.34,2020-01-09 04:00:00
1578556800000,2.1466,2.1481,2.0977,2.1285,759138.81,2020-01-09 08:00:00
1578571200000,2.129,2.223,2.1233,2.186,1156048.77,2020-01-09 12:00:00
1578585600000,2.1866,2.226,2.1316,2.2125,877135.86,2020-01-09 16:00:00
1578600000000,2.2128,2.2344,2.145,2.1886,940206.1,2020-01-09 20:00:00
1578614400000,2.1867,2.2489,2.1836,2.2214,841765.82,2020-01-10 00:00:00
1578628800000,2.2216,2.2434,2.1946,2.2137,543205.13,2020-01-10 04:00:00
1578643200000,2.2152,2.23,2.1455,2.2266,986347.33,2020-01-10 08:00:00
1578657600000,2.2264,2.23,2.1681,2.2289,851480.97,2020-01-10 12:00:00
1578672000000,2.2261,2.2377,2.195,2.2221,641508.42,2020-01-10 16:00:00
1578686400000,2.2201,2.234,2.1975,2.2257,371218.36,2020-01-10 20:00:00
1578700800000,2.2255,2.312,2.218,2.2701,1089148.66,2020-01-11 00:00:00
1578715200000,2.2709,2.2796,2.2319,2.2573,430691.94,2020-01-11 04:00:00
1578729600000,2.2519,2.2875,2.2352,2.2599,503594.29,2020-01-11 08:00:00
1578744000000,2.2603,2.3398,2.2539,2.32,794564.12,2020-01-11 12:00:00
1578758400000,2.3191,2.345,2.285,2.2968,820594.8,2020-01-11 16:00:00
1578772800000,2.2926,2.3093,2.2613,2.2734,708511.25,2020-01-11 20:00:00
1578787200000,2.273,2.2918,2.2466,2.2649,362254.15,2020-01-12 00:00:00
1578801600000,2.2608,2.3212,2.2591,2.2808,462430.91,2020-01-12 04:00:00
1578816000000,2.2827,2.3035,2.255,2.2557,336032.26,2020-01-12 08:00:00
1578830400000,2.2568,2.2791,2.251,2.267,361077.1,2020-01-12 12:00:00
