time,open,high,low,close,vol,time_stamp
1577966400000,41.4,41.54,41.0,41.17,18965.76392,2020-01-02 12:00:00
1577980800000,41.15,41.25,39.17,39.65,101630.48873,2020-01-02 16:00:00
1577995200000,39.66,39.66,39.3,39.43,28307.90916,2020-01-02 20:00:00
1578009600000,39.44,39.51,38.77,39.39,38123.20085,2020-01-03 00:00:00
1578024000000,39.39,40.83,39.36,40.46,108069.71621,2020-01-03 04:00:00
1578038400000,40.44,42.02,40.42,41.86,111970.7005,2020-01-03 08:00:00
1578052800000,41.86,42.24,41.38,41.75,75126.22925,2020-01-03 12:00:00
1578067200000,41.77,42.39,41.42,41.8,64363.05611,2020-01-03 16:00:00
1578081600000,41.8,42.24,41.43,42.23,29118.10384,2020-01-03 20:00:00
1578096000000,42.23,42.29,41.77,42.19,30684.05586,2020-01-04 00:00:00
1578110400000,42.19,42.74,41.94,42.49,51761.45244,2020-01-04 04:00:00
1578124800000,42.47,42.88,42.36,42.51,40902.4811,2020-01-04 08:00:00
1578139200000,42.5,42.53,41.87,42.28,42346.45809,2020-01-04 12:00:00
1578153600000,42.28,42.9,42.04,42.62,60591.76176,2020-01-04 16:00:00
1578168000000,42.62,42.85,42.38,42.78,22528.41893,2020-01-04 20:00:00
1578182400000,42.79,43.3,42.61,43.09,54113.49995,2020-01-05 00:00:00
1578196800000,43.08,43.27,42.75,43.09,24991.75666,2020-01-05 04:00:00
1578211200000,43.07,43.14,42.6,42.96,30793.16826,2020-01-05 08:00:00
1578225600000,42.98,44.33,42.91,44.01,69408.90249,2020-01-05 12:00:00
1578240000000,44.01,44.61,43.76,43.98,65534.36701,2020-01-05 16:00:00
1578254400000,43.97,44.02,43.03,43.3,47123.15521,2020-01-05 20:00:00
1578268800000,43.29,44.6,43.16,44.37,91503.44665,2020-01-06 00:00:00
1578283200000,44.37,44.58,44.16,44.35,30447.78234,2020-01-06 04:00:00
1578297600000,44.35,45.37,44.33,44.84,60386.87516,2020-01-06 08:00:00
1578312000000,44.86,45.22,44.0,44.08,79670.31268,2020-01-06 12:00:00
1578326400000,44.07,45.18,43.95,44.9,48781.65828,2020-01-06 16:00:00
1578340800000,44.89,46.08,44.87,45.8,74140.91579,2020-01-06 20:00:00
1578355200000,45.8,46.22,45.17,45.22,80511.22329,2020-01-07 00:00:00
1578369600000,45.24,45.55,44.69,45.51,51854.21719,2020-01-07 04:00:00
1578384000000,45.5,45.76,45.08,45.46,38953.53,2020-01-07 08:00:00
1578398400000,45.46,45.51,44.48,44.94,84609.36998,2020-01-07 12:00:00
1578412800000,44.94,47.03,44.7,46.33,186309.02601,2020-01-07 16:00:00
1578427200000,46.33,46.68,45.77,46.3,51609.73885,2020-01-07 20:00:00
1578441600000,46.3,48.54,46.28,47.66,135084.22255,2020-01-08 00:00:00
1578456000000,47.68,48.19,47.46,47.58,43184.78974,2020-01-08 04:00:00
1578470400000,47.59,48.0,47.26,47.68,47255.62762,2020-01-08 08:00:00
1578484800000,47.69,47.92,46.3,46.77,129755.75867,2020-01-08 12:00:00
1578499200000,46.76,46.97,44.0,44.58,209302.61822,2020-01-08 16:00:00
1578513600000,44.59,45.57,44.28,45.35,63467.66758,2020-01-08 20:00:00
1578528000000,45.35,45.79,44.89,45.23,46648.87247,2020-01-09 00:00:00
1578542400000,45.21,45.57,45.01,45.33,36020.25588,2020-01-09 04:00:00
1578556800000,45.34,45.41,44.85,45.01,32861.00915,2020-01-09 08:00:00
1578571200000,45.0,45.44,44.94,45.18,22436.58133,2020-01-09 12:00:00
1578585600000,45.17,45.36,43.9,44.65,89818.23494,2020-01-09 16:00:00
1578600000000,44.65,45.3,44.06,44.74,68436.70315,2020-01-09 20:00:00
1578614400000,44.75,45.09,44.42,44.69,23727.35437,2020-01-10 00:00:00
1578628800000,44.69,44.71,44.11,44.44,19625.78929,2020-01-10 04:00:00
1578643200000,44.45,45.52,43.71,45.31,71153.70622,2020-01-10 08:00:00
1578657600000,45.31,48.85,45.1,48.72,212949.89915,2020-01-10 12:00:00
1578672000000,48.71,49.72,47.24,49.0,274738.764,2020-01-10 16:00:00
1578686400000,48.99,49.46,47.98,49.06,127607.60988,2020-01-10 20:00:00
1578700800000,49.06,49.9,48.52,48.94,123104.44133,2020-01-11 00:00:00
1578715200000,48.94,49.75,48.1,48.91,99266.346,2020-01-11 04:00:00
1578729600000,48.91,49.45,47.77,48.19,72998.07633,2020-01-11 08:00:00
1578744000000,48.19,50.99,48.07,50.49,103455.31876,2020-01-11 12:00:00
1578758400000,50.5,51.95,50.01,51.24,168400.82388,2020-01-11 16:00:00
1578772800000,51.23,51.56,49.15,49.3,114759.46022,2020-01-11 20:00:00
1578787200000,49.32,51.75,48.78,50.8,148274.40807,2020-01-12 00:00:00
1578801600000,50.79,51.43,50.38,51.0,91624.81517,2020-01-12 04:00:00
1578816000000,51.0,51.36,49.84,50.17,78433.16342,2020-01-12 08:00:00
1578830400000,50.17,51.16,49.92,50.8,78119.69294,2020-01-12 12:00:00
1578844800000,50.8,51.07,49.97,50.14,78006.84127,2020-01-12 16:00:00
1578859200000,50.15,51.51,50.11,51.43,59124.53721,2020-01-12 20:00:00
1578873600000,51.44,51.6,49.65,49.73,94364.50742,2020-01-13 00:00:00
1578888000000,49.76,50.12,49.5,49.89,43719.04057,2020-01-13 04:00:00
1578902400000,49.89,50.83,49.66,50.05,80554.29883,2020-01-13 08:00:00
1578916800000,50.05,50.17,48.91,49.34,72480.59563,2020-01-13 12:00:00
1578931200000,49.34,49.88,49.1,49.71,58412.97361,2020-01-13 16:00:00
1578945600000,49.71,50.05,49.47,49.6,32561.53967,2020-01-13 20:00:00
1578960000000,49.59,54.1,49.58,53.73,183384.96745,2020-01-14 00:00:00
1578974400000,53.74,54.1,53.07,53.43,88205.96182,2020-01-14 04:00:00
1578988800000,53.43,54.77,53.23,54.33,89299.34669,2020-01-14 08:00:00
1579003200000,54.32,57.79,53.6,56.84,288661.53487,2020-01-14 12:00:00
1579017600000,56.83,60.8,54.21,58.41,435437.00046,2020-01-14 16:00:00
1579032000000,58.35,59.59,56.75,58.39,147547.54235,2020-01-14 20:00:00
1579046400000,58.37,60.33,57.34,58.1,207211.55122,2020-01-15 00:00:00
1579060800000,58.07,58.31,55.28,56.91,117196.75105,2020-01-15 04:00:00
1579075200000,56.95,59.12,56.72,57.76,96419.21368,2020-01-15 08:00:00
1579089600000,57.76,59.69,56.73,56.86,143963.90638,2020-01-15 12:00:00
1579104000000,56.85,58.1,56.35,57.47,84531.99986,2020-01-15 16:00:00
1579118400000,57.47,59.27,57.3,58.16,71046.2197,2020-01-15 20:00:00
1579132800000,58.17,58.5,54.5,55.49,124606.83926,2020-01-16 00:00:00
1579147200000,55.49,56.74,55.28,55.85,52913.37104,2020-01-16 04:00:00
1579161600000,55.85,56.71,55.43,56.59,63895.17531,2020-01-16 08:00:00
1579176000000,56.6,57.34,55.85,56.78,77053.71644,2020-01-16 12:00:00
1579190400000,56.79,58.47,56.09,57.66,101308.45961,2020-01-16 16:00:00
1579204800000,57.66,58.14,57.24,57.56,58213.63996,2020-01-16 20:00:00
1579219200000,57.56,59.08,56.72,58.27,81207.41467,2020-01-17 00:00:00
1579233600000,58.27,60.59,58.01,60.0,157247.16015,2020-01-17 04:00:00
1579248000000,60.03,60.66,59.41,59.6,106029.03672,2020-01-17 08:00:00
1579262400000,59.6,59.93,58.07,59.86,84241.11699,2020-01-17 12:00:00
1579276800000,59.86,63.26,59.59,61.26,250108.22715,2020-01-17 16:00:00
1579291200000,61.28,62.68,60.53,61.02,88681.54755,2020-01-17 20:00:00
1579305600000,61.05,62.5,60.77,61.34,72604.2791,2020-01-18 00:00:00
1579320000000,61.35,61.35,58.04,59.36,99100.10871,2020-01-18 04:00:00
1579334400000,59.33,60.62,59.02,59.74,53271.90384,2020-01-18 08:00:00
1579348800000,59.75,61.78,59.0,59.41,118538.68888,2020-01-18 12:00:00
1579363200000,59.4,60.28,57.9,59.68,104183.54447,2020-01-18 16:00:00
1579377600000,59.7,60.54,59.18,59.32,50905.32403,2020-01-18 20:00:00
1579392000000,59.29,62.55,58.86,61.07,150827.57967,2020-01-19 00:00:00
1579406400000,61.07,61.56,60.6,61.13,40448.84032,2020-01-19 04:00:00
