time,open,high,low,close,vol,time_stamp
1603828800000,406.17,406.69,401.27,403.45,93944.48067,2020-10-27 20:00:00
1603843200000,403.41,409.2,402.42,405.79,115032.52316,2020-10-28 00:00:00
1603857600000,405.8,407.21,394.23,396.93,130311.79798,2020-10-28 04:00:00
1603872000000,396.91,398.6,386.5,386.86,190800.74257,2020-10-28 08:00:00
1603886400000,386.81,392.0,380.52,387.54,216950.51748,2020-10-28 12:00:00
1603900800000,387.54,387.74,380.64,384.69,134779.10137,2020-10-28 16:00:00
1603915200000,384.71,390.15,382.52,388.23,67400.78626,2020-10-28 20:00:00
1603929600000,388.22,392.0,386.36,391.98,76203.96243,2020-10-29 00:00:00
1603944000000,391.98,392.27,386.86,387.21,68256.87738,2020-10-29 04:00:00
1603958400000,387.2,388.79,383.03,383.07,89738.58564,2020-10-29 08:00:00
1603972800000,383.08,392.68,380.52,390.68,155930.02191,2020-10-29 12:00:00
1603987200000,390.71,393.72,386.39,388.51,106422.04017,2020-10-29 16:00:00
1604001600000,388.5,389.84,383.46,387.13,76544.52663,2020-10-29 20:00:00
1604016000000,387.12,391.97,383.28,385.0,123119.40855,2020-10-30 00:00:00
1604030400000,385.0,386.63,375.06,378.72,220486.51947,2020-10-30 04:00:00
1604044800000,378.76,384.19,373.29,379.44,166000.87229,2020-10-30 08:00:00
1604059200000,379.44,382.36,376.87,382.17,121947.64214,2020-10-30 12:00:00
1604073600000,382.15,383.98,379.66,383.18,83810.97662,2020-10-30 16:00:00
1604088000000,383.14,384.78,381.17,382.49,56385.32839,2020-10-30 20:00:00
1604102400000,382.59,387.86,379.9,382.94,71764.35942,2020-10-31 00:00:00
1604116800000,382.93,385.39,380.93,384.03,40286.11438,2020-10-31 04:00:00
1604131200000,384.03,394.88,383.93,390.32,154912.24468,2020-10-31 08:00:00
1604145600000,390.31,393.12,387.21,390.1,86499.98091,2020-10-31 12:00:00
1604160000000,390.09,391.35,384.1,385.51,73387.98632,2020-10-31 16:00:00
1604174400000,385.51,388.66,384.69,386.46,40603.12479,2020-10-31 20:00:00
1604188800000,386.44,390.65,384.61,386.29,63025.8001,2020-11-01 00:00:00
1604203200000,386.29,389.03,384.64,388.94,45920.09329,2020-11-01 04:00:00
1604217600000,388.96,389.41,385.74,386.74,54332.10511,2020-11-01 08:00:00
1604232000000,386.75,390.2,386.1,388.42,87021.16737,2020-11-01 12:00:00
1604246400000,388.41,390.25,387.94,388.95,44060.49739,2020-11-01 16:00:00
1604260800000,388.91,398.29,388.85,396.67,144593.29239,2020-11-01 20:00:00
1604275200000,396.68,404.5,396.44,399.09,161151.04884,2020-11-02 00:00:00
