time,open,high,low,close,vol,time_stamp
1603828800000,33.87,34.5,33.2,34.205,11921.168,2020-10-27 20:00:00
1603843200000,34.272,34.7,32.7,33.013,21924.908,2020-10-28 00:00:00
1603857600000,33.051,33.3,30.291,30.986,36682.002,2020-10-28 04:00:00
1603872000000,31.056,31.903,30.601,31.074,30919.799,2020-10-28 08:00:00
1603886400000,31.144,32.051,30.503,31.627,21008.234,2020-10-28 12:00:00
1603900800000,31.559,31.789,30.947,31.335,6794.729,2020-10-28 16:00:00
1603915200000,31.35,31.697,30.476,31.658,5125.551,2020-10-28 20:00:00
1603929600000,31.654,32.787,31.524,32.411,6851.345,2020-10-29 00:00:00
1603944000000,32.466,32.636,30.795,30.846,10723.176,2020-10-29 04:00:00
1603958400000,30.847,31.045,29.512,29.656,12860.005,2020-10-29 08:00:00
1603972800000,29.552,30.8,28.78,30.131,29170.081,2020-10-29 12:00:00
1603987200000,30.133,30.989,29.861,29.861,13550.243,2020-10-29 16:00:00
1604001600000,29.811,30.299,29.662,29.946,4283.163,2020-10-29 20:00:00
1604016000000,29.947,30.178,28.5,28.597,8824.796,2020-10-30 00:00:00
1604030400000,28.619,29.02,28.032,28.463,13925.023,2020-10-30 04:00:00
1604044800000,28.55,29.09,27.941,28.39,15641.144,2020-10-30 08:00:00
1604059200000,28.386,30.583,28.275,28.857,16231.108,2020-10-30 12:00:00
1604073600000,28.951,29.542,28.588,29.308,3841.339,2020-10-30 16:00:00
1604088000000,29.31,29.788,29.063,29.64,2233.781,2020-10-30 20:00:00
1604102400000,29.632,31.062,29.247,30.219,10567.769,2020-10-31 00:00:00
1604116800000,30.22,30.372,29.348,29.757,6681.864,2020-10-31 04:00:00
1604131200000,29.811,31.094,29.756,30.748,12295.149,2020-10-31 08:00:00
1604145600000,30.879,31.094,30.263,31.023,3907.982,2020-10-31 12:00:00
1604160000000,31.016,31.413,30.221,30.5,4832.236,2020-10-31 16:00:00
1604174400000,30.368,30.656,30.233,30.46,2340.979,2020-10-31 20:00:00
1604188800000,30.466,30.532,29.828,30.005,6170.471,2020-11-01 00:00:00
1604203200000,30.031,30.54,29.936,30.417,4149.19,2020-11-01 04:00:00
1604217600000,30.428,31.205,29.962,30.728,6329.908,2020-11-01 08:00:00
1604232000000,30.731,32.4,30.731,32.389,15448.587,2020-11-01 12:00:00
1604246400000,32.306,32.774,31.895,32.125,7031.63,2020-11-01 16:00:00
1604260800000,32.098,33.1,31.853,32.215,9252.405,2020-11-01 20:00:00
1604275200000,32.215,32.564,31.233,31.33,8853.858,2020-11-02 00:00:00
1604289600000,31.322,31.516,31.175,31.423,4399.673,2020-11-02 04:00:00
1604304000000,31.459,31.476,29.85,30.072,14499.184,2020-11-02 08:00:00
1604318400000,30.0,31.045,29.31,30.045,22104.776,2020-11-02 12:00:00
1604332800000,29.982,30.11,29.621,30.072,1861.563,2020-11-02 16:00:00
1604347200000,30.08,30.5,29.95,29.99,5262.945,2020-11-02 20:00:00
1604361600000,29.98,30.862,29.444,29.539,13096.052,2020-11-03 00:00:00
1604376000000,29.418,29.586,28.645,29.157,12711.644,2020-11-03 04:00:00
1604390400000,29.146,29.609,28.986,29.227,5202.077,2020-11-03 08:00:00
1604404800000,29.264,29.428,28.354,28.37,13765.839,2020-11-03 12:00:00
1604419200000,28.37,28.654,27.632,28.493,8116.49,2020-11-03 16:00:00
1604433600000,28.472,29.054,27.965,29.012,4591.974,2020-11-03 20:00:00
1604448000000,29.011,29.054,28.345,28.425,4996.766,2020-11-04 00:00:00
1604462400000,28.55,28.966,27.826,28.363,5295.702,2020-11-04 04:00:00
1604476800000,28.303,29.675,28.183,28.706,6708.487,2020-11-04 08:00:00
1604491200000,28.635,28.727,27.482,27.702,10908.256,2020-11-04 12:00:00
1604505600000,27.711,29.3,27.636,28.891,9209.329,2020-11-04 16:00:00
1604520000000,28.921,29.0,28.512,28.654,2446.251,2020-11-04 20:00:00
1604534400000,28.666,28.84,28.451,28.684,4186.158,2020-11-05 00:00:00
1604548800000,28.693,29.977,28.685,29.166,6494.955,2020-11-05 04:00:00
1604563200000,29.132,29.8,28.685,29.258,6007.478,2020-11-05 08:00:00
1604577600000,29.297,30.264,29.023,30.196,14751.041,2020-11-05 12:00:00
1604592000000,30.239,31.464,30.01,30.244,10936.63,2020-11-05 16:00:00
1604606400000,30.242,30.542,29.902,30.133,3406.302,2020-11-05 20:00:00
1604620800000,30.119,33.33,30.047,31.474,34515.289,2020-11-06 00:00:00
1604635200000,31.473,33.138,31.292,32.958,10882.574,2020-11-06 04:00:00
1604649600000,32.958,33.495,32.152,33.042,15067.952,2020-11-06 08:00:00
1604664000000,33.019,33.584,31.899,32.099,17054.351,2020-11-06 12:00:00
1604678400000,32.116,32.777,31.945,32.0,5608.423,2020-11-06 16:00:00
1604692800000,32.026,33.187,31.6,32.891,6480.565,2020-11-06 20:00:00
1604707200000,32.914,34.416,32.914,33.519,19062.926,2020-11-07 00:00:00
1604721600000,33.506,34.092,32.971,33.319,13808.904,2020-11-07 04:00:00
1604736000000,33.438,34.75,32.301,34.291,16445.823,2020-11-07 08:00:00
1604750400000,34.287,35.4,30.784,32.234,42897.6,2020-11-07 12:00:00
1604764800000,32.234,32.524,29.55,30.246,19692.596,2020-11-07 16:00:00
1604779200000,30.307,31.675,29.523,31.314,6824.906,2020-11-07 20:00:00
1604793600000,31.256,32.175,30.521,31.123,11544.05,2020-11-08 00:00:00
1604808000000,31.146,31.921,31.037,31.133,4212.322,2020-11-08 04:00:00
1604822400000,31.2,32.38,30.927,32.38,8174.172,2020-11-08 08:00:00
1604836800000,32.38,33.712,32.211,33.04,12468.859,2020-11-08 12:00:00
1604851200000,33.174,33.5,32.586,33.09,6736.946,2020-11-08 16:00:00
1604865600000,33.073,33.347,32.1,32.895,4634.761,2020-11-08 20:00:00
1604880000000,32.967,33.87,32.611,33.472,6843.617,2020-11-09 00:00:00
1604894400000,33.472,33.562,32.397,32.585,6119.129,2020-11-09 04:00:00
1604908800000,32.544,34.29,32.29,34.2,9540.962,2020-11-09 08:00:00
1604923200000,34.13,34.13,31.951,32.069,20761.687,2020-11-09 12:00:00
1604937600000,32.033,33.791,31.835,33.791,5674.577,2020-11-09 16:00:00
1604952000000,33.71,34.498,32.787,33.015,21373.334,2020-11-09 20:00:00
1604966400000,33.056,33.534,32.586,33.266,7665.2,2020-11-10 00:00:00
1604980800000,33.245,33.876,33.02,33.298,4184.246,2020-11-10 04:00:00
1604995200000,33.314,34.048,32.883,33.416,10362.924,2020-11-10 08:00:00
1605009600000,33.427,33.827,32.815,32.901,11359.085,2020-11-10 12:00:00
1605024000000,32.903,36.7,32.876,35.499,40063.95,2020-11-10 16:00:00
1605038400000,35.556,36.068,34.372,35.192,20125.888,2020-11-10 20:00:00
1605052800000,35.2,37.0,34.774,35.862,43669.269,2020-11-11 00:00:00
1605067200000,35.864,37.8,35.7,36.43,26335.161,2020-11-11 04:00:00
1605081600000,36.43,37.171,35.407,36.241,19390.478,2020-11-11 08:00:00
1605096000000,36.335,36.599,35.1,36.599,16948.779,2020-11-11 12:00:00
1605110400000,36.532,37.454,35.721,35.928,12703.001,2020-11-11 16:00:00
1605124800000,35.919,36.645,35.191,35.607,11637.589,2020-11-11 20:00:00
1605139200000,35.669,37.0,35.021,36.028,13223.769,2020-11-12 00:00:00
1605153600000,35.965,37.454,35.835,37.454,11386.139,2020-11-12 04:00:00
1605168000000,37.454,38.951,36.8,37.995,34289.073,2020-11-12 08:00:00
1605182400000,37.953,39.8,37.176,37.81,20533.928,2020-11-12 12:00:00
1605196800000,37.787,37.787,36.68,37.256,14910.427,2020-11-12 16:00:00
1605211200000,37.255,38.4,37.083,38.153,7388.719,2020-11-12 20:00:00
1605225600000,38.156,38.665,37.748,37.975,11025.222,2020-11-13 00:00:00
1605240000000,37.946,38.3,37.183,37.835,10838.056,2020-11-13 04:00:00
1605254400000,37.751,39.444,37.6,38.704,14235.548,2020-11-13 08:00:00
1605268800000,38.755,39.09,38.4,38.555,13618.073,2020-11-13 12:00:00
1605283200000,38.577,38.953,38.0,38.3,9674.642,2020-11-13 16:00:00
1605297600000,38.313,38.999,38.017,38.565,4956.076,2020-11-13 20:00:00
1605312000000,38.641,38.762,37.729,37.925,10095.39,2020-11-14 00:00:00
1605326400000,37.973,37.973,36.277,36.997,21530.132,2020-11-14 04:00:00
1605340800000,36.983,37.107,35.501,36.626,13783.635,2020-11-14 08:00:00
1605355200000,36.562,37.218,36.295,36.738,6796.222,2020-11-14 12:00:00
1605369600000,36.705,37.142,36.1,36.58,10910.043,2020-11-14 16:00:00
1605384000000,36.577,37.2,36.28,36.954,3728.423,2020-11-14 20:00:00
1605398400000,36.987,37.83,36.712,37.043,11199.45,2020-11-15 00:00:00
1605412800000,37.036,37.341,36.457,36.998,10724.159,2020-11-15 04:00:00
1605427200000,36.998,37.141,35.201,35.269,22943.169,2020-11-15 08:00:00
1605441600000,35.269,36.247,35.12,36.054,8925.724,2020-11-15 12:00:00
1605456000000,36.13,36.393,34.929,35.152,11549.619,2020-11-15 16:00:00
1605470400000,35.056,35.603,34.1,35.411,9404.324,2020-11-15 20:00:00
1605484800000,35.353,35.353,34.2,35.184,10267.075,2020-11-16 00:00:00
1605499200000,35.191,36.5,35.161,36.371,7022.739,2020-11-16 04:00:00
1605513600000,36.425,37.0,36.088,36.344,11151.773,2020-11-16 08:00:00
1605528000000,36.336,36.76,36.2,36.317,9515.225,2020-11-16 12:00:00
1605542400000,36.402,36.94,35.401,35.648,14359.166,2020-11-16 16:00:00
1605556800000,35.6,36.653,35.239,36.183,7767.706,2020-11-16 20:00:00
1605571200000,36.129,36.769,35.726,35.773,12055.106,2020-11-17 00:00:00
1605585600000,35.773,38.658,35.763,38.122,24604.921,2020-11-17 04:00:00
1605600000000,38.122,38.275,37.163,37.38,9142.693,2020-11-17 08:00:00
1605614400000,37.519,38.3,37.001,37.368,9328.292,2020-11-17 12:00:00
1605628800000,37.379,38.054,37.01,37.846,12202.264,2020-11-17 16:00:00
1605643200000,37.755,38.4,37.367,38.146,11879.062,2020-11-17 20:00:00
1605657600000,38.116,38.422,37.162,37.506,12091.476,2020-11-18 00:00:00
1605672000000,37.516,37.8,35.52,36.114,25635.741,2020-11-18 04:00:00
1605686400000,36.256,36.669,35.601,36.192,10622.826,2020-11-18 08:00:00
1605700800000,36.174,36.39,34.0,35.066,20942.901,2020-11-18 12:00:00
1605715200000,35.115,35.526,34.744,35.136,7241.84,2020-11-18 16:00:00
