time,open,high,low,close,vol,time_stamp
1513123200000,272.0,288.0,272.0,276.0,130.86075,2017-12-13 00:00:00
1513137600000,276.0,330.0,269.99,287.0,1506.96699,2017-12-13 04:00:00
1513152000000,287.0,290.0,270.26,280.0,672.31643,2017-12-13 08:00:00
1513166400000,280.0,325.0,280.0,297.0,3008.31026,2017-12-13 12:00:00
1513180800000,294.07,301.63,260.0,288.88,2572.76189,2017-12-13 16:00:00
1513195200000,288.88,307.89,276.0,290.01,1673.94387,2017-12-13 20:00:00
1513209600000,290.01,302.72,283.99,288.11,1227.39573,2017-12-14 00:00:00
1513224000000,288.11,295.0,280.0,283.04,1144.52954,2017-12-14 04:00:00
1513238400000,288.5,294.99,280.0,285.0,1017.50971,2017-12-14 08:00:00
1513252800000,287.88,288.8,252.0,275.01,2945.81856,2017-12-14 12:00:00
1513267200000,275.01,278.7,257.01,263.99,1767.31258,2017-12-14 16:00:00
1513281600000,263.99,280.0,263.0,272.4,1529.4177,2017-12-14 20:00:00
1513296000000,272.4,275.96,239.99,268.94,2876.4004,2017-12-15 00:00:00
1513310400000,269.2,280.18,262.03,264.99,1270.40101,2017-12-15 04:00:00
1513324800000,264.99,272.0,241.0,260.03,2845.45329,2017-12-15 08:00:00
1513339200000,261.0,312.0,258.0,305.5,5212.1039,2017-12-15 12:00:00
1513353600000,305.5,314.21,290.0,303.2,2652.82927,2017-12-15 16:00:00
1513368000000,303.2,310.0,291.0,294.0,1722.59448,2017-12-15 20:00:00
1513382400000,294.0,305.0,290.0,292.49,974.78581,2017-12-16 00:00:00
1513396800000,292.49,299.85,290.02,293.04,882.83574,2017-12-16 04:00:00
1513411200000,293.04,303.9,291.21,303.2,1410.17119,2017-12-16 08:00:00
1513425600000,303.2,305.0,285.0,287.0,1812.83107,2017-12-16 12:00:00
1513440000000,290.75,297.87,285.01,286.02,2058.0285,2017-12-16 16:00:00
1513454400000,286.02,295.8,286.0,293.97,1963.44774,2017-12-16 20:00:00
1513468800000,293.01,327.0,290.0,311.0,4783.14038,2017-12-17 00:00:00
1513483200000,311.0,328.8,307.0,321.12,2878.79708,2017-12-17 04:00:00
1513497600000,321.12,323.41,311.06,319.0,1560.31432,2017-12-17 08:00:00
1513512000000,319.0,319.97,309.0,316.0,1568.05336,2017-12-17 12:00:00
1513526400000,316.0,320.0,309.05,318.4,2094.71736,2017-12-17 16:00:00
1513540800000,318.6,320.75,308.21,311.4,1797.23868,2017-12-17 20:00:00
1513555200000,311.23,315.93,277.0,304.25,5319.75344,2017-12-18 00:00:00
1513569600000,305.0,314.99,304.08,307.27,1210.06143,2017-12-18 04:00:00
1513584000000,306.87,325.98,306.86,322.55,1722.3722,2017-12-18 08:00:00
1513598400000,322.66,322.66,304.38,313.0,2540.34717,2017-12-18 12:00:00
1513612800000,312.0,325.0,310.01,321.0,2261.6068,2017-12-18 16:00:00
1513627200000,321.02,360.96,321.01,352.0,4155.92033,2017-12-18 20:00:00
1513641600000,352.0,356.35,337.52,351.0,3279.90225,2017-12-19 00:00:00
1513656000000,354.5,366.96,351.0,354.25,2954.5886,2017-12-19 04:00:00
1513670400000,354.43,359.0,303.01,331.0,5369.33009,2017-12-19 08:00:00
1513684800000,330.0,348.41,313.0,331.53,3997.19394,2017-12-19 12:00:00
1513699200000,331.53,355.59,329.88,346.01,3158.12585,2017-12-19 16:00:00
1513713600000,348.79,348.79,321.0,338.48,4431.18469,2017-12-19 20:00:00
1513728000000,336.05,338.47,260.0,318.98,10759.50326,2017-12-20 00:00:00
1513742400000,318.98,332.98,300.01,316.0,3779.69098,2017-12-20 04:00:00
1513756800000,316.0,328.34,312.07,321.37,2918.37543,2017-12-20 08:00:00
1513771200000,321.36,357.0,305.21,307.19,5554.17109,2017-12-20 12:00:00
1513785600000,307.19,319.73,296.1,316.0,4621.0092,2017-12-20 16:00:00
1513800000000,314.19,316.0,293.0,302.7,3954.01715,2017-12-20 20:00:00
1513814400000,303.8,319.49,301.11,317.0,3571.04747,2017-12-21 00:00:00
1513828800000,317.0,325.16,308.0,317.78,3625.06549,2017-12-21 04:00:00
1513843200000,317.77,317.92,304.01,311.43,2159.80665,2017-12-21 08:00:00
1513857600000,311.43,313.2,267.01,268.3,7816.17858,2017-12-21 12:00:00
1513872000000,268.45,292.3,268.45,281.25,5472.07082,2017-12-21 16:00:00
1513886400000,281.23,303.89,275.5,302.0,3567.98929,2017-12-21 20:00:00
1513900800000,303.0,315.0,243.5,260.02,11269.16039,2017-12-22 00:00:00
1513915200000,260.02,291.0,210.28,227.33,10705.88181,2017-12-22 04:00:00
1513929600000,232.0,267.0,216.44,242.8,9289.82143,2017-12-22 08:00:00
1513944000000,242.8,250.91,177.58,233.91,26228.45634,2017-12-22 12:00:00
1513958400000,235.01,254.17,204.01,247.0,12668.19818,2017-12-22 16:00:00
1513972800000,246.06,280.03,235.0,250.99,11071.9061,2017-12-22 20:00:00
1513987200000,250.99,280.0,214.91,277.18,6932.21044,2017-12-23 00:00:00
