time,open,high,low,close,vol,time_stamp
1616297700000,531.1,532.01,529.77,531.85,136.3809,2021-03-21 03:35:00
1616298000000,531.9,531.9,531.55,531.89,86.5389,2021-03-21 03:40:00
1616298300000,531.89,531.96,531.38,531.95,151.36418,2021-03-21 03:45:00
1616298600000,531.96,532.14,531.68,531.97,107.58447,2021-03-21 03:50:00
1616298900000,532.01,532.14,531.81,531.88,40.7412,2021-03-21 03:55:00
1616299200000,532.07,532.07,529.98,530.7,1062.68473,2021-03-21 04:00:00
1616299500000,530.67,532.0,530.17,531.73,268.80177,2021-03-21 04:05:00
1616299800000,531.77,532.16,531.69,532.1,83.70987,2021-03-21 04:10:00
1616300100000,532.11,532.11,530.81,530.94,118.76048,2021-03-21 04:15:00
1616300400000,530.81,530.81,529.25,529.57,115.41192,2021-03-21 04:20:00
1616300700000,529.6,529.67,528.38,528.52,371.70699,2021-03-21 04:25:00
1616301000000,528.36,528.36,525.74,525.95,516.32201,2021-03-21 04:30:00
1616301300000,525.92,525.92,524.28,525.26,603.90568,2021-03-21 04:35:00
1616301600000,525.37,525.8,522.67,523.5,988.44588,2021-03-21 04:40:00
1616301900000,523.4,526.63,523.02,525.21,959.05233,2021-03-21 04:45:00
1616302200000,524.82,524.85,522.91,524.85,535.17725,2021-03-21 04:50:00
1616302500000,524.85,526.27,524.02,525.07,595.78169,2021-03-21 04:55:00
1616302800000,524.91,526.47,524.32,526.25,317.57231,2021-03-21 05:00:00
1616303100000,526.29,527.43,525.63,526.48,331.44751,2021-03-21 05:05:00
1616303400000,526.72,527.43,526.63,527.1,142.39057,2021-03-21 05:10:00
1616303700000,527.06,527.9,526.98,527.8,243.82174,2021-03-21 05:15:00
1616304000000,527.81,527.83,526.47,526.54,339.88201,2021-03-21 05:20:00
1616304300000,526.53,527.96,526.37,527.91,114.04267,2021-03-21 05:25:00
1616304600000,527.9,527.94,526.57,526.58,271.55213,2021-03-21 05:30:00
1616304900000,526.58,527.47,525.91,526.22,225.90334,2021-03-21 05:35:00
1616305200000,526.43,527.52,526.43,527.31,106.09849,2021-03-21 05:40:00
1616305500000,527.34,528.12,527.33,528.04,65.27291,2021-03-21 05:45:00
1616305800000,528.05,528.25,526.92,527.13,295.74489,2021-03-21 05:50:00
1616306100000,527.1,527.8,526.89,527.6,91.88939,2021-03-21 05:55:00
1616306400000,527.58,528.0,526.76,528.0,135.71264,2021-03-21 06:00:00
1616306700000,527.87,528.14,527.39,527.49,84.2205,2021-03-21 06:05:00
1616307000000,527.49,527.57,526.02,526.56,357.02984,2021-03-21 06:10:00
1616307300000,526.56,526.56,524.8,524.8,154.05167,2021-03-21 06:15:00
1616307600000,524.57,525.61,522.15,525.23,403.59263,2021-03-21 06:20:00
1616307900000,525.04,527.88,525.0,527.88,143.01955,2021-03-21 06:25:00
1616308200000,527.76,528.21,526.95,527.71,285.29788,2021-03-21 06:30:00
1616308500000,527.77,528.79,527.53,527.79,460.06517,2021-03-21 06:35:00
1616308800000,527.75,527.9,526.83,527.37,188.83196,2021-03-21 06:40:00
1616309100000,527.22,527.31,527.02,527.2,125.3325,2021-03-21 06:45:00
1616309400000,527.2,527.2,525.47,525.47,119.11393,2021-03-21 06:50:00
1616309700000,525.47,526.02,525.08,525.08,75.55819,2021-03-21 06:55:00
1616310000000,525.08,527.72,525.0,527.62,404.74521,2021-03-21 07:00:00
1616310300000,527.41,527.87,526.81,527.43,62.10408,2021-03-21 07:05:00
1616310600000,527.55,528.21,527.1,528.2,83.1214,2021-03-21 07:10:00
1616310900000,528.2,528.26,527.24,527.37,123.46414,2021-03-21 07:15:00
1616311200000,527.3,527.79,527.15,527.41,89.93846,2021-03-21 07:20:00
1616311500000,527.42,528.13,527.32,527.78,162.51623,2021-03-21 07:25:00
1616311800000,527.74,528.1,527.39,527.97,173.96933,2021-03-21 07:30:00
1616312100000,527.92,527.95,527.2,527.2,79.23595,2021-03-21 07:35:00
1616312400000,527.3,527.93,527.06,527.59,58.87592,2021-03-21 07:40:00
1616312700000,527.55,527.56,526.17,526.21,74.87108,2021-03-21 07:45:00
1616313000000,526.19,526.63,525.42,525.83,334.49524,2021-03-21 07:50:00
