time,open,high,low,close,vol,time_stamp
1616297700000,57720.1,57740.86,57590.0,57740.8,105.143629,2021-03-21 03:35:00
1616298000000,57740.79,57806.71,57720.72,57805.23,184.306656,2021-03-21 03:40:00
1616298300000,57805.22,57813.85,57731.25,57800.0,233.177733,2021-03-21 03:45:00
1616298600000,57799.99,57846.94,57780.01,57801.67,202.658355,2021-03-21 03:50:00
1616298900000,57801.67,57856.42,57790.0,57790.0,190.2702,2021-03-21 03:55:00
1616299200000,57790.0,57790.01,57576.36,57642.33,214.193009,2021-03-21 04:00:00
1616299500000,57642.34,57700.0,57522.92,57670.24,117.342084,2021-03-21 04:05:00
1616299800000,57670.24,57797.45,57632.25,57787.16,110.674659,2021-03-21 04:10:00
1616300100000,57787.15,57787.16,57616.51,57620.34,90.837505,2021-03-21 04:15:00
1616300400000,57614.85,57614.85,57464.95,57520.3,157.802082,2021-03-21 04:20:00
1616300700000,57520.29,57536.93,57222.0,57249.88,341.44186,2021-03-21 04:25:00
1616301000000,57249.88,57316.77,57111.0,57135.05,256.348521,2021-03-21 04:30:00
1616301300000,57148.85,57155.87,57020.75,57097.4,257.977892,2021-03-21 04:35:00
1616301600000,57097.4,57147.94,57038.92,57070.42,294.442766,2021-03-21 04:40:00
1616301900000,57070.43,57108.82,56890.0,56916.16,527.265961,2021-03-21 04:45:00
1616302200000,56912.05,56980.31,56717.81,56965.74,450.348171,2021-03-21 04:50:00
1616302500000,56970.08,57104.8,56816.16,56909.83,254.493842,2021-03-21 04:55:00
1616302800000,56911.99,57075.0,56856.66,57075.0,231.686699,2021-03-21 05:00:00
1616303100000,57075.0,57109.02,57000.08,57022.9,149.295148,2021-03-21 05:05:00
1616303400000,57022.9,57093.14,57011.58,57085.91,114.735028,2021-03-21 05:10:00
1616303700000,57085.91,57192.82,57085.91,57142.98,169.181104,2021-03-21 05:15:00
1616304000000,57142.98,57153.89,56945.55,56945.55,135.143336,2021-03-21 05:20:00
1616304300000,56945.56,57131.96,56933.17,57102.52,118.730884,2021-03-21 05:25:00
1616304600000,57102.53,57120.0,56957.89,56957.89,127.583691,2021-03-21 05:30:00
1616304900000,56957.89,57115.65,56920.31,57020.17,146.136444,2021-03-21 05:35:00
1616305200000,57020.18,57120.01,57020.17,57090.85,96.800344,2021-03-21 05:40:00
1616305500000,57090.85,57188.6,57067.47,57170.68,101.431734,2021-03-21 05:45:00
1616305800000,57170.69,57242.59,57103.94,57117.38,143.658169,2021-03-21 05:50:00
1616306100000,57117.38,57166.43,57074.11,57129.99,106.676788,2021-03-21 05:55:00
1616306400000,57130.0,57188.6,57060.0,57188.59,131.605361,2021-03-21 06:00:00
1616306700000,57188.59,57258.16,57109.83,57124.52,136.869391,2021-03-21 06:05:00
1616307000000,57124.53,57154.55,57035.92,57070.45,71.268524,2021-03-21 06:10:00
1616307300000,57070.44,57070.44,56906.02,56914.71,198.405341,2021-03-21 06:15:00
1616307600000,56914.7,56947.91,56668.0,56887.04,358.022069,2021-03-21 06:20:00
1616307900000,56887.04,57261.46,56869.15,57239.59,180.468103,2021-03-21 06:25:00
1616308200000,57239.59,57384.27,57165.09,57320.51,223.322358,2021-03-21 06:30:00
1616308500000,57320.5,57413.66,57274.61,57337.77,191.048801,2021-03-21 06:35:00
1616308800000,57337.76,57337.79,57245.61,57288.01,91.416224,2021-03-21 06:40:00
1616309100000,57288.01,57319.53,57249.53,57262.94,84.124022,2021-03-21 06:45:00
1616309400000,57265.51,57289.99,57125.73,57128.5,101.127356,2021-03-21 06:50:00
1616309700000,57128.51,57200.0,57028.21,57047.98,106.436372,2021-03-21 06:55:00
