time,open,high,low,close,vol,time_stamp
1616298000000,9.918,9.942,9.918,9.926,2662.446,2021-03-21 03:40:00
1616298300000,9.935,10.0,9.933,9.975,8867.709,2021-03-21 03:45:00
1616298600000,9.975,10.0,9.969,10.0,11847.141,2021-03-21 03:50:00
1616298900000,9.99,10.0,9.974,9.977,3446.518,2021-03-21 03:55:00
1616299200000,9.977,9.984,9.938,9.967,2275.027,2021-03-21 04:00:00
1616299500000,9.967,9.975,9.953,9.957,6696.926,2021-03-21 04:05:00
1616299800000,9.967,9.998,9.967,9.994,5424.253,2021-03-21 04:10:00
1616300100000,9.986,9.993,9.955,9.955,2353.162,2021-03-21 04:15:00
1616300400000,9.955,9.955,9.903,9.933,5820.702,2021-03-21 04:20:00
1616300700000,9.93,9.955,9.902,9.933,4889.81,2021-03-21 04:25:00
1616301000000,9.933,9.968,9.917,9.95,10335.569,2021-03-21 04:30:00
1616301300000,9.927,9.938,9.894,9.908,7061.573,2021-03-21 04:35:00
1616301600000,9.908,9.912,9.872,9.878,4664.587,2021-03-21 04:40:00
1616301900000,9.872,9.922,9.86,9.876,5826.249,2021-03-21 04:45:00
1616302200000,9.863,9.874,9.81,9.823,8951.911,2021-03-21 04:50:00
1616302500000,9.838,9.87,9.813,9.849,5195.894,2021-03-21 04:55:00
1616302800000,9.83,9.884,9.83,9.872,6308.957,2021-03-21 05:00:00
1616303100000,9.878,9.899,9.86,9.895,3053.115,2021-03-21 05:05:00
1616303400000,9.886,9.951,9.884,9.938,9326.43,2021-03-21 05:10:00
1616303700000,9.948,9.983,9.937,9.974,6946.258,2021-03-21 05:15:00
1616304000000,9.978,9.982,9.93,9.934,13444.375,2021-03-21 05:20:00
1616304300000,9.952,10.0,9.925,9.95,15810.011,2021-03-21 05:25:00
1616304600000,9.95,9.962,9.881,9.882,7055.314,2021-03-21 05:30:00
1616304900000,9.881,9.901,9.872,9.9,4065.297,2021-03-21 05:35:00
1616305200000,9.899,9.91,9.895,9.91,4600.528,2021-03-21 05:40:00
1616305500000,9.9,9.907,9.86,9.88,10273.238,2021-03-21 05:45:00
1616305800000,9.88,9.897,9.868,9.894,7392.302,2021-03-21 05:50:00
1616306100000,9.883,9.893,9.878,9.883,1711.986,2021-03-21 05:55:00
1616306400000,9.883,9.899,9.854,9.896,2049.659,2021-03-21 06:00:00
1616306700000,9.895,9.912,9.874,9.908,2326.855,2021-03-21 06:05:00
1616307000000,9.908,9.914,9.885,9.911,2705.288,2021-03-21 06:10:00
1616307300000,9.899,9.907,9.885,9.896,3720.789,2021-03-21 06:15:00
1616307600000,9.896,9.915,9.883,9.915,5908.111,2021-03-21 06:20:00
1616307900000,9.904,9.967,9.904,9.955,5034.255,2021-03-21 06:25:00
1616308200000,9.936,9.985,9.936,9.976,3195.216,2021-03-21 06:30:00
1616308500000,9.97,10.0,9.97,9.988,6025.028,2021-03-21 06:35:00
1616308800000,9.99,9.999,9.969,9.974,6156.233,2021-03-21 06:40:00
1616309100000,9.98,10.0,9.974,9.984,3977.976,2021-03-21 06:45:00
1616309400000,9.994,10.0,9.957,9.972,10065.602,2021-03-21 06:50:00
1616309700000,9.972,9.999,9.956,9.977,12037.506,2021-03-21 06:55:00
1616310000000,9.966,9.999,9.965,9.996,6772.085,2021-03-21 07:00:00
1616310300000,9.996,10.0,9.985,9.987,4495.021,2021-03-21 07:05:00
1616310600000,9.987,9.998,9.978,9.998,3376.276,2021-03-21 07:10:00
1616310900000,9.99,10.0,9.987,9.997,5545.887,2021-03-21 07:15:00
1616311200000,9.992,10.031,9.985,9.99,35557.739,2021-03-21 07:20:00
1616311500000,10.0,10.033,9.99,10.033,6769.52,2021-03-21 07:25:00
1616311800000,10.03,10.04,10.02,10.028,4474.625,2021-03-21 07:30:00
1616312100000,10.028,10.028,9.986,9.986,6902.928,2021-03-21 07:35:00
1616312400000,9.986,10.01,9.985,10.004,2904.808,2021-03-21 07:40:00
1616312700000,10.004,10.004,9.948,9.948,3248.533,2021-03-21 07:45:00
1616313000000,9.945,9.95,9.9,9.932,6304.973,2021-03-21 07:50:00
1616313300000,9.932,9.943,9.926,9.926,4295.45,2021-03-21 07:55:00
1616313600000,9.926,9.997,9.926,9.967,6103.712,2021-03-21 08:00:00
1616313900000,9.967,10.018,9.967,9.98,3311.605,2021-03-21 08:05:00
1616314200000,9.99,10.014,9.947,9.986,7499.443,2021-03-21 08:10:00
1616314500000,9.992,10.027,9.991,10.017,4361.871,2021-03-21 08:15:00
1616314800000,10.001,10.03,9.993,10.026,1731.185,2021-03-21 08:20:00
1616315100000,10.023,10.039,10.0,10.013,8283.606,2021-03-21 08:25:00
1616315400000,10.028,10.029,10.003,10.003,1505.068,2021-03-21 08:30:00
1616315700000,10.003,10.029,10.001,10.024,2032.738,2021-03-21 08:35:00
1616316000000,10.025,10.037,10.017,10.017,4477.758,2021-03-21 08:40:00
1616316300000,10.015,10.05,10.015,10.037,6184.736,2021-03-21 08:45:00
1616316600000,10.043,10.048,10.011,10.011,6769.484,2021-03-21 08:50:00
1616316900000,10.011,10.017,9.926,9.967,15210.525,2021-03-21 08:55:00
1616317200000,9.966,10.013,9.964,10.004,4189.027,2021-03-21 09:00:00
1616317500000,10.0,10.032,9.992,10.02,3812.467,2021-03-21 09:05:00
1616317800000,10.02,10.035,10.015,10.035,2210.044,2021-03-21 09:10:00
1616318100000,10.03,10.033,9.999,10.0,4903.293,2021-03-21 09:15:00
1616318400000,9.999,10.0,9.989,10.0,2621.366,2021-03-21 09:20:00
1616318700000,10.0,10.004,9.969,9.976,4948.398,2021-03-21 09:25:00
1616319000000,9.969,9.98,9.91,9.959,9257.076,2021-03-21 09:30:00
1616319300000,9.959,9.989,9.959,9.966,3103.075,2021-03-21 09:35:00
1616319600000,9.97,9.98,9.852,9.869,13113.683,2021-03-21 09:40:00
1616319900000,9.873,9.898,9.85,9.871,13272.975,2021-03-21 09:45:00
1616320200000,9.895,9.909,9.86,9.867,7077.615,2021-03-21 09:50:00
1616320500000,9.876,9.896,9.825,9.848,16352.221,2021-03-21 09:55:00
1616320800000,9.84,9.925,9.81,9.906,13236.066,2021-03-21 10:00:00
1616321100000,9.906,9.915,9.86,9.861,5884.008,2021-03-21 10:05:00
1616321400000,9.906,9.922,9.891,9.9,4937.103,2021-03-21 10:10:00
1616321700000,9.9,9.9,9.842,9.854,5818.555,2021-03-21 10:15:00
1616322000000,9.853,9.904,9.83,9.883,5977.953,2021-03-21 10:20:00
1616322300000,9.89,9.919,9.882,9.903,4270.363,2021-03-21 10:25:00
1616322600000,9.903,9.933,9.873,9.891,11165.534,2021-03-21 10:30:00
1616322900000,9.893,9.92,9.877,9.889,5510.22,2021-03-21 10:35:00
1616323200000,9.881,9.9,9.865,9.9,2892.127,2021-03-21 10:40:00
1616323500000,9.896,9.896,9.853,9.866,2203.614,2021-03-21 10:45:00
1616323800000,9.866,9.876,9.839,9.839,4058.635,2021-03-21 10:50:00
1616324100000,9.85,9.881,9.839,9.85,4730.56,2021-03-21 10:55:00
1616324400000,9.85,9.86,9.801,9.816,6230.69,2021-03-21 11:00:00
1616324700000,9.821,9.823,9.8,9.801,13342.8,2021-03-21 11:05:00
1616325000000,9.806,9.832,9.801,9.801,8310.526,2021-03-21 11:10:00
1616325300000,9.804,9.823,9.777,9.791,10601.247,2021-03-21 11:15:00
1616325600000,9.791,9.823,9.777,9.796,3271.309,2021-03-21 11:20:00
1616325900000,9.796,9.809,9.788,9.8,2197.906,2021-03-21 11:25:00
1616326200000,9.8,9.873,9.8,9.844,10617.104,2021-03-21 11:30:00
1616326500000,9.844,9.88,9.817,9.839,6339.191,2021-03-21 11:35:00
1616326800000,9.835,9.849,9.8,9.803,9748.745,2021-03-21 11:40:00
1616327100000,9.813,9.816,9.792,9.795,3116.699,2021-03-21 11:45:00
1616327400000,9.808,9.835,9.8,9.83,3102.447,2021-03-21 11:50:00
1616327700000,9.824,9.84,9.818,9.831,2838.999,2021-03-21 11:55:00
1616328000000,9.831,9.831,9.801,9.801,5385.271,2021-03-21 12:00:00
1616328300000,9.808,9.808,9.775,9.775,5629.109,2021-03-21 12:05:00
1616328600000,9.775,9.78,9.717,9.73,14123.786,2021-03-21 12:10:00
1616328900000,9.749,9.752,9.71,9.713,10462.998,2021-03-21 12:15:00
1616329200000,9.732,9.732,9.681,9.681,9766.26,2021-03-21 12:20:00
1616329500000,9.692,9.742,9.68,9.7,7079.869,2021-03-21 12:25:00
1616329800000,9.709,9.773,9.68,9.737,3967.513,2021-03-21 12:30:00
1616330100000,9.74,9.796,9.732,9.778,6238.971,2021-03-21 12:35:00
1616330400000,9.778,9.783,9.737,9.781,9131.975,2021-03-21 12:40:00
1616330700000,9.781,9.826,9.768,9.818,8840.352,2021-03-21 12:45:00
1616331000000,9.819,9.85,9.781,9.803,25930.555,2021-03-21 12:50:00
1616331300000,9.804,9.816,9.8,9.815,2118.502,2021-03-21 12:55:00
1616331600000,9.815,9.9,9.815,9.895,8519.153,2021-03-21 13:00:00
1616331900000,9.894,9.925,9.888,9.925,6515.841,2021-03-21 13:05:00
1616332200000,9.918,9.934,9.907,9.915,10879.302,2021-03-21 13:10:00
1616332500000,9.915,9.95,9.908,9.95,4562.79,2021-03-21 13:15:00
1616332800000,9.947,9.978,9.922,9.977,6189.754,2021-03-21 13:20:00
1616333100000,9.977,10.0,9.964,9.991,23024.567,2021-03-21 13:25:00
1616333400000,9.988,10.01,9.969,10.006,17355.632,2021-03-21 13:30:00
1616333700000,10.01,10.029,9.974,9.988,15249.028,2021-03-21 13:35:00
1616334000000,9.986,10.0,9.898,9.989,11344.153,2021-03-21 13:40:00
1616334300000,9.963,9.993,9.945,9.948,3802.558,2021-03-21 13:45:00
1616334600000,9.945,9.992,9.926,9.99,5179.502,2021-03-21 13:50:00
1616334900000,9.99,9.99,9.963,9.965,7706.026,2021-03-21 13:55:00
