time,open,high,low,close,vol,time_stamp
1616297700000,81.9932,82.039,81.5795,81.975,11603.09,2021-03-21 03:35:00
1616298000000,82.0143,82.3328,81.9073,81.9514,8068.84,2021-03-21 03:40:00
1616298300000,81.924,82.2533,81.8983,82.1724,1122.07,2021-03-21 03:45:00
1616298600000,82.1979,82.2315,82.0446,82.1677,1690.89,2021-03-21 03:50:00
1616298900000,82.195,82.2493,82.1677,82.1677,1303.83,2021-03-21 03:55:00
1616299200000,82.1677,82.1967,81.8555,81.8555,7553.45,2021-03-21 04:00:00
1616299500000,81.8877,81.9239,81.7128,81.808,3710.74,2021-03-21 04:05:00
1616299800000,81.816,81.924,81.4999,81.6822,6575.49,2021-03-21 04:10:00
1616300100000,81.6603,81.6815,81.4036,81.4245,3972.0,2021-03-21 04:15:00
1616300400000,81.4399,81.4536,81.2814,81.4499,4099.85,2021-03-21 04:20:00
1616300700000,81.4499,81.6147,81.39,81.4814,2426.5,2021-03-21 04:25:00
1616301000000,81.4519,81.482,81.1048,81.1502,4117.2,2021-03-21 04:30:00
1616301300000,81.1531,81.3059,81.0103,81.1016,2884.01,2021-03-21 04:35:00
1616301600000,81.0984,81.3248,81.0444,81.111,2288.29,2021-03-21 04:40:00
1616301900000,81.1108,81.2175,80.9486,81.0425,4698.18,2021-03-21 04:45:00
1616302200000,81.0256,81.0662,80.33,80.33,16262.91,2021-03-21 04:50:00
1616302500000,80.337,80.8231,80.1841,80.4709,15653.41,2021-03-21 04:55:00
1616302800000,80.4735,81.1072,80.4658,80.9162,6350.66,2021-03-21 05:00:00
1616303100000,80.9123,81.0171,80.5356,80.5356,4213.58,2021-03-21 05:05:00
1616303400000,80.565,81.034,80.4416,80.8009,8271.49,2021-03-21 05:10:00
1616303700000,80.8012,81.0739,80.7471,81.0716,4433.24,2021-03-21 05:15:00
1616304000000,81.0376,81.0903,80.7963,80.8344,2869.34,2021-03-21 05:20:00
1616304300000,80.8264,80.9498,80.7514,80.7666,1496.07,2021-03-21 05:25:00
1616304600000,80.7529,80.8075,80.4119,80.5066,2546.11,2021-03-21 05:30:00
