time,open,high,low,close,vol,time_stamp
1616298000000,404.567,406.331,404.336,406.022,137.19,2021-03-21 03:40:00
1616298300000,405.731,406.007,403.131,404.414,126.474,2021-03-21 03:45:00
1616298600000,404.414,405.963,403.328,405.271,459.875,2021-03-21 03:50:00
1616298900000,405.165,405.592,404.161,405.288,79.888,2021-03-21 03:55:00
1616299200000,404.899,404.899,403.332,403.571,179.513,2021-03-21 04:00:00
1616299500000,403.571,404.62,402.0,403.628,107.346,2021-03-21 04:05:00
1616299800000,403.612,405.511,402.886,404.217,294.402,2021-03-21 04:10:00
1616300100000,404.217,404.217,402.9,403.855,38.052,2021-03-21 04:15:00
1616300400000,403.462,403.644,402.0,402.915,67.458,2021-03-21 04:20:00
1616300700000,402.922,403.329,400.952,400.952,290.589,2021-03-21 04:25:00
1616301000000,400.851,400.947,397.599,398.974,161.135,2021-03-21 04:30:00
1616301300000,399.045,400.121,397.817,400.121,117.472,2021-03-21 04:35:00
1616301600000,400.178,400.842,399.474,399.474,179.912,2021-03-21 04:40:00
1616301900000,399.474,400.281,397.962,398.417,473.035,2021-03-21 04:45:00
1616302200000,398.8,398.804,395.0,396.505,524.698,2021-03-21 04:50:00
1616302500000,396.506,398.488,395.239,396.292,247.0,2021-03-21 04:55:00
1616302800000,395.714,397.714,394.874,397.713,494.981,2021-03-21 05:00:00
1616303100000,397.713,399.062,397.097,397.097,244.639,2021-03-21 05:05:00
1616303400000,397.115,398.365,393.339,395.959,508.859,2021-03-21 05:10:00
1616303700000,395.918,397.351,394.857,396.686,445.239,2021-03-21 05:15:00
1616304000000,396.647,396.647,394.09,394.396,171.496,2021-03-21 05:20:00
1616304300000,394.282,399.001,393.699,398.857,334.071,2021-03-21 05:25:00
1616304600000,398.524,398.559,395.867,396.973,70.149,2021-03-21 05:30:00
1616304900000,397.077,398.567,396.566,397.566,143.725,2021-03-21 05:35:00
1616305200000,397.685,398.9,397.685,398.535,63.874,2021-03-21 05:40:00
1616305500000,398.513,399.843,398.038,399.1,215.623,2021-03-21 05:45:00
1616305800000,398.858,399.639,397.407,398.468,96.867,2021-03-21 05:50:00
1616306100000,398.47,398.938,397.622,397.622,47.338,2021-03-21 05:55:00
1616306400000,398.002,398.568,397.739,398.489,53.771,2021-03-21 06:00:00
1616306700000,398.441,398.5,397.985,398.496,39.605,2021-03-21 06:05:00
1616307000000,398.177,398.453,396.259,396.825,173.499,2021-03-21 06:10:00
1616307300000,396.681,397.702,396.059,396.407,185.806,2021-03-21 06:15:00
1616307600000,396.574,397.38,393.698,395.429,250.652,2021-03-21 06:20:00
1616307900000,395.242,397.395,394.657,397.395,648.189,2021-03-21 06:25:00
1616308200000,397.087,397.93,396.07,397.93,113.604,2021-03-21 06:30:00
1616308500000,397.93,399.9,397.78,398.644,199.746,2021-03-21 06:35:00
1616308800000,399.466,399.989,398.704,399.701,65.388,2021-03-21 06:40:00
1616309100000,399.701,401.238,399.626,399.991,153.807,2021-03-21 06:45:00
1616309400000,399.407,400.507,398.913,398.913,119.132,2021-03-21 06:50:00
1616309700000,398.598,399.242,396.78,397.0,89.198,2021-03-21 06:55:00
1616310000000,396.588,399.48,396.588,399.48,149.573,2021-03-21 07:00:00
1616310300000,398.596,400.0,398.18,400.0,37.683,2021-03-21 07:05:00
1616310600000,400.0,401.512,399.538,400.332,138.822,2021-03-21 07:10:00
1616310900000,400.215,401.225,399.345,399.615,64.636,2021-03-21 07:15:00
1616311200000,399.42,399.92,399.167,399.747,88.646,2021-03-21 07:20:00
1616311500000,399.505,400.349,399.505,400.063,64.874,2021-03-21 07:25:00
1616311800000,400.063,400.356,398.66,398.859,59.987,2021-03-21 07:30:00
1616312100000,398.741,399.337,397.406,397.406,283.354,2021-03-21 07:35:00
1616312400000,397.322,399.752,397.104,398.223,77.305,2021-03-21 07:40:00
1616312700000,398.715,398.935,397.221,397.221,149.814,2021-03-21 07:45:00
1616313000000,397.507,397.991,395.857,397.716,176.094,2021-03-21 07:50:00
1616313300000,397.716,399.812,397.286,399.353,366.214,2021-03-21 07:55:00
1616313600000,399.251,401.177,398.459,400.656,219.57,2021-03-21 08:00:00
1616313900000,401.0,404.344,400.891,403.982,457.786,2021-03-21 08:05:00
1616314200000,404.067,404.803,401.204,404.803,280.765,2021-03-21 08:10:00
1616314500000,404.383,405.316,404.0,405.134,108.013,2021-03-21 08:15:00
1616314800000,405.133,406.381,404.346,404.632,318.443,2021-03-21 08:20:00
1616315100000,404.496,404.573,402.491,403.4,173.725,2021-03-21 08:25:00
1616315400000,403.22,403.567,401.126,401.7,131.732,2021-03-21 08:30:00
1616315700000,401.65,403.027,401.34,402.728,156.946,2021-03-21 08:35:00
1616316000000,402.194,402.194,400.495,401.216,238.383,2021-03-21 08:40:00
1616316300000,401.636,402.103,401.324,401.373,61.683,2021-03-21 08:45:00
1616316600000,401.665,402.621,401.238,401.281,113.095,2021-03-21 08:50:00
1616316900000,401.504,403.888,401.238,402.969,251.364,2021-03-21 08:55:00
1616317200000,402.398,405.253,402.398,404.887,138.264,2021-03-21 09:00:00
1616317500000,404.887,405.489,400.377,401.68,260.596,2021-03-21 09:05:00
1616317800000,401.682,404.052,400.0,400.214,219.404,2021-03-21 09:10:00
1616318100000,400.534,400.892,399.906,400.44,144.314,2021-03-21 09:15:00
1616318400000,400.44,402.214,400.241,400.528,108.126,2021-03-21 09:20:00
1616318700000,400.668,401.252,400.015,400.176,62.14,2021-03-21 09:25:00
1616319000000,400.015,400.891,399.547,400.846,74.195,2021-03-21 09:30:00
1616319300000,400.846,401.0,398.2,398.6,89.501,2021-03-21 09:35:00
1616319600000,398.458,399.419,390.88,393.486,624.042,2021-03-21 09:40:00
1616319900000,394.153,398.174,391.451,396.953,600.614,2021-03-21 09:45:00
1616320200000,396.747,397.884,395.0,396.998,487.368,2021-03-21 09:50:00
1616320500000,397.303,397.303,392.823,396.005,284.521,2021-03-21 09:55:00
1616320800000,396.055,396.072,392.158,393.29,661.007,2021-03-21 10:00:00
1616321100000,393.44,395.405,393.055,395.251,159.395,2021-03-21 10:05:00
1616321400000,395.251,397.498,395.251,397.498,229.814,2021-03-21 10:10:00
1616321700000,397.277,399.192,397.121,398.671,121.757,2021-03-21 10:15:00
1616322000000,398.345,399.5,397.672,398.171,118.556,2021-03-21 10:20:00
1616322300000,398.54,398.697,395.465,396.436,183.265,2021-03-21 10:25:00
1616322600000,396.636,397.127,393.878,394.001,295.682,2021-03-21 10:30:00
1616322900000,394.512,394.585,393.0,393.204,99.508,2021-03-21 10:35:00
1616323200000,393.008,393.04,392.498,392.55,48.113,2021-03-21 10:40:00
1616323500000,392.951,395.377,392.224,395.377,141.562,2021-03-21 10:45:00
1616323800000,395.373,395.373,393.0,393.158,95.828,2021-03-21 10:50:00
1616324100000,393.158,393.316,392.5,393.19,71.197,2021-03-21 10:55:00
1616324400000,392.8,393.107,390.0,391.299,524.48,2021-03-21 11:00:00
1616324700000,391.215,391.583,389.034,389.258,401.366,2021-03-21 11:05:00
1616325000000,389.258,389.894,386.913,387.271,336.121,2021-03-21 11:10:00
1616325300000,387.036,388.978,385.801,387.516,587.678,2021-03-21 11:15:00
1616325600000,387.512,389.913,387.19,388.631,181.51,2021-03-21 11:20:00
1616325900000,389.208,389.208,385.8,386.767,307.454,2021-03-21 11:25:00
1616326200000,386.39,389.613,386.39,388.977,515.025,2021-03-21 11:30:00
1616326500000,388.847,389.387,388.055,388.106,53.235,2021-03-21 11:35:00
1616326800000,388.444,388.821,387.572,387.78,52.9,2021-03-21 11:40:00
1616327100000,387.779,388.067,386.328,388.067,104.87,2021-03-21 11:45:00
1616327400000,388.0,388.02,386.573,387.436,102.292,2021-03-21 11:50:00
1616327700000,387.436,389.276,387.196,388.998,307.252,2021-03-21 11:55:00
1616328000000,388.782,388.8,386.4,386.572,131.157,2021-03-21 12:00:00
1616328300000,386.571,386.682,385.614,385.991,325.482,2021-03-21 12:05:00
1616328600000,385.734,385.86,382.973,385.784,867.035,2021-03-21 12:10:00
1616328900000,385.973,388.159,385.0,385.244,305.167,2021-03-21 12:15:00
1616329200000,385.245,385.908,383.117,384.045,115.347,2021-03-21 12:20:00
1616329500000,383.469,383.956,382.0,382.666,264.931,2021-03-21 12:25:00
1616329800000,382.958,386.103,382.521,386.025,157.769,2021-03-21 12:30:00
1616330100000,385.978,388.431,385.634,388.017,198.85,2021-03-21 12:35:00
1616330400000,388.43,391.211,388.083,390.786,690.906,2021-03-21 12:40:00
1616330700000,390.785,394.499,390.682,393.689,258.78,2021-03-21 12:45:00
1616331000000,393.688,396.101,392.89,394.726,679.2,2021-03-21 12:50:00
1616331300000,394.122,394.718,393.223,394.173,332.101,2021-03-21 12:55:00
1616331600000,394.724,396.953,394.191,395.191,105.183,2021-03-21 13:00:00
1616331900000,395.056,397.816,393.289,397.816,201.163,2021-03-21 13:05:00
1616332200000,397.41,397.823,396.0,396.559,172.666,2021-03-21 13:10:00
1616332500000,397.117,397.86,396.413,397.525,147.812,2021-03-21 13:15:00
1616332800000,397.268,397.762,396.0,396.379,100.813,2021-03-21 13:20:00
1616333100000,396.636,397.858,396.169,397.119,65.519,2021-03-21 13:25:00
1616333400000,397.055,397.858,396.549,396.754,172.169,2021-03-21 13:30:00
1616333700000,397.037,397.678,396.001,396.701,72.169,2021-03-21 13:35:00
1616334000000,396.576,398.0,396.18,397.874,216.517,2021-03-21 13:40:00
1616334300000,397.876,398.22,396.641,397.0,53.288,2021-03-21 13:45:00
1616334600000,397.269,397.597,396.567,397.493,43.732,2021-03-21 13:50:00
1616334900000,397.243,398.216,396.435,397.537,110.301,2021-03-21 13:55:00
1616335200000,397.647,397.92,396.435,397.215,123.45,2021-03-21 14:00:00
1616335500000,397.215,397.5,394.029,394.776,843.836,2021-03-21 14:05:00
1616335800000,394.776,394.949,393.643,394.545,180.163,2021-03-21 14:10:00
1616336100000,394.324,395.909,394.324,395.512,284.414,2021-03-21 14:15:00
