unix,date,symbol,open,high,low,close,Volume EOS,Volume USDT,tradecount
1.59632E+12,2020/8/1 23:00,EOS/USDT,3.2998,3.3136,3.2764,3.3038,403263.11,1330500.617,4410
1.59633E+12,2020/8/2 0:00,EOS/USDT,3.3048,3.3219,3.2705,3.2912,721762.76,2379756.01,6542
1.59633E+12,2020/8/2 1:00,EOS/USDT,3.2916,3.3554,3.2854,3.3413,1119129.13,3730860.895,8254
1.59633E+12,2020/8/2 2:00,EOS/USDT,3.3421,3.401,3.3352,3.3931,937840.83,3155034.342,7592
1.59634E+12,2020/8/2 3:00,EOS/USDT,3.3927,3.4895,3.3708,3.4706,1822519.93,6280332.844,13515
1.59634E+12,2020/8/2 4:00,EOS/USDT,3.4705,3.4921,2.5435,2.9229,7530989.77,22502969.87,49532
1.59634E+12,2020/8/2 5:00,EOS/USDT,2.9238,3.0631,2.8809,3.0043,4936623.62,14774337.6,39923
1.59635E+12,2020/8/2 6:00,EOS/USDT,3.0033,3.0247,2.9898,3.0142,1005737.06,3027503.857,8983
1.59635E+12,2020/8/2 7:00,EOS/USDT,3.015,3.0846,2.998,3.0689,1250084.71,3811801.464,9085
1.59636E+12,2020/8/2 8:00,EOS/USDT,3.0686,3.07,3.0262,3.0357,1119584.26,3415300.246,8117
1.59636E+12,2020/8/2 9:00,EOS/USDT,3.0338,3.0543,3.0002,3.0482,910433.09,2759349.065,6863
1.59636E+12,2020/8/2 10:00,EOS/USDT,3.0488,3.0528,2.981,3.0208,933509.23,2811879.386,6431
1.59637E+12,2020/8/2 11:00,EOS/USDT,3.0209,3.0323,2.8571,2.939,2850800.81,8394917.597,18018
1.59637E+12,2020/8/2 12:00,EOS/USDT,2.9393,2.9634,2.8796,2.8898,1552598.9,4548472.09,9915
1.59637E+12,2020/8/2 13:00,EOS/USDT,2.8884,2.9519,2.8857,2.9449,941004.15,2755562.396,6136
1.59638E+12,2020/8/2 14:00,EOS/USDT,2.9439,2.9844,2.9223,2.9642,633797.9,1871082.113,5066
1.59638E+12,2020/8/2 15:00,EOS/USDT,2.9651,2.9652,2.9311,2.9348,421528.13,1243269.235,3082
1.59638E+12,2020/8/2 16:00,EOS/USDT,2.9347,3.0191,2.9285,3.0126,903397.86,2691969.619,6030
1.59639E+12,2020/8/2 17:00,EOS/USDT,3.0126,3.0256,2.9899,3.01,891965.8,2683633.127,6895
1.59639E+12,2020/8/2 18:00,EOS/USDT,3.0104,3.0155,2.9913,3.0006,472438.23,1418579.779,3640
1.59639E+12,2020/8/2 19:00,EOS/USDT,3.0018,3.0173,2.9384,2.9833,1066002.67,3171209.794,7063
1.5964E+12,2020/8/2 20:00,EOS/USDT,2.9839,2.9929,2.9571,2.9591,298513.32,888273.4407,3221
1.5964E+12,2020/8/2 21:00,EOS/USDT,2.9584,2.99,2.9383,2.9796,528213.81,1567924.969,3801
1.59641E+12,2020/8/2 22:00,EOS/USDT,2.9793,2.9896,2.9525,2.9556,253895.01,755043.5271,2673
1.59641E+12,2020/8/2 23:00,EOS/USDT,2.9565,2.9651,2.9215,2.9441,465220.85,1369206.835,4006
1.59641E+12,2020/8/3 0:00,EOS/USDT,2.9447,2.9871,2.901,2.9771,1267034.57,3734548.276,7897
1.59642E+12,2020/8/3 1:00,EOS/USDT,2.9774,3.0011,2.9754,2.978,675134.28,2017346.229,4790
1.59642E+12,2020/8/3 2:00,EOS/USDT,2.9776,3.0007,2.977,2.9899,309824.47,926405.098,2983
1.59642E+12,2020/8/3 3:00,EOS/USDT,2.9904,2.9953,2.9612,2.9707,421960.81,1258000.839,3231
1.59643E+12,2020/8/3 4:00,EOS/USDT,2.9713,2.9906,2.9709,2.9772,277662.82,828066.0147,2038
1.59643E+12,2020/8/3 5:00,EOS/USDT,2.9772,2.9925,2.9712,2.9925,312548.47,931502.5947,2266
1.59643E+12,2020/8/3 6:00,EOS/USDT,2.9925,3.0294,2.9921,3.0076,620255.4,1866607.556,4488
1.59644E+12,2020/8/3 7:00,EOS/USDT,3.0079,3.019,3.0012,3.0016,348058.89,1048137.712,2571
1.59644E+12,2020/8/3 8:00,EOS/USDT,3.0019,3.005,2.9795,2.9871,502782.43,1504696.573,3458
1.59645E+12,2020/8/3 9:00,EOS/USDT,2.9863,3.0025,2.9639,2.9701,563512.18,1683104.491,3547
1.59645E+12,2020/8/3 10:00,EOS/USDT,2.9691,2.9977,2.958,2.996,364443.04,1086343.549,3026
1.59645E+12,2020/8/3 11:00,EOS/USDT,2.996,3.0235,2.9758,3.0215,897574.48,2694841.587,5592
1.59646E+12,2020/8/3 12:00,EOS/USDT,3.0209,3.0214,2.9935,3.0146,608892.15,1832269.343,3913
1.59646E+12,2020/8/3 13:00,EOS/USDT,3.0142,3.05,3.0103,3.038,831428.54,2518494.431,5443
1.59646E+12,2020/8/3 14:00,EOS/USDT,3.0385,3.0668,3.0294,3.0437,1085762.43,3312070.381,6590
1.59647E+12,2020/8/3 15:00,EOS/USDT,3.043,3.0552,3.0039,3.0322,761257.74,2308456.354,5083
1.59647E+12,2020/8/3 16:00,EOS/USDT,3.032,3.0974,3.025,3.0356,1512716.35,4632280.617,9743
1.59647E+12,2020/8/3 17:00,EOS/USDT,3.0357,3.1174,3.0307,3.1137,1036540.61,3199416.644,6788
1.59648E+12,2020/8/3 18:00,EOS/USDT,3.1137,3.123,3.0953,3.1106,446519.61,1387157.909,3661
1.59648E+12,2020/8/3 19:00,EOS/USDT,3.1107,3.1107,3.07,3.0873,506211.52,1562049.269,3669
1.59648E+12,2020/8/3 20:00,EOS/USDT,3.0878,3.0952,3.0477,3.0657,365071.21,1120613.055,2677
1.59649E+12,2020/8/3 21:00,EOS/USDT,3.0663,3.0817,3.0125,3.0275,1185612.98,3621748.308,7728
1.59649E+12,2020/8/3 22:00,EOS/USDT,3.0263,3.0622,3.0175,3.0314,645707.91,1964343.292,4591
1.5965E+12,2020/8/3 23:00,EOS/USDT,3.0317,3.0504,3.0139,3.0449,669055.56,2030886.528,3970
1.5965E+12,2020/8/4 0:00,EOS/USDT,3.0452,3.1032,3.0447,3.088,819511.52,2521216.055,5831
1.5965E+12,2020/8/4 1:00,EOS/USDT,3.0883,3.0925,3.0665,3.0667,484719.6,1493922.595,3363
1.59651E+12,2020/8/4 2:00,EOS/USDT,3.0667,3.08,3.0471,3.0528,640950.49,1964226.131,4179
1.59651E+12,2020/8/4 3:00,EOS/USDT,3.0529,3.06,3.0276,3.0514,502151.87,1529576.897,3255
1.59651E+12,2020/8/4 4:00,EOS/USDT,3.0503,3.0739,3.0327,3.0711,513929.71,1570161.675,3151
1.59652E+12,2020/8/4 5:00,EOS/USDT,3.0711,3.0739,3.0496,3.0627,283491.95,867480.9676,2226
1.59652E+12,2020/8/4 6:00,EOS/USDT,3.0628,3.0638,3.0378,3.0481,284737.53,867477.6604,1893
1.59652E+12,2020/8/4 7:00,EOS/USDT,3.0474,3.0717,3.04,3.0653,328927.96,1006281.06,2057
1.59653E+12,2020/8/4 8:00,EOS/USDT,3.0641,3.077,3.0451,3.0514,455991.35,1396357.206,3155
1.59653E+12,2020/8/4 9:00,EOS/USDT,3.0506,3.0579,3.0369,3.0552,810451.33,2467747.524,3337
1.59654E+12,2020/8/4 10:00,EOS/USDT,3.0551,3.0643,3.0325,3.0399,570818.74,1740557.091,3273
1.59654E+12,2020/8/4 11:00,EOS/USDT,3.0398,3.0628,2.95,3.0025,2397688.29,7229561.073,13199
1.59654E+12,2020/8/4 12:00,EOS/USDT,3.0018,3.021,2.9888,3.0157,926336.52,2786117.218,5416
1.59655E+12,2020/8/4 13:00,EOS/USDT,3.016,3.0195,2.9585,3.0101,1307583.45,3908372.723,7607
1.59655E+12,2020/8/4 14:00,EOS/USDT,3.0101,3.0403,3.0081,3.0371,358826.13,1085075.47,2705
1.59655E+12,2020/8/4 15:00,EOS/USDT,3.0378,3.0556,3.0309,3.0548,451473.98,1374349.428,3292
1.59656E+12,2020/8/4 16:00,EOS/USDT,3.0543,3.0628,3.0118,3.0239,405896.14,1231425.89,3532
1.59656E+12,2020/8/4 17:00,EOS/USDT,3.0236,3.0403,3.0222,3.0373,266579.21,808372.8777,2222
1.59656E+12,2020/8/4 18:00,EOS/USDT,3.0373,3.0428,3.0091,3.0175,350087.08,1059333.399,2719
1.59657E+12,2020/8/4 19:00,EOS/USDT,3.0169,3.0322,3.0128,3.0247,270322.27,816582.5873,1954
1.59657E+12,2020/8/4 20:00,EOS/USDT,3.0258,3.0404,3.0237,3.029,179385.33,543916.5324,1529
1.59657E+12,2020/8/4 21:00,EOS/USDT,3.029,3.0523,3.0251,3.0489,166524.66,505861.421,1400
1.59658E+12,2020/8/4 22:00,EOS/USDT,3.0499,3.058,3.0417,3.0519,268891.39,819726.241,1953
1.59658E+12,2020/8/4 23:00,EOS/USDT,3.0515,3.0553,3.027,3.0363,260462.38,791974.1583,2078
1.59659E+12,2020/8/5 0:00,EOS/USDT,3.0371,3.043,3.0137,3.0315,534355.93,1617542.039,3515
1.59659E+12,2020/8/5 1:00,EOS/USDT,3.0329,3.0329,3.0023,3.0209,433154.01,1307265.893,2774
1.59659E+12,2020/8/5 2:00,EOS/USDT,3.0209,3.0327,3.0065,3.0224,491882.12,1484671.847,3069
1.5966E+12,2020/8/5 3:00,EOS/USDT,3.0227,3.0333,3.0206,3.0301,303194.77,917712.2176,2008
1.5966E+12,2020/8/5 4:00,EOS/USDT,3.0309,3.0358,3.0242,3.029,509144.75,1543042.667,2657
1.5966E+12,2020/8/5 5:00,EOS/USDT,3.0292,3.0357,3.0105,3.0357,352368.62,1065044.62,2408
1.59661E+12,2020/8/5 6:00,EOS/USDT,3.0357,3.0461,3.0304,3.0323,590283.84,1793698.445,3273
1.59661E+12,2020/8/5 7:00,EOS/USDT,3.0325,3.0398,3.026,3.0317,275855.48,836674.1886,1992
1.59661E+12,2020/8/5 8:00,EOS/USDT,3.0316,3.042,3.0227,3.0332,439897.69,1334692.252,2529
1.59662E+12,2020/8/5 9:00,EOS/USDT,3.0337,3.0535,3.0292,3.0513,663504.69,2020248.645,3440
1.59662E+12,2020/8/5 10:00,EOS/USDT,3.0516,3.0544,3.0405,3.0477,356499.7,1086819.792,2411
1.59663E+12,2020/8/5 11:00,EOS/USDT,3.0482,3.0798,3.0479,3.0633,590997.02,1811486.538,4146
1.59663E+12,2020/8/5 12:00,EOS/USDT,3.064,3.0728,3.0477,3.0681,591789.86,1811463.344,4108
1.59663E+12,2020/8/5 13:00,EOS/USDT,3.0696,3.0813,3.0666,3.0766,623775.6,1917575.792,4202
1.59664E+12,2020/8/5 14:00,EOS/USDT,3.0767,3.0779,3.0399,3.0551,712864.82,2179650.088,4842
1.59664E+12,2020/8/5 15:00,EOS/USDT,3.0551,3.068,3.0508,3.056,447204.71,1367732.848,3411
1.59664E+12,2020/8/5 16:00,EOS/USDT,3.0557,3.1,3.0482,3.0628,814114.35,2506340.454,6131
1.59665E+12,2020/8/5 17:00,EOS/USDT,3.0626,3.0671,3.0514,3.0664,250868.78,767654.3748,2207
1.59665E+12,2020/8/5 18:00,EOS/USDT,3.0666,3.0727,3.0548,3.0604,179223.16,549144.0668,1717
1.59665E+12,2020/8/5 19:00,EOS/USDT,3.0606,3.0765,3.059,3.0634,242482.14,743402.4487,1921
1.59666E+12,2020/8/5 20:00,EOS/USDT,3.0634,3.077,3.0578,3.0769,176725.26,542417.8501,1490
1.59666E+12,2020/8/5 21:00,EOS/USDT,3.0771,3.0838,3.0731,3.083,179825.02,553545.742,1879
1.59666E+12,2020/8/5 22:00,EOS/USDT,3.0831,3.0838,3,3.0265,1170732.29,3555826.622,7917
1.59667E+12,2020/8/5 23:00,EOS/USDT,3.0267,3.0572,3.0259,3.0545,423472.35,1289599.934,3401
1.59667E+12,2020/8/6 0:00,EOS/USDT,3.0557,3.07,3.0459,3.0541,611701.09,1870162.534,4668
1.59668E+12,2020/8/6 1:00,EOS/USDT,3.0537,3.0537,3.0356,3.045,365342.15,1112360.983,2821
1.59668E+12,2020/8/6 2:00,EOS/USDT,3.0451,3.0515,3.0342,3.0399,314281.96,955553.2741,2774
1.59668E+12,2020/8/6 3:00,EOS/USDT,3.0401,3.0401,3.025,3.0329,347714.03,1054114.85,2644
1.59669E+12,2020/8/6 4:00,EOS/USDT,3.0325,3.0325,3.0023,3.0065,757217.3,2283629.899,5471
1.59669E+12,2020/8/6 5:00,EOS/USDT,3.0065,3.0241,2.9985,3.0118,450514.14,1356299.712,3149
1.59669E+12,2020/8/6 6:00,EOS/USDT,3.0113,3.0308,3.0089,3.0274,219471.19,663631.9074,1748
1.5967E+12,2020/8/6 7:00,EOS/USDT,3.0273,3.0318,3.0074,3.0115,368903.98,1114878.616,2213
1.5967E+12,2020/8/6 8:00,EOS/USDT,3.0108,3.0377,3.0085,3.0325,293528.39,888301.0211,2161
1.5967E+12,2020/8/6 9:00,EOS/USDT,3.0325,3.0347,3.0188,3.021,200405.63,606361.8971,1558
1.59671E+12,2020/8/6 10:00,EOS/USDT,3.0211,3.0259,3.0062,3.01,482137.51,1453548.74,2357
1.59671E+12,2020/8/6 11:00,EOS/USDT,3.0094,3.0238,3.0058,3.0172,367199.04,1107822.734,1913
1.59672E+12,2020/8/6 12:00,EOS/USDT,3.0171,3.062,3.017,3.0491,800051.56,2433000.075,5324
1.59672E+12,2020/8/6 13:00,EOS/USDT,3.0496,3.0704,3.0399,3.0668,694132.43,2121346.976,4209
1.59672E+12,2020/8/6 14:00,EOS/USDT,3.0657,3.0692,3.05,3.0554,716810.81,2193109.035,4058
1.59673E+12,2020/8/6 15:00,EOS/USDT,3.0563,3.1181,3.0554,3.0957,1745336.15,5408466.078,10260
1.59673E+12,2020/8/6 16:00,EOS/USDT,3.0963,3.1429,3.0929,3.1327,1385999.59,4323800.222,8719
1.59673E+12,2020/8/6 17:00,EOS/USDT,3.1323,3.1402,3.1021,3.1178,606694.73,1892108.735,3776
1.59674E+12,2020/8/6 18:00,EOS/USDT,3.1182,3.1276,3.0737,3.106,697651.31,2166363.637,4804
1.59674E+12,2020/8/6 19:00,EOS/USDT,3.1053,3.1521,3.1,3.1514,774057.31,2420131.58,5263
1.59674E+12,2020/8/6 20:00,EOS/USDT,3.1513,3.198,3.1047,3.1301,942177.35,2971432.818,6162
1.59675E+12,2020/8/6 21:00,EOS/USDT,3.1301,3.1431,3.054,3.0916,674517.88,2082986.799,5103
1.59675E+12,2020/8/6 22:00,EOS/USDT,3.092,3.1058,3.0756,3.104,833896.09,2576018.492,5238
1.59675E+12,2020/8/6 23:00,EOS/USDT,3.1028,3.104,3.0702,3.089,477841.28,1474911.008,3071
1.59676E+12,2020/8/7 0:00,EOS/USDT,3.089,3.1062,3.0803,3.1025,369659.89,1144439.819,2683
1.59676E+12,2020/8/7 1:00,EOS/USDT,3.1025,3.1421,3.1009,3.1373,638008.48,1994697.162,4558
1.59677E+12,2020/8/7 2:00,EOS/USDT,3.1373,3.1634,3.1353,3.1479,745985.99,2350923.388,4344
1.59677E+12,2020/8/7 3:00,EOS/USDT,3.148,3.1543,3.1236,3.1242,537367.14,1688974.599,3340
1.59677E+12,2020/8/7 4:00,EOS/USDT,3.1242,3.1421,3.1134,3.1391,428501.46,1339647.838,3203
1.59678E+12,2020/8/7 5:00,EOS/USDT,3.1384,3.1407,3.114,3.1278,609083.14,1905166.517,4189
1.59678E+12,2020/8/7 6:00,EOS/USDT,3.1278,3.1447,3.1192,3.1357,302325.91,947573.0973,2192
1.59678E+12,2020/8/7 7:00,EOS/USDT,3.1357,3.1357,3.1244,3.1324,222095.82,694917.1937,1841
1.59679E+12,2020/8/7 8:00,EOS/USDT,3.1324,3.2039,3.1161,3.1984,1284651.77,4070290.313,8934
1.59679E+12,2020/8/7 9:00,EOS/USDT,3.1968,3.25,3.185,3.2137,1332179.3,4294311.08,9774
1.59679E+12,2020/8/7 10:00,EOS/USDT,3.2136,3.2227,3.1874,3.2026,535416.09,1717225.958,3908
1.5968E+12,2020/8/7 11:00,EOS/USDT,3.2016,3.2036,3.1573,3.1823,725949,2310108.355,5029
1.5968E+12,2020/8/7 12:00,EOS/USDT,3.183,3.2,3.1591,3.2,845300.37,2689835.581,5377
1.59681E+12,2020/8/7 13:00,EOS/USDT,3.1999,3.2081,3.175,3.1898,340731.55,1087998.083,2894
1.59681E+12,2020/8/7 14:00,EOS/USDT,3.1898,3.1898,3.07,3.1365,2158528.34,6757399.237,12734
1.59681E+12,2020/8/7 15:00,EOS/USDT,3.1367,3.1566,3.1266,3.135,633806.87,1992221.533,4063
1.59682E+12,2020/8/7 16:00,EOS/USDT,3.1348,3.1483,3.1064,3.1064,781564.94,2441848.859,5024
1.59682E+12,2020/8/7 17:00,EOS/USDT,3.1059,3.1198,2.7612,2.9363,5307377.03,15682570.09,34726
1.59682E+12,2020/8/7 18:00,EOS/USDT,2.9359,2.958,2.88,2.95,1428981.08,4171154.739,10277
1.59683E+12,2020/8/7 19:00,EOS/USDT,2.95,2.9707,2.9416,2.9707,511830.98,1514463.303,3618
1.59683E+12,2020/8/7 20:00,EOS/USDT,2.9707,2.9885,2.9553,2.9837,441640.93,1315493.481,3489
1.59683E+12,2020/8/7 21:00,EOS/USDT,2.9835,3.0161,2.979,3.0102,262185.5,786050.4149,2417
1.59684E+12,2020/8/7 22:00,EOS/USDT,3.0103,3.0381,3.0035,3.0122,396423.96,1197905.819,2734
1.59684E+12,2020/8/7 23:00,EOS/USDT,3.0121,3.0298,2.9938,3.0104,328874.24,990802.99,2439
1.59684E+12,2020/8/8 0:00,EOS/USDT,3.0103,3.0112,2.9748,3.0003,451242.88,1351503.528,2949
1.59685E+12,2020/8/8 1:00,EOS/USDT,3.0005,3.0214,3.0003,3.0201,308646.23,930694.5582,2008
1.59685E+12,2020/8/8 2:00,EOS/USDT,3.0203,3.025,2.9892,2.9992,274944.23,826303.198,1791
1.59686E+12,2020/8/8 3:00,EOS/USDT,2.9991,2.9991,2.9727,2.9889,291701.59,871260.4136,2125
1.59686E+12,2020/8/8 4:00,EOS/USDT,2.9879,3.002,2.98,2.9833,179232.69,536373.1202,1671
1.59686E+12,2020/8/8 5:00,EOS/USDT,2.9825,3.0156,2.9815,3.0114,260606.28,781733.8282,1787
1.59687E+12,2020/8/8 6:00,EOS/USDT,3.0114,3.0137,2.9985,3.0069,182987.38,549846.0326,1415
1.59687E+12,2020/8/8 7:00,EOS/USDT,3.0068,3.0104,3.0003,3.002,207239.41,622852.5976,1529
1.59687E+12,2020/8/8 8:00,EOS/USDT,3.0024,3.0068,2.9787,2.9929,376003.63,1124102.953,2242
