time_stamp,open,high,low,close,vol
2018-07-03,8.9665,9.4363,8.6051,8.8336,11219476.51
2018-07-04,8.8336,9.3955,8.7092,8.9064,6569646.07
2018-07-05,8.9097,9.2219,8.6583,8.8328,8412873.07
2018-07-06,8.833,8.8735,8.288,8.6303,4527731.38
2018-07-07,8.6449,8.8931,8.3517,8.8336,2062917.31
2018-07-08,8.8332,8.9801,8.6501,8.6827,9139546.76
2018-07-09,8.6826,8.7165,7.5,7.7092,8872131.76
2018-07-10,7.7045,7.824,7.0503,7.1196,6524620.99
2018-07-11,7.1199,7.3993,6.72,7.1616,12859537.82
2018-07-12,7.1668,7.1704,6.54,6.9207,14581793.54
2018-07-13,6.9208,7.2245,6.6881,6.8921,14260068.83
2018-07-14,6.8982,7.088,6.764,6.9237,12584240.6
2018-07-15,6.9268,7.5346,6.852,7.4075,13645106.84
2018-07-16,7.4026,8.1819,7.2202,8.0899,15310182.77
2018-07-17,8.0845,8.9686,7.83,8.7826,15072014.32
2018-07-18,8.783,9.37,8.4287,8.6018,15368313.36
2018-07-19,8.6015,8.7592,8.1528,8.4175,12014171.9
2018-07-20,8.422,8.6069,7.711,7.8583,11299468.79
2018-07-21,7.8583,8.2419,7.572,8.0,8592901.02
2018-07-22,7.9939,8.27,7.71,7.8488,7179671.84
2018-07-23,7.8461,8.4144,7.7811,7.9353,5692633.2
2018-07-24,7.9336,8.6967,7.7165,8.5871,11998912.88
2018-07-25,8.5809,9.1407,8.3385,8.532,14376822.84
2018-07-26,8.5307,8.86,8.19,8.3,13521194.47
2018-07-27,8.298,8.5352,8.0,8.4321,14149475.26
2018-07-28,8.4296,8.4535,8.12,8.3523,12344279.7
2018-07-29,8.3501,8.477,8.13,8.3148,11644873.39
2018-07-30,8.3171,8.35,7.4,7.7421,11922994.36
2018-07-31,7.7303,7.7464,7.1,7.3317,10844162.96
2018-08-01,7.3317,7.3937,6.88,7.2176,9579047.93
2018-08-02,7.2146,7.3207,6.8707,7.0072,8516504.08
2018-08-03,7.0071,7.2539,6.85,7.1784,7840361.16
2018-08-04,7.1785,7.3194,6.8788,6.9779,2585204.18
2018-08-05,6.9779,7.0889,6.9029,7.0373,9206157.48
2018-08-06,7.0339,7.1602,6.9273,7.0608,8405635.46
2018-08-07,7.0576,7.19,6.501,6.5689,9777297.88
2018-08-08,6.569,6.569,5.35,5.5788,13221551.54
2018-08-09,5.5788,5.9416,5.3988,5.7581,12850965.32
2018-08-10,5.7548,5.8131,5.1606,5.2454,13561226.17
2018-08-11,5.2479,5.3293,4.8152,4.9669,13957284.98
2018-08-12,4.9638,5.1701,4.9002,4.9653,11379903.76
2018-08-13,4.9631,5.17,4.4723,4.5799,13437268.88
2018-08-14,4.5818,4.5885,4.15,4.5771,13455331.16
2018-08-15,4.5772,4.9203,4.48,4.6208,13564051.57
2018-08-16,4.6208,4.8119,4.434,4.521,12620729.2
2018-08-17,4.517,5.6,4.4866,5.5834,16303531.19
2018-08-18,5.5901,5.661,4.82,5.0788,9205753.27
2018-08-19,5.0764,5.4093,4.9374,5.2843,4144220.91
2018-08-20,5.2854,5.355,4.6641,4.702,12405439.12
2018-08-21,4.702,4.95,4.65,4.9098,11624179.41
2018-08-22,4.9112,5.332,4.5203,4.7144,14950192.46
2018-08-23,4.711,4.9512,4.641,4.8961,11319765.31
2018-08-24,4.8964,5.1084,4.771,5.0416,12609719.58
2018-08-25,5.0483,5.0706,4.9038,5.0284,11571667.26
2018-08-26,5.0309,5.048,4.8171,4.9497,11920852.34
2018-08-27,4.9457,5.4351,4.9043,5.392,14618857.84
2018-08-28,5.3919,6.03,5.27,5.9165,15445866.35
2018-08-29,5.9174,6.4802,5.7696,6.1251,17756893.76
2018-08-30,6.1252,6.2799,5.7304,6.064,13024568.83
2018-08-31,6.0641,6.5,5.9171,6.4025,15251455.65
2018-09-01,6.4085,6.8116,6.3971,6.667,14560265.7
2018-09-02,6.667,6.6962,6.3158,6.6366,12465241.13
2018-09-03,6.6386,6.719,6.3834,6.4649,11189975.03
2018-09-04,6.4668,6.64,6.3327,6.48,12281351.21
2018-09-05,6.48,6.58,5.0952,5.1511,16739077.82
2018-09-06,5.1498,5.2656,4.85,5.2363,15053327.18
2018-09-07,5.2339,5.35,4.93,5.0515,12515313.61
2018-09-08,5.0504,5.1469,4.63,4.745,12253396.81
2018-09-09,4.7426,5.1895,4.6501,4.9449,14468610.64
2018-09-10,4.9449,5.12,4.887,5.0286,12480946.54
2018-09-11,5.0343,5.096,4.72,4.9865,13071963.25
2018-09-12,4.9849,4.988,4.75,4.945,10668222.16
2018-09-13,4.9468,5.5555,4.923,5.38,15282999.29
2018-09-14,5.3844,5.536,5.1293,5.2196,12062133.24
2018-09-15,5.2195,5.52,5.21,5.3401,10294566.5
2018-09-16,5.3399,5.49,5.1975,5.409,10006590.53
2018-09-17,5.4069,5.4831,4.6745,4.8398,14189706.28
2018-09-18,4.8431,5.268,4.7719,5.0565,11968752.83
2018-09-19,5.0507,5.3451,4.91,5.2369,11557489.81
2018-09-20,5.2381,5.8582,5.1813,5.7432,12196969.94
2018-09-21,5.7432,6.2732,5.6,6.1901,13964071.13
2018-09-22,6.1859,6.3,5.7611,5.9481,6891666.21
2018-09-23,5.9429,6.1555,5.8104,6.0263,7827471.98
2018-09-24,6.0265,6.0405,5.5882,5.6679,6324359.4
2018-09-25,5.6752,5.6755,5.01,5.4194,13107074.59
2018-09-26,5.4216,5.77,5.2301,5.55,13589930.21
2018-09-27,5.5518,5.9632,5.3464,5.8253,13301558.47
2018-09-28,5.8253,6.0242,5.6581,5.7562,13991389.18
2018-09-29,5.7562,5.8543,5.4521,5.7439,11890491.74
2018-09-30,5.7452,5.916,5.3587,5.7257,14404746.48
2018-10-01,5.7259,5.85,5.5155,5.7376,9502063.72
2018-10-02,5.7331,5.79,5.5344,5.6163,11317245.16
2018-10-03,5.6096,5.689,5.4431,5.6153,12220807.4
2018-10-04,5.6153,5.91,5.6026,5.8008,13111708.54
2018-10-05,5.8017,5.9,5.6502,5.82,13095178.01
2018-10-06,5.8217,5.853,5.6666,5.73,14095923.21
2018-10-07,5.73,5.8,5.6239,5.763,13803783.81
2018-10-08,5.7585,6.0298,5.723,5.9369,14268017.55
2018-10-09,5.9369,5.9817,5.84,5.9214,11960473.4
2018-10-10,5.9237,5.9648,5.81,5.9197,12939478.14
2018-10-11,5.9197,5.9237,5.02,5.0965,8380207.78
2018-10-12,5.0965,5.3279,5.0151,5.199,8327490.77
2018-10-13,5.1988,5.345,5.17,5.2948,7431030.63
2018-10-14,5.3022,5.3439,5.1638,5.2149,7676548.92
2018-10-15,5.2105,6.05,5.1448,5.5925,13959008.4
2018-10-16,5.5924,5.6785,5.4991,5.574,6878185.15
