time_stamp,open,high,low,close,vol
2018-07-03,476.32,486.98,457.0,461.82,186954.55478
2018-07-04,461.78,482.7,458.02,467.38,101886.20199
2018-07-05,467.19,480.0,458.8,467.87,125806.0083
2018-07-06,467.79,476.0,451.29,470.47,100428.64802
2018-07-07,470.48,487.99,461.5,485.57,83629.95382
2018-07-08,485.57,495.98,482.05,486.77,144703.13626
2018-07-09,486.55,488.98,468.2,471.71,89532.14109
2018-07-10,471.73,473.23,427.69,432.48,173640.9762
2018-07-11,432.55,452.69,424.2,444.99,159022.59726
2018-07-12,444.99,445.36,416.94,431.14,181877.07924
2018-07-13,431.14,442.47,424.62,432.46,150320.32532
2018-07-14,432.43,440.0,428.26,433.19,122253.69397
2018-07-15,433.2,455.0,430.52,449.78,140415.27048
2018-07-16,449.79,480.57,444.03,478.49,172440.71343
2018-07-17,478.49,512.0,465.29,498.76,215318.06761
2018-07-18,498.89,515.47,468.01,479.41,236137.8071
2018-07-19,479.4,484.15,462.57,468.57,171308.06705
2018-07-20,468.7,471.02,440.0,449.04,160873.38244
2018-07-21,449.04,468.97,441.18,460.23,74259.64067
2018-07-22,460.23,472.2,454.19,457.47,60684.89595
2018-07-23,457.47,469.82,447.11,450.05,106561.46081
2018-07-24,450.05,484.27,448.47,479.28,158286.759
2018-07-25,479.24,485.77,464.0,472.1,170475.54936
2018-07-26,472.11,485.0,460.0,462.64,173976.2192
2018-07-27,462.17,474.0,455.84,470.09,198304.79211
2018-07-28,470.09,472.0,460.82,469.29,156862.59361
2018-07-29,468.44,472.0,461.6,466.4,138747.56334
2018-07-30,466.4,469.79,446.1,456.23,179581.79415
2018-07-31,456.19,457.3,427.0,432.22,214913.57229
2018-08-01,432.2,434.99,406.55,420.41,209570.0844
2018-08-02,420.37,425.52,407.43,410.62,178421.10672
2018-08-03,410.62,420.01,396.61,417.52,201156.61154
2018-08-04,417.58,419.53,401.86,407.21,179498.57515
2018-08-05,407.21,413.24,400.16,408.79,158913.77206
2018-08-06,408.77,413.28,397.08,405.28,166496.42465
2018-08-07,405.19,412.76,369.19,378.21,207706.11078
2018-08-08,378.2,380.42,347.25,355.48,275047.10788
2018-08-09,355.48,369.9,350.51,363.3,244268.20567
2018-08-10,363.21,365.87,325.95,331.81,264274.13378
2018-08-11,331.88,332.98,304.45,317.69,335634.67243
2018-08-12,317.49,327.13,313.42,317.89,135524.79994
2018-08-13,317.96,321.99,280.68,283.81,307713.22214
2018-08-14,283.81,283.81,250.0,278.41,485174.37541
2018-08-15,278.47,304.45,276.3,281.12,438620.64156
2018-08-16,281.46,298.6,277.55,287.17,235665.2551
2018-08-17,286.84,318.0,285.0,317.51,342556.46068
2018-08-18,317.51,321.33,281.79,294.11,384021.38829
2018-08-19,294.1,307.4,288.2,299.42,288483.44841
2018-08-20,299.3,304.04,269.5,270.51,219153.78936
2018-08-21,270.51,285.9,269.7,281.21,224701.57671
2018-08-22,281.09,298.89,259.5,270.8,403936.78303
2018-08-23,270.68,280.3,267.55,275.99,277304.60909
2018-08-24,276.06,283.1,270.22,281.19,271850.21373
