time_stamp,open,high,low,close,vol
2020-09-01 04:15:00,6.5231,6.53,6.47,6.5137,230992.8
2020-09-01 04:30:00,6.5164,6.52,6.47,6.5025,120332.11
2020-09-01 04:45:00,6.5015,6.5519,6.46,6.46,126712.68
2020-09-01 05:00:00,6.4602,6.5218,6.3985,6.5218,189790.86
2020-09-01 05:15:00,6.5218,6.5286,6.44,6.4689,100674.0
2020-09-01 05:30:00,6.4663,6.5069,6.45,6.4654,74278.79
2020-09-01 05:45:00,6.4682,6.5538,6.44,6.5504,112759.05
2020-09-01 06:00:00,6.5519,6.5737,6.4686,6.4766,155559.15
2020-09-01 06:15:00,6.4813,6.6093,6.4683,6.6018,204892.32
2020-09-01 06:30:00,6.5977,6.7997,6.55,6.7741,506287.01
2020-09-01 06:45:00,6.7753,6.8619,6.7011,6.7348,731656.63
2020-09-01 07:00:00,6.7477,6.837,6.6555,6.6914,360616.32
2020-09-01 07:15:00,6.6923,6.775,6.678,6.7328,234261.09
2020-09-01 07:30:00,6.7321,6.84,6.7224,6.7802,219391.91
2020-09-01 07:45:00,6.7827,6.82,6.7128,6.7338,242596.8
2020-09-01 08:00:00,6.7349,6.77,6.616,6.6509,205758.46
2020-09-01 08:15:00,6.6543,6.7399,6.6425,6.7029,179282.43
2020-09-01 08:30:00,6.6988,6.7299,6.66,6.6716,83946.32
2020-09-01 08:45:00,6.6715,6.715,6.6661,6.7,99678.67
2020-09-01 09:00:00,6.7002,6.7634,6.6803,6.6845,153216.01
2020-09-01 09:15:00,6.6878,6.6929,6.603,6.63,136106.89
2020-09-01 09:30:00,6.6285,6.7,6.62,6.6309,114591.43
2020-09-01 09:45:00,6.6314,6.6944,6.55,6.6418,222864.36
2020-09-01 10:00:00,6.6419,6.6419,6.5459,6.5697,259942.57
2020-09-01 10:15:00,6.5697,6.6327,6.568,6.5868,131552.57
2020-09-01 10:30:00,6.5873,6.6089,6.5203,6.524,101985.92
2020-09-01 10:45:00,6.524,6.5853,6.5149,6.5679,133194.56
2020-09-01 11:00:00,6.5679,6.5725,6.4602,6.4779,259738.48
2020-09-01 11:15:00,6.4779,6.5252,6.4316,6.5252,229515.12
2020-09-01 11:30:00,6.5217,6.552,6.46,6.52,157450.41
2020-09-01 11:45:00,6.5213,6.5213,6.2,6.375,532666.69
2020-09-01 12:00:00,6.3751,6.42,6.2774,6.4082,288916.52
2020-09-01 12:15:00,6.4099,6.4801,6.357,6.4625,197918.33
2020-09-01 12:30:00,6.4691,6.4828,6.4132,6.4735,129315.62
2020-09-01 12:45:00,6.4735,6.4827,6.37,6.37,101042.1
2020-09-01 13:00:00,6.37,6.4463,6.3173,6.3502,183329.52
2020-09-01 13:15:00,6.3489,6.45,6.3429,6.4409,139314.23
2020-09-01 13:30:00,6.4409,6.4488,6.3626,6.4366,127144.15
2020-09-01 13:45:00,6.4388,6.4429,6.3901,6.4085,78217.02
2020-09-01 14:00:00,6.4085,6.4249,6.33,6.39,145075.65
2020-09-01 14:15:00,6.3899,6.5062,6.3628,6.5056,125662.13
2020-09-01 14:30:00,6.5056,6.5568,6.4463,6.5469,163289.9
2020-09-01 14:45:00,6.55,6.62,6.5355,6.57,225727.66
2020-09-01 15:00:00,6.5656,6.604,6.45,6.4823,243315.52
2020-09-01 15:15:00,6.4834,6.4924,6.3888,6.3999,195776.46
2020-09-01 15:30:00,6.3988,6.4545,6.2886,6.3822,363460.3
2020-09-01 15:45:00,6.3798,6.414,6.33,6.3404,280252.36
2020-09-01 16:00:00,6.3404,6.35,6.1822,6.2737,708011.31
2020-09-01 16:15:00,6.2742,6.3745,6.2663,6.3357,189577.24
2020-09-01 16:30:00,6.3357,6.3978,6.3325,6.3651,82473.08
2020-09-01 16:45:00,6.3632,6.3693,6.2655,6.287,123078.26
2020-09-01 17:00:00,6.2849,6.333,6.2691,6.3329,72184.16
2020-09-01 17:15:00,6.332,6.3723,6.279,6.333,131498.36
2020-09-01 17:30:00,6.3322,6.3819,6.3279,6.3799,93560.61
2020-09-01 17:45:00,6.3798,6.4188,6.365,6.4162,74506.23
2020-09-01 18:00:00,6.4179,6.457,6.35,6.3561,127557.34
2020-09-01 18:15:00,6.3578,6.422,6.3578,6.4196,83031.38
2020-09-01 18:30:00,6.4201,6.4248,6.3897,6.3992,65748.54
2020-09-01 18:45:00,6.399,6.399,6.3325,6.3325,60757.22
2020-09-01 19:00:00,6.3351,6.3638,6.31,6.3483,67848.37
2020-09-01 19:15:00,6.3483,6.3823,6.2976,6.3074,80240.54
