time_stamp,open,high,low,close,vol
2021-03-24 07:00:00,4.13,4.175,4.13,4.17,140440.8641
2021-03-24 07:15:00,4.172,4.172,4.15,4.157,62845.5279
2021-03-24 07:30:00,4.158,4.172,4.157,4.169,41112.3707
2021-03-24 07:45:00,4.169,4.175,4.161,4.169,39734.2338
2021-03-24 08:00:00,4.169,4.189,4.168,4.176,66429.8054
2021-03-24 08:15:00,4.176,4.194,4.176,4.185,55730.4779
2021-03-24 08:30:00,4.186,4.186,4.17,4.174,38419.7285
2021-03-24 08:45:00,4.174,4.182,4.173,4.177,34788.3121
2021-03-24 09:00:00,4.177,4.187,4.177,4.186,38763.7186
2021-03-24 09:15:00,4.186,4.186,4.176,4.185,22293.37
2021-03-24 09:30:00,4.185,4.189,4.179,4.179,20613.9026
2021-03-24 09:45:00,4.178,4.183,4.175,4.18,21912.0976
2021-03-24 10:00:00,4.182,4.183,4.154,4.159,22683.7419
2021-03-24 10:15:00,4.157,4.171,4.157,4.158,25398.66
2021-03-24 10:30:00,4.158,4.176,4.154,4.173,32810.7758
2021-03-24 10:45:00,4.173,4.173,4.163,4.17,12295.5463
2021-03-24 11:00:00,4.171,4.175,4.161,4.167,20273.1517
2021-03-24 11:15:00,4.168,4.169,4.16,4.16,15006.8021
2021-03-24 11:30:00,4.161,4.181,4.155,4.181,31540.514
2021-03-24 11:45:00,4.181,4.181,4.168,4.179,26822.0902
2021-03-24 12:00:00,4.178,4.208,4.178,4.205,127476.139
2021-03-24 12:15:00,4.206,4.216,4.193,4.197,80893.8607
2021-03-24 12:30:00,4.198,4.205,4.189,4.197,118598.8589
2021-03-24 12:45:00,4.196,4.209,4.194,4.202,61308.8181
2021-03-24 13:00:00,4.202,4.207,4.177,4.194,33198.2109
2021-03-24 13:15:00,4.194,4.197,4.18,4.187,21628.3134
2021-03-24 13:30:00,4.186,4.196,4.176,4.177,33594.7825
2021-03-24 13:45:00,4.178,4.183,4.14,4.163,83520.1486
2021-03-24 14:00:00,4.164,4.175,4.156,4.174,23921.2191
2021-03-24 14:15:00,4.175,4.267,4.167,4.257,202001.3762
2021-03-24 14:30:00,4.256,4.311,4.239,4.283,391129.5331
2021-03-24 14:45:00,4.284,4.297,4.253,4.258,124647.8746
2021-03-24 15:00:00,4.258,4.287,4.238,4.252,127591.283
2021-03-24 15:15:00,4.253,4.26,4.224,4.232,62513.7169
2021-03-24 15:30:00,4.231,4.246,4.198,4.208,113583.8725
2021-03-24 15:45:00,4.207,4.23,4.207,4.23,41815.51
2021-03-24 16:00:00,4.23,4.253,4.207,4.242,87591.3681
2021-03-24 16:15:00,4.244,4.244,4.218,4.222,52166.0106
2021-03-24 16:30:00,4.223,4.248,4.212,4.248,36132.1142
2021-03-24 16:45:00,4.248,4.304,4.248,4.263,95227.7173
2021-03-24 17:00:00,4.263,4.282,4.252,4.253,76261.9489
2021-03-24 17:15:00,4.251,4.267,4.232,4.265,40360.2455
2021-03-24 17:30:00,4.265,4.297,4.261,4.28,40279.0716
2021-03-24 17:45:00,4.28,4.281,4.264,4.265,25981.1255
2021-03-24 18:00:00,4.265,4.277,4.239,4.25,33069.9082
2021-03-24 18:15:00,4.248,4.262,4.231,4.237,12419.0582
2021-03-24 18:30:00,4.236,4.246,4.205,4.207,41780.9618
2021-03-24 18:45:00,4.206,4.217,4.175,4.176,98623.0922
2021-03-24 19:00:00,4.178,4.207,4.178,4.205,45748.3056
2021-03-24 19:15:00,4.202,4.206,4.162,4.173,60679.9444
2021-03-24 19:30:00,4.175,4.184,4.088,4.116,159959.3435
2021-03-24 19:45:00,4.117,4.141,4.109,4.119,54084.9987
2021-03-24 20:00:00,4.117,4.117,4.069,4.074,110102.1526
2021-03-24 20:15:00,4.071,4.101,4.054,4.058,58993.6278
2021-03-24 20:30:00,4.057,4.078,4.044,4.078,113723.1186
2021-03-24 20:45:00,4.078,4.113,4.073,4.098,47128.5888
2021-03-24 21:00:00,4.095,4.111,4.063,4.086,43554.6908
2021-03-24 21:15:00,4.086,4.086,4.072,4.073,40888.5097
2021-03-24 21:30:00,4.073,4.079,4.059,4.078,61710.0149
2021-03-24 21:45:00,4.079,4.099,4.05,4.062,97092.9477
2021-03-24 22:00:00,4.062,4.074,4.036,4.039,90552.3107
2021-03-24 22:15:00,4.036,4.04,3.45,3.566,3358647.5708
2021-03-24 22:30:00,3.566,3.694,3.558,3.681,1206896.0109
2021-03-24 22:45:00,3.679,3.685,3.617,3.672,583311.3502
2021-03-24 23:00:00,3.671,3.714,3.645,3.704,248210.0441
2021-03-24 23:15:00,3.703,3.723,3.647,3.723,294959.7322
2021-03-24 23:30:00,3.722,3.729,3.683,3.728,326746.4877
2021-03-24 23:45:00,3.728,3.728,3.689,3.692,200123.8887
2021-03-25 00:00:00,3.692,3.729,3.65,3.726,382762.3603
2021-03-25 00:15:00,3.727,3.739,3.709,3.727,173610.8271
2021-03-25 00:30:00,3.724,3.724,3.683,3.701,117580.0707
2021-03-25 00:45:00,3.701,3.74,3.701,3.728,81807.8372
2021-03-25 01:00:00,3.728,3.731,3.701,3.713,103985.9608
2021-03-25 01:15:00,3.715,3.727,3.695,3.697,65076.1173
2021-03-25 01:30:00,3.695,3.708,3.663,3.698,146568.5922
2021-03-25 01:45:00,3.698,3.7,3.58,3.597,321340.8989
2021-03-25 02:00:00,3.594,3.646,3.53,3.618,367124.557
2021-03-25 02:15:00,3.617,3.678,3.612,3.671,140509.645
2021-03-25 02:30:00,3.67,3.703,3.669,3.697,114512.6554
2021-03-25 02:45:00,3.697,3.708,3.663,3.669,135185.4123
