time_stamp,open,high,low,close,vol
2020-09-01 04:15:00,3.2331,3.2504,3.2324,3.2415,201527.38
2020-09-01 04:30:00,3.2413,3.2459,3.228,3.235,129878.01
2020-09-01 04:45:00,3.2349,3.2399,3.2302,3.2338,94083.7
2020-09-01 05:00:00,3.2337,3.2499,3.2337,3.2472,160537.34
2020-09-01 05:15:00,3.2476,3.2725,3.2476,3.2526,248159.27
2020-09-01 05:30:00,3.2526,3.272,3.2526,3.2708,138741.86
2020-09-01 05:45:00,3.2711,3.3039,3.2685,3.3024,437442.87
2020-09-01 06:00:00,3.3029,3.3093,3.2819,3.2839,298167.59
2020-09-01 06:15:00,3.2846,3.3095,3.283,3.302,209933.55
2020-09-01 06:30:00,3.3022,3.3047,3.2909,3.2974,174990.27
2020-09-01 06:45:00,3.2965,3.3012,3.286,3.3012,227384.53
2020-09-01 07:00:00,3.3015,3.3421,3.2976,3.3216,554384.97
2020-09-01 07:15:00,3.321,3.3275,3.306,3.3119,154291.32
2020-09-01 07:30:00,3.312,3.3351,3.3111,3.3217,204966.55
2020-09-01 07:45:00,3.3217,3.3359,3.3217,3.332,165097.58
2020-09-01 08:00:00,3.332,3.3443,3.3016,3.3047,339388.38
2020-09-01 08:15:00,3.3044,3.3151,3.3018,3.3098,153186.59
2020-09-01 08:30:00,3.3086,3.3199,3.3086,3.3107,96089.78
2020-09-01 08:45:00,3.3107,3.3189,3.3034,3.3138,104126.58
2020-09-01 09:00:00,3.3138,3.3197,3.302,3.3046,104702.19
2020-09-01 09:15:00,3.3039,3.306,3.2929,3.296,140505.95
2020-09-01 09:30:00,3.2958,3.3187,3.2883,3.3122,178022.06
2020-09-01 09:45:00,3.3127,3.3358,3.3127,3.3317,169402.95
2020-09-01 10:00:00,3.3316,3.3359,3.3174,3.3205,151330.84
2020-09-01 10:15:00,3.3206,3.3563,3.32,3.3444,399422.6
2020-09-01 10:30:00,3.344,3.3492,3.3375,3.3443,115813.26
2020-09-01 10:45:00,3.3445,3.345,3.3327,3.3395,171460.93
2020-09-01 11:00:00,3.3396,3.3411,3.3126,3.3126,122688.16
2020-09-01 11:15:00,3.3122,3.3217,3.309,3.3131,102245.3
2020-09-01 11:30:00,3.3135,3.3235,3.313,3.3203,165029.53
2020-09-01 11:45:00,3.32,3.32,3.3023,3.3073,143811.23
2020-09-01 12:00:00,3.3071,3.3072,3.2853,3.2914,180736.42
2020-09-01 12:15:00,3.2902,3.3069,3.2876,3.3055,204313.61
2020-09-01 12:30:00,3.3053,3.3257,3.3021,3.3257,127257.21
2020-09-01 12:45:00,3.3255,3.3297,3.3186,3.3219,108185.77
2020-09-01 13:00:00,3.323,3.3268,3.2999,3.3067,106567.64
2020-09-01 13:15:00,3.3088,3.3196,3.3054,3.3195,95065.05
2020-09-01 13:30:00,3.3199,3.32,3.305,3.306,75895.54
2020-09-01 13:45:00,3.3067,3.3149,3.3048,3.309,67925.38
2020-09-01 14:00:00,3.3094,3.3114,3.2748,3.2967,339269.51
2020-09-01 14:15:00,3.298,3.3041,3.2913,3.3012,107252.41
2020-09-01 14:30:00,3.3005,3.3189,3.2961,3.3153,123284.95
2020-09-01 14:45:00,3.3141,3.3305,3.3141,3.3305,186674.2
2020-09-01 15:00:00,3.3304,3.3496,3.3263,3.3476,266629.01
