CODES,DATES,high,open,low,close,change,pctchange,volume,turover
600036.SH,2017-08-01 09:30:00,109.114967,109.114967,109.114967,109.114967,,,211900.0,5420402.0
600036.SH,2017-08-01 10:00:00,111.26561,109.114967,108.215614,110.835487,1.72052,1.576796,15361494.0,395529865.0
600036.SH,2017-08-01 10:30:00,110.952789,110.757278,110.288048,110.757278,-0.078209,-0.070563,7477586.0,194240064.0
600036.SH,2017-08-01 11:00:00,110.796379,110.757278,109.740608,109.779716,-0.977562,-0.882616,3897437.0,100727045.0
600036.SH,2017-08-01 11:30:00,110.757278,109.740608,109.740608,110.366249,0.586533,0.534281,3773218.0,97819319.0
600036.SH,2017-08-01 13:30:00,110.835487,110.561768,109.936127,109.975227,-0.391022,-0.354295,2947706.0,76424679.0
600036.SH,2017-08-01 14:00:00,110.366249,109.936127,109.936127,110.092537,0.11731,0.106669,2023845.0,52333523.0
600036.SH,2017-08-01 14:30:00,110.327148,110.053429,109.818817,110.131638,0.039101,0.035516,2422941.0,62574712.0
600036.SH,2017-08-01 15:00:00,111.343819,110.131638,110.014328,111.30471,1.173073,1.065155,9690442.0,252057349.0
600036.SH,2017-08-02 09:30:00,111.226517,111.226517,111.226517,111.226517,-0.019999,-0.076506,105200.0,2747824.0
600036.SH,2017-08-02 10:00:00,114.276512,111.226517,110.874588,114.041893,2.815376,2.53121,18479407.0,491600280.0
600036.SH,2017-08-02 10:30:00,114.472031,113.885483,112.947021,113.377151,-0.664742,-0.582892,9792641.0,261957472.0
600036.SH,2017-08-02 11:00:00,113.494461,113.416252,112.82972,113.02523,-0.351921,-0.310399,3569359.0,95015340.0
600036.SH,2017-08-02 11:30:00,113.298943,113.064331,112.790619,112.986122,-0.039108,-0.034601,2165531.0,57581680.0
600036.SH,2017-08-02 13:30:00,114.120102,113.02523,112.947021,114.041893,1.055771,0.934425,4868012.0,130119542.0
600036.SH,2017-08-02 14:00:00,114.941254,114.041893,113.84639,113.924583,-0.11731,-0.102865,11800973.0,318039704.0
600036.SH,2017-08-02 14:30:00,114.081001,113.924583,112.986122,113.103439,-0.821144,-0.720779,4747048.0,126848041.0
600036.SH,2017-08-02 15:00:00,113.377151,113.103439,112.790619,113.181641,0.078201,0.069141,5100188.0,135634094.0
600036.SH,2017-08-03 09:30:00,112.790619,112.790619,112.790619,112.790619,-0.1,-0.375659,116818.0,3098013.0
600036.SH,2017-08-03 10:00:00,113.338051,112.82972,112.00856,112.86882,0.078201,0.069333,9642448.0,255668227.0
600036.SH,2017-08-03 10:30:00,113.181641,113.14254,111.852158,111.96946,-0.899361,-0.796819,5731543.0,151312704.0
600036.SH,2017-08-03 11:00:00,112.5951,111.96946,111.96946,112.00856,0.039101,0.034921,3640675.0,96007846.0
600036.SH,2017-08-03 11:30:00,112.047661,112.00856,111.539337,111.617531,-0.391029,-0.349107,4049184.0,106262579.0
600036.SH,2017-08-03 13:30:00,111.930351,111.617531,111.617531,111.73484,0.11731,0.1051,5595095.0,146946335.0
600036.SH,2017-08-03 14:00:00,111.852158,111.69574,110.99189,111.30471,-0.43013,-0.384956,6648232.0,173749020.0
600036.SH,2017-08-03 14:30:00,111.69574,111.26561,111.070099,111.148308,-0.156403,-0.140517,4710829.0,123148807.0
600036.SH,2017-08-03 15:00:00,111.148308,111.148308,110.131638,110.327148,-0.821159,-0.738796,10893785.0,282582876.0
600036.SH,2017-08-04 09:30:00,110.248947,110.248947,110.248947,110.248947,-0.019999,-0.077244,184500.0,4773015.0
600036.SH,2017-08-04 10:00:00,111.030998,110.209846,108.880356,109.036766,-1.212181,-1.099494,10908588.0,281327464.0
600036.SH,2017-08-04 10:30:00,109.310478,108.997658,108.176506,108.919464,-0.117302,-0.10758,16380610.0,416611592.0
600036.SH,2017-08-04 11:00:00,109.818817,109.154076,108.880356,109.623299,0.703835,0.646197,5060165.0,129912461.0
600036.SH,2017-08-04 11:30:00,110.053429,109.662407,108.958565,109.857925,0.234627,0.21403,3141401.0,80616882.0
600036.SH,2017-08-04 13:30:00,110.209846,109.779716,109.427788,109.427788,-0.430138,-0.39154,2457812.0,63309822.0
600036.SH,2017-08-04 14:00:00,109.857925,109.427788,109.349586,109.427788,0.0,0.0,2190711.0,56302921.0
600036.SH,2017-08-04 14:30:00,109.584206,109.388687,108.802147,108.958565,-0.469223,-0.428797,3700746.0,94619494.0
600036.SH,2017-08-04 15:00:00,109.505997,108.958565,108.723946,108.880356,-0.078209,-0.071779,4902563.0,125281285.0
600036.SH,2017-08-07 09:30:00,108.411125,108.411125,108.411125,108.411125,-0.120001,-0.470223,274687.0,6977050.0
600036.SH,2017-08-07 10:00:00,109.975227,108.606644,108.411125,109.662407,1.251282,1.1542,7708041.0,197400744.0
600036.SH,2017-08-07 10:30:00,111.148308,109.975227,109.584206,110.444458,0.782051,0.713144,6670413.0,172858784.0
600036.SH,2017-08-07 11:00:00,110.67907,110.444458,110.209846,110.288048,-0.15641,-0.141619,2184602.0,56596968.0
600036.SH,2017-08-07 11:30:00,110.366249,110.366249,109.857925,110.170746,-0.117302,-0.10636,1857058.0,47998797.0
600036.SH,2017-08-07 13:30:00,110.600868,110.170746,110.170746,110.483566,0.31282,0.283941,2420485.0,62713787.0
600036.SH,2017-08-07 14:00:00,110.796379,110.522667,110.131638,110.561768,0.078201,0.070781,3721256.0,96552701.0
600036.SH,2017-08-07 14:30:00,110.874588,110.561768,110.444458,110.639969,0.078201,0.070731,2731547.0,70961086.0
600036.SH,2017-08-07 15:00:00,110.99189,110.67907,110.483566,110.67907,0.039101,0.03534,3345494.0,86964763.0
600036.SH,2017-08-08 09:30:00,110.366249,110.366249,110.366249,110.366249,-0.08,-0.307929,75941.0,1966872.0
600036.SH,2017-08-08 10:00:00,110.483566,110.366249,109.505997,110.170746,-0.195503,-0.17714,4437247.0,114423868.0
600036.SH,2017-08-08 10:30:00,110.952789,110.209846,109.779716,109.975227,-0.195518,-0.177469,3440223.0,89040178.0
600036.SH,2017-08-08 11:00:00,110.014328,110.014328,109.545105,109.779716,-0.195511,-0.177777,1966891.0,50634613.0
600036.SH,2017-08-08 11:30:00,109.857925,109.701508,109.466896,109.818817,0.039101,0.035617,2613880.0,67185607.0
600036.SH,2017-08-08 13:30:00,110.288048,109.818817,109.623299,110.248947,0.43013,0.391672,1935598.0,49935016.0
600036.SH,2017-08-08 14:00:00,110.639969,110.248947,110.014328,110.444458,0.195511,0.177336,2018984.0,52285679.0
600036.SH,2017-08-08 14:30:00,110.952789,110.444458,110.170746,110.483566,0.039108,0.03541,2584898.0,67139019.0
600036.SH,2017-08-08 15:00:00,110.522667,110.483566,109.584206,110.170746,-0.31282,-0.283138,2972684.0,76707422.0
600036.SH,2017-08-09 09:30:00,109.897026,109.897026,109.897026,109.897026,-0.07,-0.270792,116300.0,2998214.0
600036.SH,2017-08-09 10:00:00,110.67907,109.897026,109.193176,110.131638,0.234612,0.213483,3395200.0,87579653.0
600036.SH,2017-08-09 10:30:00,110.483566,110.170746,109.857925,109.975227,-0.15641,-0.142021,2913425.0,75312190.0
600036.SH,2017-08-09 11:00:00,110.757278,109.975227,109.936127,110.288048,0.31282,0.284446,3889830.0,100690971.0
600036.SH,2017-08-09 11:30:00,111.070099,110.209846,110.170746,110.952789,0.664742,0.602732,3954159.0,102716490.0
600036.SH,2017-08-09 13:30:00,110.913696,110.913696,110.209846,110.67907,-0.27372,-0.246699,2212774.0,57451380.0
600036.SH,2017-08-09 14:00:00,110.67907,110.639969,109.623299,109.779716,-0.899353,-0.812577,2998465.0,77431435.0
600036.SH,2017-08-09 14:30:00,109.975227,109.779716,109.427788,109.584206,-0.195511,-0.178094,2302704.0,59229232.0
600036.SH,2017-08-09 15:00:00,109.779716,109.701508,108.841255,108.958565,-0.625641,-0.570922,7465733.0,190993672.0
600036.SH,2017-08-10 09:30:00,108.684837,108.684837,108.684837,108.684837,-0.070002,-0.274086,171263.0,4362069.0
600036.SH,2017-08-10 10:00:00,109.466896,108.684837,108.254715,108.997658,0.31282,0.287823,6253580.0,159304991.0
600036.SH,2017-08-10 10:30:00,109.740608,108.997658,108.254715,108.254715,-0.742943,-0.681614,5026071.0,128199393.0
600036.SH,2017-08-10 11:00:00,108.450226,108.254715,107.355354,107.824585,-0.43013,-0.397331,8592949.0,216871623.0
600036.SH,2017-08-10 11:30:00,107.941895,107.746376,106.847023,106.925232,-0.899353,-0.834089,7933114.0,198977963.0
600036.SH,2017-08-10 13:30:00,107.355354,106.925232,106.807915,107.198944,0.273712,0.255985,5759063.0,144262316.0
600036.SH,2017-08-10 14:00:00,107.629074,107.198944,107.081635,107.394455,0.195511,0.182381,4115275.0,103410068.0
600036.SH,2017-08-10 14:30:00,107.902794,107.355354,107.355354,107.511765,0.11731,0.109232,3317124.0,83627721.0
600036.SH,2017-08-10 15:00:00,107.589973,107.589973,106.847023,107.394455,-0.11731,-0.109113,5296694.0,132992334.0
600036.SH,2017-08-11 09:30:00,106.729713,106.729713,106.729713,106.729713,-0.17,-0.676214,203300.0,5076401.0
600036.SH,2017-08-11 10:00:00,107.863693,106.651512,106.455994,107.629074,0.899361,0.842653,6248820.0,156961960.0
600036.SH,2017-08-11 10:30:00,107.824585,107.668175,106.847023,107.550873,-0.078201,-0.072658,5787666.0,145645438.0
600036.SH,2017-08-11 11:00:00,107.824585,107.472664,106.651512,107.159843,-0.391029,-0.363576,5002003.0,125581243.0
600036.SH,2017-08-11 11:30:00,107.394455,107.238052,106.651512,106.847023,-0.31282,-0.291919,4069211.0,101857060.0
600036.SH,2017-08-11 13:30:00,106.847023,106.847023,105.36113,105.400223,-1.4468,-1.354086,6970398.0,172807974.0
600036.SH,2017-08-11 14:00:00,105.595741,105.400223,104.65728,105.36113,-0.039093,-0.03709,8481533.0,208328635.0
600036.SH,2017-08-11 14:30:00,105.908562,105.282921,105.126503,105.165611,-0.195518,-0.18557,5405138.0,133420611.0
600036.SH,2017-08-11 15:00:00,105.830353,105.126503,104.774582,104.852791,-0.31282,-0.297455,10005169.0,246072126.0
600036.SH,2017-08-14 09:30:00,105.282921,105.282921,105.282921,105.282921,0.110001,0.449165,160100.0,3938460.0
600036.SH,2017-08-14 10:00:00,105.869453,105.282921,104.9701,105.400223,0.117302,0.111416,6709598.0,165386232.0
600036.SH,2017-08-14 10:30:00,105.439323,105.36113,103.91433,105.282921,-0.117302,-0.111292,12172819.0,297153015.0
600036.SH,2017-08-14 11:00:00,105.322021,105.204712,104.618179,104.931,-0.351921,-0.334262,6074113.0,149078803.0
600036.SH,2017-08-14 11:30:00,105.204712,105.087402,104.422661,104.696381,-0.234619,-0.223594,4353830.0,106568242.0
600036.SH,2017-08-14 13:30:00,105.830353,104.500862,104.305359,105.36113,0.664749,0.63493,6752499.0,165840436.0
600036.SH,2017-08-14 14:00:00,106.299591,105.517532,105.400223,106.104073,0.742943,0.705139,8010049.0,198338201.0
600036.SH,2017-08-14 14:30:00,106.377785,106.104073,105.791252,106.025871,-0.078201,-0.073702,5510598.0,136757342.0
600036.SH,2017-08-14 15:00:00,106.299591,105.947662,105.67395,106.064964,0.039093,0.036871,3851166.0,95479084.0
600036.SH,2017-08-15 09:30:00,106.064964,106.064964,106.064964,106.064964,0.0,0.0,132500.0,3286000.0
600036.SH,2017-08-15 10:00:00,108.919464,106.064964,105.986771,108.880356,2.815392,2.654403,15302288.0,387469397.0
600036.SH,2017-08-15 10:30:00,109.936127,108.919464,108.919464,109.584206,0.70385,0.646443,14108536.0,362005086.0
600036.SH,2017-08-15 11:00:00,110.209846,109.584206,109.193176,109.897026,0.31282,0.285461,7105526.0,182852821.0
600036.SH,2017-08-15 11:30:00,110.131638,109.818817,109.505997,109.545105,-0.351921,-0.320228,4161274.0,107214520.0
600036.SH,2017-08-15 13:30:00,109.740608,109.349586,108.763046,109.036766,-0.508339,-0.464045,3455180.0,88402392.0
600036.SH,2017-08-15 14:00:00,109.075867,109.075867,108.450226,108.567535,-0.469231,-0.430342,2988566.0,76087968.0
600036.SH,2017-08-15 14:30:00,108.606644,108.567535,108.059196,108.567535,0.0,0.0,2810577.0,71338919.0
600036.SH,2017-08-15 15:00:00,108.997658,108.567535,108.489326,108.919464,0.351929,0.324156,3625563.0,92321405.0
600036.SH,2017-08-16 09:30:00,108.450226,108.450226,108.450226,108.450226,-0.120001,-0.470039,97887.0,2487309.0
600036.SH,2017-08-16 10:00:00,108.684837,108.411125,107.355354,107.511765,-0.938461,-0.865338,6593454.0,166353075.0
600036.SH,2017-08-16 10:30:00,108.450226,107.511765,106.925232,108.332916,0.821152,0.763778,5778921.0,145571674.0
600036.SH,2017-08-16 11:00:00,108.332916,108.137405,107.433556,107.629074,-0.703842,-0.649703,3149787.0,79544110.0
600036.SH,2017-08-16 11:30:00,107.941895,107.550873,107.238052,107.355354,-0.27372,-0.254318,3204380.0,80653985.0
