date,open,high,low,close,volume,amount,turn,pctChg,adjustflag
2003-12-16,1.1461600000,1.1908602400,1.1392830400,1.1432946000,7204181,145332638.0000,42.377535,28.461050,2
2003-12-17,1.1106290400,1.1117752000,1.0544672000,1.0573326000,3477866,65175331.0000,20.458035,-7.520000,2
2003-12-18,1.0332632400,1.0573326000,1.0315440000,1.0355555600,1318173,23965459.0000,7.753959,-2.060000,2
2003-12-19,1.0315440000,1.0407132800,0.9690782800,0.9920014800,2108017,36741335.0000,12.400100,-4.210000,2
2003-12-22,0.9748090800,1.0074746400,0.9627744000,0.9994515200,1213452,20717379.0000,7.137953,0.750000,2
2003-12-23,0.9920014800,1.0023169200,0.9759552400,0.9862706800,691433,11905183.0000,4.067253,-1.320000,2
2003-12-24,0.9811129600,0.9960130400,0.9662128800,0.9765283200,757444,12909285.0000,4.455553,-0.990000,2
2003-12-25,0.9960130400,1.0023169200,0.9730898400,0.9954399600,622782,10738937.0000,3.663424,1.940000,2
2003-12-26,0.9971592000,1.0527479600,0.9914284000,1.0120592800,1312989,23444661.0000,7.723465,1.670000,2
2003-12-29,1.0143516000,1.0286786000,0.9954399600,1.0011707600,546522,9636070.0000,3.214835,-1.080000,2
2003-12-30,1.0000246000,1.0028900000,0.9805398800,0.9897091600,443489,7674911.0000,2.608759,-1.140000,2
2003-12-31,0.9874168400,1.0424325200,0.9868437600,1.0120592800,973704,17355614.0000,5.727671,2.260000,2
2004-01-02,1.0028900000,1.0372748000,1.0028900000,1.0120592800,503560,8993647.0000,2.962118,0.000000,2
2004-01-05,1.0120592800,1.0510287200,1.0091938800,1.0367017200,760344,13685600.0000,4.472612,2.430000,2
2004-01-06,1.0418594400,1.0533210400,1.0149246800,1.0487364000,924849,16694446.0000,5.440288,1.160000,2
2004-01-07,1.0441517600,1.0619172400,1.0286786000,1.0412863600,966602,17608567.0000,5.685894,-0.710000,2
2004-01-08,1.0418594400,1.1232368000,1.0412863600,1.1054713200,1998483,38127840.0000,11.755782,6.160000,2
2004-01-09,1.1060444000,1.1203714000,1.0607710800,1.0624903200,1232699,23357611.0000,7.251171,-3.890000,2
2004-01-12,1.0647826400,1.0802558000,1.0430056000,1.0796827200,577062,10683086.0000,3.394482,1.620000,2
2004-01-13,1.0791096400,1.0917174000,1.0487364000,1.0573326000,713622,13246067.0000,4.197776,-2.070000,2
2004-01-14,1.0533210400,1.0756711600,1.0361286400,1.0550402800,481555,8823596.0000,2.832676,-0.220000,2
2004-01-15,1.0750980800,1.0985943600,1.0693672800,1.0716596000,833094,15734868.0000,4.900553,1.580000,2
2004-01-16,1.0728057600,1.0940097200,1.0619172400,1.0894250800,736209,13947473.0000,4.330641,1.660000,2
2004-01-30,1.1352714800,1.1524638800,1.0773904000,1.0796827200,1069553,20668847.0000,6.291488,-0.890000,2
2004-02-02,1.0888520000,1.1169329200,1.0596249200,1.0831212000,580126,10991033.0000,3.412506,0.320000,2
2004-02-03,1.0831212000,1.1914333200,1.0831212000,1.1748140000,3196368,63955139.0000,18.802165,8.470000,2
2004-02-04,1.1685101200,1.1708024400,1.1346984000,1.1576216000,1361598,27380437.0000,8.009400,-1.460000,2
2004-02-05,1.1616331600,1.2344143200,1.1518908000,1.1954448800,1440380,30260031.0000,8.472824,3.270000,2
2004-02-06,1.1937256400,1.1983102800,1.1776794000,1.1793986400,692941,14318681.0000,4.076124,-1.340000,2
2004-02-09,1.1811178800,1.2028949200,1.1753870800,1.1942987200,616734,12768756.0000,3.627847,1.260000,2
2004-02-10,1.1942987200,1.2006026000,1.1547562000,1.1650716400,634275,12931593.0000,3.731029,-2.450000,2
2004-02-11,1.1576216000,1.1891410000,1.1518908000,1.1708024400,469638,9570849.0000,2.762576,0.490000,2
2004-02-12,1.1708024400,1.1897140800,1.1650716400,1.1667908800,415500,8514941.0000,2.444118,-0.340000,2
2004-02-13,1.1748140000,1.2195142400,1.1690832000,1.1920064000,947068,19749730.0000,5.570988,2.160000,2
2004-02-16,1.2034680000,1.2710914400,1.2034680000,1.2498874800,1223507,26519441.0000,7.197100,4.860000,2
2004-02-17,1.2596298400,1.2877107600,1.2384258800,1.2521798000,1420452,31341991.0000,8.355600,0.180000,2
2004-02-18,1.2493144000,1.2584836800,1.2206604000,1.2367066400,686487,14808619.0000,4.038159,-1.240000,2
2004-02-19,1.2367066400,1.2722376000,1.2321220000,1.2602029200,716437,15639904.0000,4.214335,1.900000,2
2004-02-20,1.2602029200,1.2693722000,1.2332681600,1.2550452000,645932,14044089.0000,3.799600,-0.410000,2
2004-02-23,1.3805497200,1.3805497200,1.2894300000,1.2934415600,2633631,61523694.0000,15.491947,3.060000,2
2004-02-24,1.2882838400,1.2940146400,1.2613490800,1.2814068800,855521,19031496.0000,5.032476,-0.930000,2
2004-02-25,1.2814068800,1.3352764000,1.2579106000,1.2624952400,959068,21707568.0000,5.641576,-1.480000,2
2004-02-26,1.2607760000,1.2779684000,1.1679370400,1.2023218400,1072988,22804297.0000,6.311694,-4.770000,2
2004-02-27,1.2315489200,1.2464490000,1.2091988000,1.2355604800,530432,11367721.0000,3.120188,2.760000,2
2004-03-01,1.2263912000,1.2355604800,1.1851294400,1.2149296000,502788,10588228.0000,2.957576,-1.670000,2
2004-03-02,1.2149296000,1.2206604000,1.1954448800,1.2091988000,497791,10472666.0000,2.928182,-0.470000,2
2004-03-03,1.2091988000,1.2149296000,1.1851294400,1.1857025200,450422,9398538.0000,2.649541,-1.940000,2
2004-03-04,1.1845563600,1.2269642800,1.1793986400,1.2109180400,408441,8530835.0000,2.402594,2.130000,2
2004-03-05,1.2149296000,1.2195142400,1.1897140800,1.1965910400,375971,7864951.0000,2.211594,-1.180000,2
2004-03-08,1.1977372000,1.2464490000,1.1914333200,1.1937256400,555337,11733091.0000,3.266688,-0.240000,2
2004-03-09,1.1920064000,1.3112070400,1.1891410000,1.2195142400,739989,15939656.0000,4.352876,2.160000,2
2004-03-10,1.2183680800,1.2401451200,1.2149296000,1.2372797200,372525,8009147.0000,2.191324,1.460000,2
2004-03-11,1.2367066400,1.2579106000,1.2326950800,1.2401451200,336481,7308425.0000,1.979300,0.230000,2
2004-03-12,1.2378528000,1.2504605600,1.2120642000,1.2149296000,356411,7613181.0000,2.096535,-2.030000,2
2004-03-15,1.2086257200,1.2258181200,1.1920064000,1.2200873200,531270,11209375.0000,3.125118,0.420000,2
2004-03-16,1.2206604000,1.2258181200,1.1920064000,1.2040410800,470750,9860483.0000,2.769118,-1.320000,2
2004-03-17,1.1977372000,1.2086257200,1.1925794800,1.2011756800,263428,5516455.0000,1.549576,-0.240000,2
2004-03-18,1.2006026000,1.2034680000,1.1685101200,1.1696562800,528550,10920757.0000,3.109118,-2.620000,2
2004-03-19,1.1662178000,1.1771063200,1.1581946800,1.1736678400,451166,9175362.0000,2.653918,0.340000,2
2004-03-22,1.1748140000,1.1902871600,1.1662178000,1.1799717200,204178,4203390.0000,1.201047,0.540000,2
2004-03-23,1.1805448000,1.1805448000,1.1662178000,1.1708024400,165887,3387094.0000,0.975806,-0.780000,2
2004-03-24,1.1708024400,1.1857025200,1.1662178000,1.1673639600,166113,3404975.0000,0.977135,-0.290000,2
2004-03-25,1.1616331600,1.1776794000,1.1616331600,1.1736678400,173652,3536506.0000,1.021482,0.540000,2
2004-03-26,1.1857025200,1.2223796400,1.1805448000,1.2023218400,542930,11433696.0000,3.193706,2.440000,2
2004-03-29,1.2063334000,1.2349874000,1.2034680000,1.2034680000,446461,9521653.0000,2.626241,0.100000,2
2004-03-30,1.2034680000,1.2590567600,1.2034680000,1.2533259600,970510,21095560.0000,5.708882,4.140000,2
2004-03-31,1.2561913600,1.2590567600,1.2321220000,1.2470220800,555848,12100618.0000,3.269694,-0.500000,2
2004-04-01,1.2498874800,1.2693722000,1.2435836000,1.2487413200,500329,10985329.0000,2.943112,0.140000,2
2004-04-02,1.2538990400,1.2882838400,1.2538990400,1.2865646000,738326,16419556.0000,4.343094,3.030000,2
2004-04-05,1.2894300000,1.3570534400,1.2894300000,1.3146455200,1601417,37138766.0000,9.420100,2.180000,2
2004-04-06,1.3180840000,1.3404341200,1.3066224000,1.3157916800,689779,15871942.0000,4.057524,0.090000,2
2004-04-07,1.3134993600,1.3266802000,1.2619221600,1.2762491600,650421,14574500.0000,3.826006,-3.010000,2
2004-04-08,1.2779684000,1.3341302400,1.2779684000,1.3180840000,826702,18866520.0000,4.862953,3.280000,2
2004-04-09,1.3180840000,1.3352764000,1.2464490000,1.2888569200,1054956,23858497.0000,6.205624,-2.220000,2
2004-04-12,1.2607760000,1.2882838400,1.2527528800,1.2751030000,384394,8517815.0000,2.261141,-1.070000,2
2004-04-13,1.2722376000,1.2934415600,1.2607760000,1.2716645200,448353,9993473.0000,2.637371,-0.270000,2
2004-04-14,1.2636414000,1.2710914400,1.2263912000,1.2389989600,514010,11158448.0000,3.023588,-2.570000,2
2004-04-15,1.2389989600,1.2751030000,1.2349874000,1.2613490800,528324,11603577.0000,3.107788,1.800000,2
2004-04-16,1.2613490800,1.3008916000,1.2120642000,1.2349874000,637274,13826931.0000,3.748671,-2.090000,2
2004-04-19,1.2384258800,1.2607760000,1.1920064000,1.1960179600,394879,8400250.0000,2.322818,-3.160000,2
2004-04-20,1.2034680000,1.2034680000,1.1622062400,1.1857025200,322015,6642785.0000,1.894206,-0.860000,2
2004-04-21,1.1828371200,1.2309758400,1.1822640400,1.2034680000,321360,6757617.0000,1.890353,1.500000,2
2004-04-22,1.2034680000,1.2206604000,1.2028949200,1.2120642000,136719,2885350.0000,0.804229,0.710000,2
2004-04-23,1.2040410800,1.2149296000,1.1719486000,1.1793986400,220613,4579354.0000,1.297724,-2.700000,2
2004-04-26,1.1656447200,1.1759601600,1.0877058400,1.0922904800,705173,13734534.0000,4.148076,-7.390000,2
2004-04-27,0.9828322000,1.0888520000,0.9828322000,1.0791096400,842231,15569181.0000,4.954300,-1.210000,2
2004-04-28,1.0665018800,1.1003136000,1.0659288000,1.0831212000,207814,3941230.0000,1.222435,0.370000,2
2004-04-29,1.0831212000,1.1003136000,1.0636364800,1.0762442400,173600,3282184.0000,1.021176,-0.630000,2
2004-04-30,1.0750980800,1.0940097200,1.0544672000,1.0928635600,215642,4077961.0000,1.268482,1.540000,2
2004-05-10,1.0882789200,1.0974482000,1.0630634000,1.0670749600,82085,1539589.0000,0.482853,-2.360000,2
2004-05-11,1.0670749600,1.0940097200,1.0607710800,1.0831212000,92053,1736193.0000,0.541488,1.500000,2
2004-05-12,1.0728057600,1.1175060000,1.0722326800,1.1112021200,160858,3086440.0000,0.946224,2.590000,2
2004-05-13,1.1106290400,1.1112021200,1.0917174000,1.0934366400,58300,1117042.0000,0.342941,-1.600000,2
2004-05-14,1.0945828000,1.1060444000,1.0716596000,1.0745250000,79266,1492821.0000,0.466271,-1.730000,2
2004-05-17,1.0613441600,1.0865596800,1.0601980000,1.0773904000,61301,1145885.0000,0.360594,0.270000,2
2004-05-18,1.0773904000,1.1346984000,1.0773904000,1.1152136800,239763,4662757.0000,1.410371,3.510000,2
2004-05-19,1.1163598400,1.1392830400,1.1054713200,1.1117752000,159800,3133988.0000,0.940000,-0.310000,2
2004-05-21,1.0905712400,1.1060444000,1.0831212000,1.0980212800,106861,2037576.0000,0.628594,-1.240000,2
2004-05-24,1.1048982400,1.1048982400,1.0722326800,1.0796827200,60900,1157440.0000,0.358235,-1.670000,2
2004-05-25,1.0831212000,1.0831212000,1.0538941200,1.0544672000,103600,1927923.0000,0.609412,-2.340000,2
2004-05-26,1.0516018000,1.0814019600,1.0435786800,1.0567595200,73467,1361039.0000,0.432159,0.220000,2
2004-05-27,1.0579056800,1.0991674400,1.0573326000,1.0877058400,109930,2078002.0000,0.646647,2.930000,2
2004-05-28,1.0859866000,1.1020328400,1.0825481200,1.0974482000,127472,2432249.0000,0.749835,0.900000,2
2004-05-31,1.0888520000,1.1455869200,1.0888520000,1.1318330000,514846,10137759.0000,3.028506,3.130000,2
2004-06-01,1.1375638000,1.1983102800,1.1117752000,1.1799717200,1028684,21019593.0000,6.051082,4.250000,2
2004-06-02,1.1834102000,1.2034680000,1.1662178000,1.1736678400,307696,6337859.0000,1.809976,-0.530000,2
2004-06-03,1.1690832000,1.1736678400,1.1352714800,1.1524638800,271258,5455642.0000,1.595635,-1.810000,2
2004-06-04,1.1536320000,1.1641728000,1.1360640000,1.1360640000,80771,1580347.0000,0.475124,-1.420000,2
2004-06-07,1.1419200000,1.1454336000,1.1009280000,1.1196672000,183702,3500770.0000,1.080600,-1.440000,2
2004-06-08,1.1296224000,1.1302080000,1.1132256000,1.1155680000,78049,1492028.0000,0.459112,-0.370000,2
2004-06-09,1.1126400000,1.1220096000,1.0763328000,1.0798464000,88760,1670253.0000,0.522118,-3.200000,2
2004-06-10,1.0775040000,1.0939008000,1.0540800000,1.0693056000,125097,2287116.0000,0.735865,-0.980000,2
2004-06-11,1.0716480000,1.1009280000,1.0657920000,1.0716480000,116150,2149451.0000,0.683235,0.220000,2
2004-06-14,1.0657920000,1.0827744000,1.0540800000,1.0540800000,112459,2032523.0000,0.661524,-1.640000,2
2004-06-15,1.0540800000,1.0816032000,1.0517376000,1.0816032000,82379,1496919.0000,0.484582,2.610000,2
2004-06-16,1.0780896000,1.0804320000,1.0599360000,1.0657920000,62600,1143248.0000,0.368235,-1.460000,2
2004-06-17,1.0558368000,1.0728192000,1.0511520000,1.0540800000,95100,1713751.0000,0.559412,-1.100000,2
2004-06-18,1.0540800000,1.0892160000,1.0540800000,1.0757472000,119250,2184214.0000,0.701471,2.060000,2
2004-06-21,1.0763328000,1.1214240000,1.0757472000,1.1132256000,214862,4051077.0000,1.263894,3.480000,2
