date,open,high,low,close,volume,amount,turn,pctChg,adjustflag
2003-12-16,20.0000000000,20.7800000000,19.8800000000,19.9500000000,7204181,145332638.0000,42.377535,28.461050,1
2003-12-17,19.3800000000,19.4000000000,18.4000000000,18.4500000000,3477866,65175331.0000,20.458035,-7.520000,1
2003-12-18,18.0300000000,18.4500000000,18.0000000000,18.0700000000,1318173,23965459.0000,7.753959,-2.060000,1
2003-12-19,18.0000000000,18.1600000000,16.9100000000,17.3100000000,2108017,36741335.0000,12.400100,-4.210000,1
2003-12-22,17.0100000000,17.5800000000,16.8000000000,17.4400000000,1213452,20717379.0000,7.137953,0.750000,1
2003-12-23,17.3100000000,17.4900000000,17.0300000000,17.2100000000,691433,11905183.0000,4.067253,-1.320000,1
2003-12-24,17.1200000000,17.3800000000,16.8600000000,17.0400000000,757444,12909285.0000,4.455553,-0.990000,1
2003-12-25,17.3800000000,17.4900000000,16.9800000000,17.3700000000,622782,10738937.0000,3.663424,1.940000,1
2003-12-26,17.4000000000,18.3700000000,17.3000000000,17.6600000000,1312989,23444661.0000,7.723465,1.670000,1
2003-12-29,17.7000000000,17.9500000000,17.3700000000,17.4700000000,546522,9636070.0000,3.214835,-1.080000,1
2003-12-30,17.4500000000,17.5000000000,17.1100000000,17.2700000000,443489,7674911.0000,2.608759,-1.140000,1
2003-12-31,17.2300000000,18.1900000000,17.2200000000,17.6600000000,973704,17355614.0000,5.727671,2.260000,1
2004-01-02,17.5000000000,18.1000000000,17.5000000000,17.6600000000,503560,8993647.0000,2.962118,0.000000,1
2004-01-05,17.6600000000,18.3400000000,17.6100000000,18.0900000000,760344,13685600.0000,4.472612,2.430000,1
2004-01-06,18.1800000000,18.3800000000,17.7100000000,18.3000000000,924849,16694446.0000,5.440288,1.160000,1
2004-01-07,18.2200000000,18.5300000000,17.9500000000,18.1700000000,966602,17608567.0000,5.685894,-0.710000,1
2004-01-08,18.1800000000,19.6000000000,18.1700000000,19.2900000000,1998483,38127840.0000,11.755782,6.160000,1
2004-01-09,19.3000000000,19.5500000000,18.5100000000,18.5400000000,1232699,23357611.0000,7.251171,-3.890000,1
2004-01-12,18.5800000000,18.8500000000,18.2000000000,18.8400000000,577062,10683086.0000,3.394482,1.620000,1
2004-01-13,18.8300000000,19.0500000000,18.3000000000,18.4500000000,713622,13246067.0000,4.197776,-2.070000,1
2004-01-14,18.3800000000,18.7700000000,18.0800000000,18.4100000000,481555,8823596.0000,2.832676,-0.220000,1
2004-01-15,18.7600000000,19.1700000000,18.6600000000,18.7000000000,833094,15734868.0000,4.900553,1.580000,1
2004-01-16,18.7200000000,19.0900000000,18.5300000000,19.0100000000,736209,13947473.0000,4.330641,1.660000,1
2004-01-30,19.8100000000,20.1100000000,18.8000000000,18.8400000000,1069553,20668847.0000,6.291488,-0.890000,1
2004-02-02,19.0000000000,19.4900000000,18.4900000000,18.9000000000,580126,10991033.0000,3.412506,0.320000,1
2004-02-03,18.9000000000,20.7900000000,18.9000000000,20.5000000000,3196368,63955139.0000,18.802165,8.470000,1
2004-02-04,20.3900000000,20.4300000000,19.8000000000,20.2000000000,1361598,27380437.0000,8.009400,-1.460000,1
2004-02-05,20.2700000000,21.5400000000,20.1000000000,20.8600000000,1440380,30260031.0000,8.472824,3.270000,1
2004-02-06,20.8300000000,20.9100000000,20.5500000000,20.5800000000,692941,14318681.0000,4.076124,-1.340000,1
2004-02-09,20.6100000000,20.9900000000,20.5100000000,20.8400000000,616734,12768756.0000,3.627847,1.260000,1
2004-02-10,20.8400000000,20.9500000000,20.1500000000,20.3300000000,634275,12931593.0000,3.731029,-2.450000,1
2004-02-11,20.2000000000,20.7500000000,20.1000000000,20.4300000000,469638,9570849.0000,2.762576,0.490000,1
2004-02-12,20.4300000000,20.7600000000,20.3300000000,20.3600000000,415500,8514941.0000,2.444118,-0.340000,1
2004-02-13,20.5000000000,21.2800000000,20.4000000000,20.8000000000,947068,19749730.0000,5.570988,2.160000,1
2004-02-16,21.0000000000,22.1800000000,21.0000000000,21.8100000000,1223507,26519441.0000,7.197100,4.860000,1
2004-02-17,21.9800000000,22.4700000000,21.6100000000,21.8500000000,1420452,31341991.0000,8.355600,0.180000,1
2004-02-18,21.8000000000,21.9600000000,21.3000000000,21.5800000000,686487,14808619.0000,4.038159,-1.240000,1
2004-02-19,21.5800000000,22.2000000000,21.5000000000,21.9900000000,716437,15639904.0000,4.214335,1.900000,1
2004-02-20,21.9900000000,22.1500000000,21.5200000000,21.9000000000,645932,14044089.0000,3.799600,-0.410000,1
2004-02-23,24.0900000000,24.0900000000,22.5000000000,22.5700000000,2633631,61523694.0000,15.491947,3.060000,1
2004-02-24,22.4800000000,22.5800000000,22.0100000000,22.3600000000,855521,19031496.0000,5.032476,-0.930000,1
2004-02-25,22.3600000000,23.3000000000,21.9500000000,22.0300000000,959068,21707568.0000,5.641576,-1.480000,1
2004-02-26,22.0000000000,22.3000000000,20.3800000000,20.9800000000,1072988,22804297.0000,6.311694,-4.770000,1
2004-02-27,21.4900000000,21.7500000000,21.1000000000,21.5600000000,530432,11367721.0000,3.120188,2.760000,1
2004-03-01,21.4000000000,21.5600000000,20.6800000000,21.2000000000,502788,10588228.0000,2.957576,-1.670000,1
2004-03-02,21.2000000000,21.3000000000,20.8600000000,21.1000000000,497791,10472666.0000,2.928182,-0.470000,1
2004-03-03,21.1000000000,21.2000000000,20.6800000000,20.6900000000,450422,9398538.0000,2.649541,-1.940000,1
2004-03-04,20.6700000000,21.4100000000,20.5800000000,21.1300000000,408441,8530835.0000,2.402594,2.130000,1
