date,open,high,low,close,volume,amount,turn,pctChg,adjustflag
2002-04-09,10.5100000000,10.8800000000,10.5100000000,10.6600000000,414108831,4418821513.0000,69.018139,46.027390,1
2002-04-10,10.6600000000,10.7000000000,10.3900000000,10.6000000000,67945475,716684277.0000,11.324246,-0.562847,1
2002-04-11,10.6000000000,10.6800000000,10.4900000000,10.5200000000,22788255,240963540.0000,3.798042,-0.754716,1
2002-04-12,10.5000000000,10.6400000000,10.4800000000,10.5700000000,21256463,224059896.0000,3.542744,0.475278,1
2002-04-15,10.5700000000,10.6000000000,10.3500000000,10.3900000000,18531104,193306921.0000,3.088517,-1.702927,1
2002-04-16,10.3500000000,10.3900000000,10.1400000000,10.1600000000,24925491,254942372.0000,4.154248,-2.213672,1
2002-04-17,10.1500000000,10.2600000000,10.0900000000,10.2200000000,11459339,116550894.0000,1.909890,0.590555,1
2002-04-18,10.2000000000,10.2000000000,10.1000000000,10.1200000000,8533279,86436774.0000,1.422213,-0.978477,1
2002-04-19,10.1000000000,10.1500000000,9.9900000000,10.1400000000,15722249,157784095.0000,2.620375,0.197633,1
2002-04-22,10.1000000000,10.1000000000,9.9900000000,10.0100000000,6593827,66105563.0000,1.098971,-1.282052,1
2002-04-23,10.0000000000,10.0900000000,9.9100000000,10.0000000000,7376544,73759692.0000,1.229424,-0.099902,1
2002-04-24,10.0000000000,10.0000000000,9.7000000000,9.7700000000,17241356,169554787.0000,2.873559,-2.299995,1
2002-04-25,9.7500000000,9.8500000000,9.7400000000,9.8100000000,9960272,97420590.0000,1.660045,0.409416,1
2002-04-26,9.8200000000,9.8900000000,9.8000000000,9.8400000000,8169213,80382992.0000,1.361536,0.305808,1
2002-04-29,9.8400000000,9.8800000000,9.7100000000,9.8500000000,9036087,88537531.0000,1.506015,0.101628,1
2002-04-30,9.8900000000,10.1500000000,9.8000000000,10.0200000000,18262505,182699162.0000,3.043751,1.725889,1
2002-05-08,10.0000000000,10.0300000000,9.8800000000,9.9000000000,4228358,41990478.0000,0.704726,-1.197613,1
2002-05-09,9.8900000000,10.0800000000,9.8800000000,9.9400000000,4470394,44552493.0000,0.745066,0.404040,1
2002-05-10,9.9100000000,9.9300000000,9.8000000000,9.8100000000,4638480,45667174.0000,0.773080,-1.307839,1
2002-05-13,9.8000000000,9.8000000000,9.5800000000,9.6200000000,12725497,122595409.0000,2.120916,-1.936805,1
2002-05-14,9.6000000000,9.6400000000,9.4600000000,9.4800000000,8239948,78664998.0000,1.373325,-1.455305,1
2002-05-15,9.4600000000,9.5500000000,9.2800000000,9.2900000000,9708385,91212164.0000,1.618064,-2.004215,1
2002-05-16,9.2800000000,9.2800000000,9.0700000000,9.1500000000,19517141,178313622.0000,3.252857,-1.507000,1
2002-05-17,9.1800000000,9.3000000000,9.0500000000,9.2500000000,10010112,91833344.0000,1.668352,1.092900,1
2002-05-20,9.1300000000,9.1800000000,8.9300000000,8.9800000000,11297072,101667315.0000,1.882845,-2.918924,1
2002-05-21,9.1800000000,9.2500000000,9.0300000000,9.1800000000,12608352,115523918.0000,2.101392,2.227180,1
2002-05-22,9.1900000000,9.2000000000,8.9100000000,8.9400000000,7338358,66043321.0000,1.223060,-2.614387,1
2002-05-23,8.9500000000,9.1300000000,8.9400000000,8.9800000000,7188925,64749341.0000,1.198154,0.447427,1
2002-05-24,8.9800000000,9.0400000000,8.7600000000,8.8700000000,10526000,92941498.0000,1.754333,-1.224941,1
2002-05-27,8.8900000000,8.9500000000,8.7800000000,8.9100000000,5439444,48160843.0000,0.906574,0.450958,1
2002-05-28,8.9100000000,8.9900000000,8.9000000000,8.9200000000,5607677,50176390.0000,0.934613,0.112236,1
2002-05-29,8.9200000000,8.9400000000,8.6200000000,8.6700000000,7480150,65398179.0000,1.246692,-2.802691,1
2002-05-30,8.6600000000,8.7800000000,8.5200000000,8.7500000000,13179829,113645564.0000,2.196638,0.922721,1
2002-05-31,8.7300000000,8.8600000000,8.6600000000,8.7000000000,4669199,40944136.0000,0.778200,-0.571431,1
2002-06-04,8.6300000000,9.0000000000,8.5400000000,8.8600000000,21315760,188202674.0000,3.552627,1.839079,1
2002-06-05,9.2200000000,9.2200000000,8.7200000000,8.7400000000,9149476,80995385.0000,1.524913,-1.354401,1
2002-06-06,8.7400000000,9.0800000000,8.6800000000,9.0000000000,12530992,112008796.0000,2.088499,2.974831,1
2002-06-07,9.0100000000,9.0600000000,8.9000000000,8.9800000000,11760656,105772506.0000,1.960109,-0.222227,1
2002-06-10,8.9800000000,9.0600000000,8.9300000000,8.9900000000,4910142,44206174.0000,0.818357,0.111361,1
2002-06-11,8.9900000000,9.0100000000,8.9200000000,8.9400000000,2848153,25522714.0000,0.474692,-0.556176,1
2002-06-12,9.0000000000,9.0000000000,8.8000000000,8.8700000000,3036753,26911353.0000,0.506126,-0.782994,1
2002-06-13,8.8700000000,8.8700000000,8.7500000000,8.7600000000,2861462,25179530.0000,0.476910,-1.240131,1
2002-06-14,8.7500000000,8.7500000000,8.6700000000,8.6800000000,2939500,25580232.0000,0.489917,-0.913241,1
2002-06-17,8.6500000000,8.6600000000,8.5800000000,8.6600000000,3036771,26183428.0000,0.506128,-0.230420,1
2002-06-18,8.6600000000,8.8500000000,8.6500000000,8.8100000000,5317574,46624766.0000,0.886262,1.732108,1
2002-06-19,8.8100000000,8.8200000000,8.6500000000,8.6800000000,2774519,24170101.0000,0.462420,-1.475597,1
2002-06-20,8.6800000000,8.8300000000,8.6700000000,8.7300000000,4108300,36035751.0000,0.684717,0.576028,1
2002-06-21,8.7500000000,9.0900000000,8.7200000000,8.9700000000,14947363,133912680.0000,2.491227,2.749149,1
2002-06-24,9.8700000000,9.8700000000,9.5100000000,9.8700000000,95065027,934303729.0000,15.844171,10.033440,1
2002-06-25,9.9900000000,10.8500000000,9.8100000000,10.4500000000,149514953,1563269915.0000,24.919159,5.876392,1
2002-06-26,10.3500000000,10.6000000000,10.1500000000,10.2300000000,41963672,436232331.0000,6.993945,-2.105266,1
2002-06-27,10.2300000000,10.6000000000,10.1800000000,10.5000000000,41442717,431029640.0000,6.907120,2.639301,1
2002-06-28,10.5100000000,11.5500000000,10.5100000000,11.5500000000,156015369,1785125038.0000,26.002561,10.000000,1
2002-07-01,11.7000000000,11.8400000000,11.4000000000,11.5800000000,90583632,1050421243.0000,15.097272,0.260000,1
2002-07-02,11.5500000000,11.5600000000,11.1800000000,11.4400000000,37955268,431511885.0000,6.325878,-1.210000,1
2002-07-03,11.4000000000,11.6900000000,11.3100000000,11.4700000000,25683720,295008712.0000,4.280620,0.260000,1
2002-07-04,11.5000000000,11.5800000000,10.9400000000,11.1100000000,41951694,469443695.0000,6.991949,-3.140000,1
2002-07-05,11.0000000000,11.3400000000,10.9200000000,11.3000000000,33747227,375133047.0000,5.624538,1.710000,1
2002-07-08,11.1900000000,11.7000000000,11.1900000000,11.3400000000,41931594,482217366.0000,6.988599,0.350000,1
2002-07-09,11.3500000000,11.7300000000,11.3500000000,11.6500000000,53912874,625233348.0000,8.985479,2.730000,1
2002-07-10,11.6500000000,11.9200000000,11.2900000000,11.3100000000,103668559,1203566183.0000,15.859818,-2.920000,1
2002-07-11,11.2200000000,11.4000000000,11.1500000000,11.1900000000,31305363,352569995.0000,4.789276,-1.060000,1
2002-07-12,11.1900000000,11.2500000000,10.9800000000,11.0300000000,32493660,359020954.0000,4.971069,-1.430000,1
2002-07-15,11.0000000000,11.0500000000,10.7500000000,10.8400000000,23448328,254515311.0000,3.587261,-1.720000,1
2002-07-16,10.8700000000,11.0500000000,10.7900000000,10.8600000000,18594602,203553086.0000,2.844710,0.180000,1
2002-07-17,10.8800000000,11.0400000000,10.7900000000,11.0300000000,8479998,92305411.0000,1.297319,1.570000,1
2002-07-18,11.0900000000,11.2200000000,10.9800000000,11.1000000000,20092068,223753099.0000,3.073801,0.630000,1
