date,open,high,low,close,volume,ma5,ma10,ema12,ema26,MACD,DEA
2014-03-21,34.49,35.28,33.61,35.04,2015225,35.15,34.876999999999995,35.12791012036526,35.350773725474546,-0.22286360510928915,-0.33459107749097367
2014-03-24,34.81,36.17,34.2,35.0,2088537,35.245999999999995,34.965999999999994,35.108231640309064,35.324790486550505,-0.2165588462414405,-0.310984631241067
2014-03-25,34.6,35.93,34.23,35.88,1785656,35.372,35.14,35.22696523410767,35.365917117176394,-0.13895188306872086,-0.2765780816065978
2014-03-26,35.84,36.49,35.52,35.86,1583335,35.344,35.326,35.324355198091105,35.4025158492374,-0.07816065114629822,-0.2368945955145379
2014-03-27,35.88,36.1,34.48,35.05,1938306,35.366,35.232,35.282146706077086,35.376403564108706,-0.09425685803162054,-0.20836704801795441
2014-03-28,35.2,35.98,33.51,34.51,2560396,35.260000000000005,35.205,35.16335490514215,35.312225522322876,-0.14887061718072658,-0.19646776185050885
2014-03-31,31.06,32.02,31.06,31.06,2875891,34.471999999999994,34.858999999999995,34.53206953512028,34.997245854002664,-0.465176318882385,-0.2502094732568841
2014-04-01,29.6,31.21,29.02,31.0,4411230,33.495999999999995,34.434,33.98867422202485,34.701153568520986,-0.7124793464961385,-0.34266344790473496
2014-04-02,30.49,31.19,29.53,30.84,3614272,32.492,33.918,33.50426280325179,34.415142193074985,-0.9108793898231937,-0.4563066362884267
2014-04-03,30.29,32.33,30.29,31.32,2240332,31.746000000000002,33.556,33.16822237198228,34.18587240099536,-1.017650029013076,-0.5685753148333565
2014-04-04,31.17,32.98,30.85,32.65,1645525,31.374000000000002,33.31699999999999,33.088495853215775,34.0721040749957,-0.9836082217799245,-0.6515818962226702
2014-04-08,32.08,32.98,31.99,32.45,1406324,31.651999999999997,33.062,32.99026572195181,33.95194821758861,-0.9616824956368006,-0.7136020161054962
2014-04-09,32.5,33.0,32.31,32.78,1372405,32.007999999999996,32.751999999999995,32.957917149343835,33.86513723850797,-0.9072200891641344,-0.7523256307172239
2014-04-10,32.8,32.8,31.98,31.98,1045189,32.236000000000004,32.364000000000004,32.80746835713709,33.725497443062935,-0.9180290859258449,-0.7854663217589481
2014-04-11,31.76,32.81,31.42,32.69,1180237,32.510000000000005,32.128,32.78939630219292,33.648793928761975,-0.8593976265690557,-0.8002525827209697
2014-04-14,32.68,35.96,32.67,35.59,4608390,33.098,32.236000000000004,33.22025840954785,33.792586971075906,-0.5723285615280531,-0.7546677784823863
2014-04-15,35.48,37.55,35.35,35.58,4184193,33.724000000000004,32.688,33.58329557730972,33.924987936181395,-0.3416923588716756,-0.6720726945602442
2014-04-16,35.5,37.6,35.5,36.5,3516983,34.468,33.238,34.032019334646684,34.11572957053833,-0.08371023589164395,-0.5544002028265241
2014-04-17,36.01,37.03,35.89,36.0,2129146,35.272,33.754,34.334785590854885,34.25530515790586,0.07948043294902618,-0.42762407567141403
2014-04-18,36.03,36.39,35.1,35.52,1090947,35.83800000000001,34.174,34.51712626918491,34.34898625732024,0.16814001186466498,-0.30847125816419824
2014-04-21,35.0,37.4,34.81,36.78,1895848,36.07600000000001,34.587,34.865260689310304,34.52906134937059,0.33619933993971074,-0.17953713854341644
2014-04-22,36.7,37.0,35.8,36.88,2298762,36.336,35.03,35.175220583262565,34.70320495312092,0.47201563014164805,-0.04922658480640352
2014-04-23,36.9,37.35,35.35,35.79,1691882,36.194,35.331,35.269802031991404,34.78370828992677,0.4860937420646323,0.05783748056780365
2014-04-24,35.79,36.48,35.11,35.16,746176,36.025999999999996,35.648999999999994,35.25290941168503,34.811581749932195,0.4413276617528368,0.1345355168048103
2014-04-25,34.9,35.93,34.8,34.8,1237125,35.882,35.86,35.183231040656565,34.81072384252981,0.3725071981267547,0.18212985306919918
2014-04-28,34.19,34.66,33.42,33.8,1580329,35.285999999999994,35.681,34.97042626517094,34.735855409749824,0.23457085542111855,0.19261805353958306
2014-04-29,33.8,35.96,33.6,35.73,1008858,35.056,35.696000000000005,35.087283762836954,34.80949574976835,0.27778801306860146,0.20965204544538674
2014-04-30,36.3,36.3,34.97,35.19,721487,34.936,35.565,35.103086260862035,34.83768124978551,0.26540501107652403,0.2208026385716142
2014-05-05,34.95,38.71,34.81,37.71,4641181,35.446,35.736000000000004,35.504149913037104,35.05044560165325,0.45370431138385214,0.2673829731340618
2014-05-06,36.91,39.3,36.7,38.7,4463451,36.226,36.053999999999995,35.995819157185245,35.32078296449375,0.6750361926914934,0.34891361704554813
2014-05-07,38.55,40.98,38.03,39.92,3746823,37.45,36.368,36.59953928684905,35.661465707864586,0.938073578984465,0.4667456094333315
2014-05-08,39.8,40.5,38.81,39.21,2070864,38.146,36.601,37.00114862733381,35.92432009987462,1.0768285274591918,0.5887621930385035
2014-05-09,38.89,39.21,36.89,38.19,2716362,38.746,36.840999999999994,37.18404883851323,36.092148240624645,1.091900597888582,0.6893898740085193
