date,open,high,low,close,volume,amount,turn,pctChg,adjustflag
2000-01-13,10.5300000000,12.3600000000,10.5300000000,11.5800000000,61569718,713105902.0000,65.849966,70.294110,1
2000-01-14,11.4000000000,11.6700000000,10.8800000000,11.0500000000,14150498,159001041.0000,15.134222,-4.576854,1
2000-01-17,11.0800000000,12.1600000000,11.0800000000,12.1600000000,6850893,81200562.0000,7.327158,10.045250,1
2000-01-18,12.6700000000,12.8100000000,12.0100000000,12.2500000000,22702559,281958144.0000,24.280812,0.740133,1
2000-01-19,12.2000000000,12.5200000000,11.9100000000,12.1800000000,9410540,114850301.0000,10.064749,-0.571426,1
2000-01-20,12.1800000000,12.8900000000,12.1600000000,12.4600000000,10749009,134795591.0000,11.496266,2.298848,1
2000-01-21,12.5000000000,13.4500000000,12.3000000000,12.8900000000,13973793,180666979.0000,14.945233,3.451046,1
2000-01-24,13.0800000000,13.5000000000,12.8000000000,13.2100000000,10759960,141158645.0000,11.507979,2.482542,1
2000-01-25,13.3500000000,13.4000000000,12.7000000000,12.8100000000,7290711,94242433.0000,7.797552,-3.028006,1
2000-01-26,12.8000000000,13.1000000000,12.7500000000,12.8000000000,4233320,54529162.0000,4.527615,-0.078066,1
2000-01-27,12.9000000000,13.0000000000,12.5200000000,12.8600000000,7058274,89859339.0000,7.548956,0.468746,1
2000-01-28,12.9100000000,13.0600000000,12.6000000000,12.9900000000,7404742,94906592.0000,7.919510,1.010887,1
2000-02-14,13.4700000000,14.2900000000,13.2100000000,14.2900000000,10275508,142745235.0000,10.989848,10.007700,1
2000-02-15,14.4400000000,14.5000000000,13.3000000000,13.5700000000,11278271,158640937.0000,12.062322,-5.038490,1
2000-02-16,13.3800000000,13.4800000000,12.8000000000,13.1700000000,7883527,103289898.0000,8.431580,-2.947676,1
2000-02-17,13.2000000000,13.8000000000,12.1800000000,12.2400000000,7664709,97693691.0000,8.197550,-7.061506,1
2000-02-18,12.2000000000,13.1900000000,12.0000000000,12.8500000000,5193393,66072249.0000,5.554431,4.983665,1
2000-02-21,13.0000000000,14.1400000000,12.8500000000,14.1400000000,12482249,174971857.0000,13.349999,10.038910,1
2000-02-22,14.4800000000,14.4800000000,12.8000000000,12.9700000000,8669355,118378412.0000,9.272037,-8.274400,1
