time,open,high,low,close,vol,time_stamp
1618455600000,803.61,809.59,799.01,802.25,2411.21774,2021-04-15 03:00:00
1618456500000,802.55,806.64,801.15,804.33,1569.82383,2021-04-15 03:15:00
1618457400000,804.47,809.69,803.73,808.97,1648.42969,2021-04-15 03:30:00
1618458300000,808.7,815.71,808.19,815.01,2671.80719,2021-04-15 03:45:00
1618459200000,814.97,821.19,814.6,818.58,2820.8408,2021-04-15 04:00:00
1618460100000,818.71,819.08,813.22,815.95,2110.74339,2021-04-15 04:15:00
1618461000000,815.9,816.76,810.17,812.05,2050.54824,2021-04-15 04:30:00
1618461900000,812.01,812.01,806.03,807.86,2133.54513,2021-04-15 04:45:00
1618462800000,807.8,815.17,805.67,807.62,3168.99977,2021-04-15 05:00:00
1618463700000,807.28,807.42,802.08,804.28,1449.06191,2021-04-15 05:15:00
1618464600000,803.9,810.84,802.78,807.86,1226.02773,2021-04-15 05:30:00
1618465500000,807.83,813.27,807.54,811.63,1238.31845,2021-04-15 05:45:00
1618466400000,811.73,826.89,811.59,825.82,4561.89171,2021-04-15 06:00:00
1618467300000,825.91,838.96,824.47,830.21,11802.87121,2021-04-15 06:15:00
1618468200000,830.41,832.74,822.28,827.08,6810.38292,2021-04-15 06:30:00
1618469100000,827.08,829.7,822.0,826.02,2496.12651,2021-04-15 06:45:00
1618470000000,826.07,834.49,824.76,825.57,2087.41331,2021-04-15 07:00:00
1618470900000,825.31,826.27,820.13,824.08,2649.55668,2021-04-15 07:15:00
1618471800000,824.08,824.75,819.29,820.94,1815.57556,2021-04-15 07:30:00
1618472700000,821.18,827.15,820.97,822.65,1952.25892,2021-04-15 07:45:00
1618473600000,822.27,829.0,821.31,822.3,3241.04544,2021-04-15 08:00:00
1618474500000,821.91,822.96,810.55,813.92,5406.89914,2021-04-15 08:15:00
1618475400000,813.89,816.53,809.12,814.24,2932.31011,2021-04-15 08:30:00
1618476300000,814.52,816.49,808.8,811.88,2204.3451,2021-04-15 08:45:00
1618477200000,811.86,814.85,808.0,811.91,2288.51467,2021-04-15 09:00:00
1618478100000,811.98,817.14,810.31,812.0,3081.36192,2021-04-15 09:15:00
1618479000000,812.66,817.5,812.63,816.6,2199.17831,2021-04-15 09:30:00
1618479900000,816.43,817.88,813.23,816.37,1567.381,2021-04-15 09:45:00
1618480800000,816.21,821.28,814.4,814.4,1615.0456,2021-04-15 10:00:00
1618481700000,814.44,815.94,807.72,808.39,3084.60917,2021-04-15 10:15:00
1618482600000,808.28,813.97,803.84,813.31,3700.03337,2021-04-15 10:30:00
1618483500000,813.3,813.74,803.75,803.75,2031.4532,2021-04-15 10:45:00
