time,open,high,low,close,vol,time_stamp
1618455600000,22.849,22.9,22.677,22.773,59227.012,2021-04-15 03:00:00
1618456500000,22.772,22.951,22.714,22.935,43280.4,2021-04-15 03:15:00
1618457400000,22.928,23.08,22.842,23.055,82916.5,2021-04-15 03:30:00
1618458300000,23.056,23.211,23.021,23.178,57016.597,2021-04-15 03:45:00
1618459200000,23.143,23.361,23.062,23.294,67995.439,2021-04-15 04:00:00
1618460100000,23.293,23.489,23.272,23.42,61371.907,2021-04-15 04:15:00
1618461000000,23.424,23.612,23.401,23.553,101823.028,2021-04-15 04:30:00
1618461900000,23.555,23.598,23.129,23.257,88636.261,2021-04-15 04:45:00
1618462800000,23.258,23.357,23.237,23.317,44273.97,2021-04-15 05:00:00
1618463700000,23.336,23.341,23.092,23.182,48147.786,2021-04-15 05:15:00
1618464600000,23.185,23.402,23.153,23.372,54563.126,2021-04-15 05:30:00
1618465500000,23.352,23.5,23.343,23.482,31050.018,2021-04-15 05:45:00
1618466400000,23.475,23.66,23.445,23.59,40989.062,2021-04-15 06:00:00
1618467300000,23.614,23.899,23.511,23.638,112163.246,2021-04-15 06:15:00
1618468200000,23.638,23.798,23.494,23.749,100920.166,2021-04-15 06:30:00
1618469100000,23.748,23.807,23.495,23.569,48435.796,2021-04-15 06:45:00
1618470000000,23.569,23.743,23.4,23.42,68146.301,2021-04-15 07:00:00
1618470900000,23.421,23.594,23.394,23.452,54230.817,2021-04-15 07:15:00
1618471800000,23.444,23.477,23.229,23.229,55247.249,2021-04-15 07:30:00
1618472700000,23.255,23.344,22.403,22.684,273823.426,2021-04-15 07:45:00
1618473600000,22.699,23.0,22.679,22.886,117086.325,2021-04-15 08:00:00
1618474500000,22.881,23.064,22.735,22.955,97398.008,2021-04-15 08:15:00
1618475400000,22.983,23.087,22.901,22.998,55867.141,2021-04-15 08:30:00
1618476300000,22.983,23.018,21.9,21.984,449150.748,2021-04-15 08:45:00
1618477200000,21.983,22.227,21.951,22.226,197427.237,2021-04-15 09:00:00
1618478100000,22.226,22.492,22.191,22.264,158643.383,2021-04-15 09:15:00
1618479000000,22.264,22.383,21.612,21.661,269568.532,2021-04-15 09:30:00
1618479900000,21.661,21.785,21.46,21.606,263365.318,2021-04-15 09:45:00
1618480800000,21.606,23.85,21.606,23.7,678458.79,2021-04-15 10:00:00
1618481700000,23.705,24.33,23.624,24.015,451448.82,2021-04-15 10:15:00
1618482600000,24.015,24.125,23.72,23.933,182988.867,2021-04-15 10:30:00
1618483500000,23.927,23.932,23.389,23.573,138608.336,2021-04-15 10:45:00
1618484400000,23.583,23.761,23.278,23.454,130882.742,2021-04-15 11:00:00
1618485300000,23.463,23.599,23.418,23.5,73830.884,2021-04-15 11:15:00
1618486200000,23.502,23.552,23.352,23.377,36473.044,2021-04-15 11:30:00
1618487100000,23.357,23.45,23.268,23.387,31853.909,2021-04-15 11:45:00
1618488000000,23.383,23.57,23.378,23.504,33056.875,2021-04-15 12:00:00
1618488900000,23.505,23.679,23.45,23.671,35155.028,2021-04-15 12:15:00
1618489800000,23.671,23.8,23.582,23.787,43045.795,2021-04-15 12:30:00
1618490700000,23.787,23.928,23.443,23.713,75815.873,2021-04-15 12:45:00
1618491600000,23.734,23.951,23.658,23.932,41737.195,2021-04-15 13:00:00
1618492500000,23.906,24.009,23.793,23.863,32915.052,2021-04-15 13:15:00
1618493400000,23.864,24.044,23.864,24.01,40952.889,2021-04-15 13:30:00
1618494300000,24.038,24.243,24.015,24.213,74594.141,2021-04-15 13:45:00
1618495200000,24.189,24.368,24.032,24.07,63828.846,2021-04-15 14:00:00
1618496100000,24.058,24.216,23.928,24.148,52100.041,2021-04-15 14:15:00
1618497000000,24.135,24.411,24.103,24.27,47331.417,2021-04-15 14:30:00
1618497900000,24.265,24.491,23.85,24.149,116920.666,2021-04-15 14:45:00
1618498800000,24.129,24.256,24.072,24.188,48176.812,2021-04-15 15:00:00
1618499700000,24.187,24.225,24.036,24.151,38101.632,2021-04-15 15:15:00
1618500600000,24.151,24.25,23.988,24.187,67794.348,2021-04-15 15:30:00
1618501500000,24.187,24.282,24.093,24.093,30052.854,2021-04-15 15:45:00
1618502400000,24.093,24.38,24.06,24.344,29665.131,2021-04-15 16:00:00
1618503300000,24.344,24.397,24.139,24.268,29976.17,2021-04-15 16:15:00
1618504200000,24.265,24.276,24.067,24.166,20243.145,2021-04-15 16:30:00
1618505100000,24.166,24.23,24.104,24.171,18712.625,2021-04-15 16:45:00
1618506000000,24.197,24.2,23.915,23.972,41325.809,2021-04-15 17:00:00
1618506900000,23.972,23.999,23.88,23.95,25700.998,2021-04-15 17:15:00
1618507800000,23.927,24.004,23.816,23.9,27191.823,2021-04-15 17:30:00
1618508700000,23.886,24.019,23.867,23.979,28306.544,2021-04-15 17:45:00
1618509600000,23.979,23.992,23.884,23.976,10761.387,2021-04-15 18:00:00
1618510500000,23.989,24.25,23.989,24.151,35329.002,2021-04-15 18:15:00
1618511400000,24.148,24.238,24.1,24.187,21484.964,2021-04-15 18:30:00
1618512300000,24.186,24.217,24.1,24.101,14780.005,2021-04-15 18:45:00
1618513200000,24.102,24.137,23.999,24.08,14746.533,2021-04-15 19:00:00
1618514100000,24.061,24.07,23.858,23.895,43604.337,2021-04-15 19:15:00
1618515000000,23.909,24.046,23.9,24.025,13466.691,2021-04-15 19:30:00
1618515900000,24.025,24.141,24.0,24.132,16454.326,2021-04-15 19:45:00
1618516800000,24.132,24.236,23.961,24.0,21261.116,2021-04-15 20:00:00
1618517700000,23.997,24.054,23.895,24.038,23678.828,2021-04-15 20:15:00
1618518600000,24.041,24.041,23.759,23.847,37173.651,2021-04-15 20:30:00
1618519500000,23.823,23.837,23.631,23.75,50321.367,2021-04-15 20:45:00
1618520400000,23.734,23.772,23.672,23.724,17267.782,2021-04-15 21:00:00
1618521300000,23.712,23.787,23.592,23.711,33780.88,2021-04-15 21:15:00
1618522200000,23.712,23.789,23.659,23.703,22920.898,2021-04-15 21:30:00
1618523100000,23.703,23.719,23.6,23.651,21561.865,2021-04-15 21:45:00
1618524000000,23.651,23.672,23.555,23.647,15128.931,2021-04-15 22:00:00
1618524900000,23.647,23.658,23.523,23.553,17780.374,2021-04-15 22:15:00
1618525800000,23.539,23.641,23.489,23.63,22402.403,2021-04-15 22:30:00
1618526700000,23.629,23.709,23.5,23.62,17195.615,2021-04-15 22:45:00
1618527600000,23.62,23.623,23.452,23.486,12868.622,2021-04-15 23:00:00
1618528500000,23.475,23.688,23.454,23.634,17112.449,2021-04-15 23:15:00
1618529400000,23.633,23.701,23.489,23.543,38542.351,2021-04-15 23:30:00
1618530300000,23.52,23.601,23.501,23.537,13114.602,2021-04-15 23:45:00
1618531200000,23.53,24.0,23.45,23.508,58764.302,2021-04-16 00:00:00
1618532100000,23.506,23.599,23.334,23.356,66428.646,2021-04-16 00:15:00
1618533000000,23.381,23.6,23.365,23.385,22290.967,2021-04-16 00:30:00
1618533900000,23.383,23.393,22.954,23.105,107537.578,2021-04-16 00:45:00
1618534800000,23.107,23.207,22.723,23.038,64572.564,2021-04-16 01:00:00
1618535700000,23.02,23.02,22.6,22.679,59551.923,2021-04-16 01:15:00
1618536600000,22.679,22.802,22.515,22.568,32469.633,2021-04-16 01:30:00
1618537500000,22.558,22.853,22.409,22.797,56854.357,2021-04-16 01:45:00
1618538400000,22.825,22.937,22.723,22.9,23669.088,2021-04-16 02:00:00
1618539300000,22.898,22.92,22.702,22.707,25405.216,2021-04-16 02:15:00
1618540200000,22.708,22.75,22.5,22.519,40422.805,2021-04-16 02:30:00
1618541100000,22.519,22.592,22.391,22.442,30373.403,2021-04-16 02:45:00
1618542000000,22.454,22.554,22.328,22.451,44789.969,2021-04-16 03:00:00
1618542900000,22.432,22.754,22.328,22.63,63911.073,2021-04-16 03:15:00
1618543800000,22.63,22.761,22.573,22.735,35612.253,2021-04-16 03:30:00
1618544700000,22.732,22.999,22.732,22.942,47226.029,2021-04-16 03:45:00
1618545600000,22.942,22.999,22.612,22.769,35030.941,2021-04-16 04:00:00
1618546500000,22.769,22.848,22.6,22.654,35393.347,2021-04-16 04:15:00
1618547400000,22.658,22.66,22.281,22.283,41215.586,2021-04-16 04:30:00
1618548300000,22.283,22.6,22.096,22.276,66813.134,2021-04-16 04:45:00
1618549200000,22.264,22.644,22.025,22.513,90933.607,2021-04-16 05:00:00
1618550100000,22.55,22.798,22.5,22.735,63069.532,2021-04-16 05:15:00
1618551000000,22.729,22.743,22.282,22.39,91456.661,2021-04-16 05:30:00
1618551900000,22.397,22.53,22.215,22.449,32385.951,2021-04-16 05:45:00
1618552800000,22.434,22.445,22.07,22.326,74623.454,2021-04-16 06:00:00
