time,open,high,low,close,vol,time_stamp
1618455600000,7.442,7.4919,7.395,7.4546,384378.01,2021-04-15 03:00:00
1618456500000,7.4558,7.5096,7.4501,7.5096,496104.99,2021-04-15 03:15:00
1618457400000,7.5092,7.5978,7.5091,7.5895,437931.17,2021-04-15 03:30:00
1618458300000,7.5891,7.6324,7.5665,7.6061,494530.92,2021-04-15 03:45:00
1618459200000,7.6066,7.6713,7.5912,7.6611,559183.65,2021-04-15 04:00:00
1618460100000,7.6599,7.6849,7.5978,7.6228,383596.76,2021-04-15 04:15:00
1618461000000,7.6217,7.6534,7.5511,7.5616,324438.46,2021-04-15 04:30:00
1618461900000,7.5617,7.5679,7.5111,7.5265,244127.44,2021-04-15 04:45:00
1618462800000,7.5273,7.5581,7.5063,7.5238,157570.12,2021-04-15 05:00:00
1618463700000,7.5238,7.5238,7.4829,7.4988,251734.15,2021-04-15 05:15:00
1618464600000,7.4996,7.597,7.4967,7.5686,216868.58,2021-04-15 05:30:00
1618465500000,7.5715,7.6096,7.5647,7.587,230776.98,2021-04-15 05:45:00
1618466400000,7.5866,7.6639,7.5866,7.6338,367373.46,2021-04-15 06:00:00
1618467300000,7.629,7.6683,7.5894,7.597,254187.4,2021-04-15 06:15:00
1618468200000,7.5995,7.5995,7.5225,7.5505,282886.27,2021-04-15 06:30:00
1618469100000,7.5474,7.5858,7.5268,7.5815,247628.1,2021-04-15 06:45:00
1618470000000,7.5837,7.6603,7.5837,7.6366,339105.29,2021-04-15 07:00:00
1618470900000,7.6361,7.64,7.5385,7.5939,288946.31,2021-04-15 07:15:00
1618471800000,7.5949,7.5979,7.5469,7.5522,245116.0,2021-04-15 07:30:00
1618472700000,7.5505,7.5918,7.5505,7.5614,217851.17,2021-04-15 07:45:00
1618473600000,7.5589,7.6518,7.5589,7.6025,499104.03,2021-04-15 08:00:00
1618474500000,7.6002,7.6065,7.485,7.489,709548.37,2021-04-15 08:15:00
1618475400000,7.4894,7.5354,7.4785,7.5129,371466.35,2021-04-15 08:30:00
1618476300000,7.5135,7.55,7.43,7.4622,505859.95,2021-04-15 08:45:00
1618477200000,7.4611,7.4951,7.4254,7.4603,414069.79,2021-04-15 09:00:00
1618478100000,7.4608,7.5291,7.4467,7.4924,357809.7,2021-04-15 09:15:00
1618479000000,7.4939,7.5405,7.4939,7.5108,381694.46,2021-04-15 09:30:00
1618479900000,7.5067,7.5269,7.4848,7.4976,256398.58,2021-04-15 09:45:00
1618480800000,7.4969,7.5328,7.4841,7.4844,222122.72,2021-04-15 10:00:00
1618481700000,7.4883,7.4992,7.4158,7.4368,413186.83,2021-04-15 10:15:00
1618482600000,7.4381,7.4932,7.404,7.4885,255014.93,2021-04-15 10:30:00
