time,open,high,low,close,vol,time_stamp
1618455600000,2424.99,2430.9,2415.97,2430.85,5616.2455,2021-04-15 03:00:00
1618456500000,2430.86,2453.34,2430.57,2453.34,12160.12152,2021-04-15 03:15:00
1618457400000,2453.34,2474.41,2453.34,2472.1,14792.54661,2021-04-15 03:30:00
1618458300000,2471.91,2481.0,2466.37,2475.75,12832.61551,2021-04-15 03:45:00
1618459200000,2475.95,2478.75,2464.67,2474.82,10311.77509,2021-04-15 04:00:00
1618460100000,2474.79,2476.73,2465.18,2468.25,7175.01369,2021-04-15 04:15:00
1618461000000,2468.46,2471.5,2454.0,2462.47,5586.52357,2021-04-15 04:30:00
1618461900000,2462.53,2462.54,2448.56,2450.22,5311.64949,2021-04-15 04:45:00
1618462800000,2450.22,2456.95,2445.1,2455.68,4324.7335,2021-04-15 05:00:00
1618463700000,2455.67,2455.68,2446.07,2449.2,4364.5598,2021-04-15 05:15:00
1618464600000,2449.16,2464.17,2448.41,2458.7,4135.37613,2021-04-15 05:30:00
1618465500000,2458.7,2475.99,2458.29,2469.81,5577.18263,2021-04-15 05:45:00
1618466400000,2469.81,2479.94,2465.14,2475.35,5351.04091,2021-04-15 06:00:00
1618467300000,2475.75,2478.88,2465.12,2468.23,5720.78925,2021-04-15 06:15:00
1618468200000,2468.23,2471.03,2462.7,2466.06,6290.58068,2021-04-15 06:30:00
1618469100000,2466.06,2472.27,2456.67,2464.21,5337.25235,2021-04-15 06:45:00
1618470000000,2464.27,2478.5,2462.68,2476.84,8349.19864,2021-04-15 07:00:00
1618470900000,2476.85,2478.47,2458.22,2476.05,6488.76882,2021-04-15 07:15:00
1618471800000,2476.22,2477.19,2466.06,2467.62,6225.85255,2021-04-15 07:30:00
1618472700000,2467.62,2475.5,2465.93,2469.1,5376.32285,2021-04-15 07:45:00
1618473600000,2468.66,2487.38,2468.65,2471.76,10910.30489,2021-04-15 08:00:00
1618474500000,2471.77,2473.7,2446.04,2458.34,12479.8657,2021-04-15 08:15:00
1618475400000,2458.16,2462.0,2438.62,2450.01,7774.25719,2021-04-15 08:30:00
1618476300000,2450.0,2453.88,2431.55,2436.59,9180.49954,2021-04-15 08:45:00
1618477200000,2436.6,2447.13,2432.69,2440.0,6276.03343,2021-04-15 09:00:00
1618478100000,2439.99,2451.85,2437.35,2448.11,5619.3223,2021-04-15 09:15:00
1618479000000,2448.11,2458.8,2447.04,2449.25,6307.42176,2021-04-15 09:30:00
1618479900000,2449.6,2452.63,2442.67,2449.57,5224.31278,2021-04-15 09:45:00
1618480800000,2449.47,2459.65,2445.59,2446.18,4569.94217,2021-04-15 10:00:00
1618481700000,2446.17,2449.97,2431.03,2435.19,7603.55481,2021-04-15 10:15:00
1618482600000,2435.19,2437.57,2423.15,2433.85,5986.64328,2021-04-15 10:30:00
1618483500000,2433.86,2434.42,2409.09,2412.75,7953.23146,2021-04-15 10:45:00
1618484400000,2412.97,2422.03,2405.08,2416.44,9598.47078,2021-04-15 11:00:00
