time,open,high,low,close,vol,time_stamp
1610337600000,0.27713,0.28157,0.26501,0.2772,65382738.5,2021-01-11 04:00:00
1610341200000,0.2772,0.28188,0.27025,0.27333,50677111.8,2021-01-11 05:00:00
1610344800000,0.27304,0.27338,0.26001,0.26146,81630094.1,2021-01-11 06:00:00
1610348400000,0.26183,0.27544,0.2595,0.27392,61274938.1,2021-01-11 07:00:00
1610352000000,0.27389,0.2831,0.27105,0.27834,40738444.3,2021-01-11 08:00:00
1610355600000,0.27837,0.28315,0.27191,0.28265,31775898.9,2021-01-11 09:00:00
1610359200000,0.28267,0.28931,0.2811,0.28207,37947142.9,2021-01-11 10:00:00
1610362800000,0.28215,0.28354,0.265,0.26629,61106253.8,2021-01-11 11:00:00
1610366400000,0.26649,0.27487,0.26171,0.26936,52715448.6,2021-01-11 12:00:00
1610370000000,0.26939,0.27061,0.2567,0.2602,66909155.3,2021-01-11 13:00:00
1610373600000,0.26037,0.26594,0.24619,0.2633,101503335.5,2021-01-11 14:00:00
1610377200000,0.26332,0.26621,0.25014,0.25052,54563240.2,2021-01-11 15:00:00
1610380800000,0.25052,0.25561,0.2288,0.24249,163652164.9,2021-01-11 16:00:00
1610384400000,0.24252,0.25925,0.23333,0.25571,116616806.8,2021-01-11 17:00:00
1610388000000,0.25548,0.26215,0.2518,0.25539,50409715.7,2021-01-11 18:00:00
1610391600000,0.25539,0.25759,0.24,0.25189,52137295.2,2021-01-11 19:00:00
1610395200000,0.25182,0.2578,0.24538,0.25739,52386513.8,2021-01-11 20:00:00
1610398800000,0.25765,0.26752,0.25556,0.25951,78245600.7,2021-01-11 21:00:00
1610402400000,0.25962,0.2695,0.25858,0.26878,39308613.6,2021-01-11 22:00:00
1610406000000,0.26884,0.27756,0.26706,0.2757,48809604.6,2021-01-11 23:00:00
1610409600000,0.27563,0.27579,0.2628,0.27158,53408903.4,2021-01-12 00:00:00
1610413200000,0.27165,0.27679,0.26502,0.26679,35944071.3,2021-01-12 01:00:00
1610416800000,0.2669,0.27409,0.26594,0.27249,27306874.0,2021-01-12 02:00:00
1610420400000,0.2725,0.29,0.27038,0.28654,51077192.8,2021-01-12 03:00:00
1610424000000,0.28675,0.29133,0.2813,0.29101,43746657.0,2021-01-12 04:00:00
1610427600000,0.29093,0.29699,0.29057,0.29431,35155442.1,2021-01-12 05:00:00
1610431200000,0.29433,0.31442,0.29393,0.30391,61964939.9,2021-01-12 06:00:00
1610434800000,0.30394,0.3085,0.29658,0.30729,47498983.6,2021-01-12 07:00:00
1610438400000,0.30723,0.30821,0.28989,0.29364,45577308.8,2021-01-12 08:00:00
1610442000000,0.29352,0.29855,0.29116,0.29505,35580550.2,2021-01-12 09:00:00
1610445600000,0.29505,0.29826,0.275,0.28459,73105295.0,2021-01-12 10:00:00
1610449200000,0.28477,0.29489,0.28443,0.28779,43188230.5,2021-01-12 11:00:00
1610452800000,0.28778,0.2939,0.28559,0.28785,32660642.6,2021-01-12 12:00:00
1610456400000,0.28802,0.29214,0.27217,0.2726,63907224.1,2021-01-12 13:00:00
1610460000000,0.27242,0.28118,0.2672,0.27949,67476478.0,2021-01-12 14:00:00
1610463600000,0.27956,0.28901,0.27853,0.28498,52497992.4,2021-01-12 15:00:00
1610467200000,0.28503,0.3,0.28496,0.29619,59527365.2,2021-01-12 16:00:00
1610470800000,0.29636,0.29848,0.29097,0.29496,28672364.4,2021-01-12 17:00:00
1610474400000,0.29511,0.2979,0.28875,0.29188,25969696.7,2021-01-12 18:00:00
1610478000000,0.29211,0.29223,0.2845,0.28817,33407069.0,2021-01-12 19:00:00
1610481600000,0.28806,0.28809,0.28127,0.28715,29828216.5,2021-01-12 20:00:00
1610485200000,0.28715,0.2922,0.27888,0.2912,47597909.7,2021-01-12 21:00:00
1610488800000,0.29099,0.29345,0.27922,0.28223,32920394.1,2021-01-12 22:00:00
1610492400000,0.28216,0.28928,0.2804,0.28888,30993443.5,2021-01-12 23:00:00
1610496000000,0.28875,0.29515,0.27074,0.27214,74257948.5,2021-01-13 00:00:00
1610499600000,0.27215,0.28141,0.27,0.28058,47071102.9,2021-01-13 01:00:00
1610503200000,0.28043,0.28738,0.27667,0.28159,48926098.4,2021-01-13 02:00:00
1610506800000,0.2816,0.29015,0.2813,0.28371,34957652.7,2021-01-13 03:00:00
1610510400000,0.28371,0.28469,0.27727,0.2783,24993105.8,2021-01-13 04:00:00
1610514000000,0.2781,0.28176,0.27517,0.28134,18218635.5,2021-01-13 05:00:00
1610517600000,0.28135,0.2874,0.28129,0.28489,24746435.5,2021-01-13 06:00:00
1610521200000,0.2849,0.2935,0.28281,0.29234,30371993.3,2021-01-13 07:00:00
1610524800000,0.29224,0.29291,0.28792,0.28801,21883270.1,2021-01-13 08:00:00
1610528400000,0.28792,0.29221,0.28629,0.28879,19956447.1,2021-01-13 09:00:00
1610532000000,0.28907,0.29687,0.28888,0.29432,24487123.0,2021-01-13 10:00:00
1610535600000,0.29441,0.29687,0.29,0.2908,22307781.0,2021-01-13 11:00:00
1610539200000,0.29094,0.29214,0.28667,0.2905,22317073.7,2021-01-13 12:00:00
1610542800000,0.29051,0.29421,0.28843,0.2908,21065520.3,2021-01-13 13:00:00
1610546400000,0.2908,0.2945,0.28511,0.28584,24586890.5,2021-01-13 14:00:00
1610550000000,0.28588,0.29176,0.28506,0.2907,24712333.3,2021-01-13 15:00:00
1610553600000,0.29069,0.29299,0.28848,0.29094,17658939.3,2021-01-13 16:00:00
1610557200000,0.29094,0.29578,0.29036,0.29384,23952775.3,2021-01-13 17:00:00
1610560800000,0.29399,0.304,0.293,0.29895,37876407.0,2021-01-13 18:00:00
1610564400000,0.29899,0.30191,0.29748,0.29937,22954293.2,2021-01-13 19:00:00
1610568000000,0.29937,0.30629,0.29841,0.30418,31864750.1,2021-01-13 20:00:00
1610571600000,0.30414,0.31,0.3028,0.30937,29851612.7,2021-01-13 21:00:00
1610575200000,0.30953,0.31279,0.30421,0.30788,34922620.6,2021-01-13 22:00:00
1610578800000,0.30787,0.31587,0.30787,0.3123,31532302.1,2021-01-13 23:00:00
1610582400000,0.31246,0.31885,0.31239,0.31517,40139689.2,2021-01-14 00:00:00
1610586000000,0.31521,0.31522,0.30659,0.30728,28839662.9,2021-01-14 01:00:00
1610589600000,0.3073,0.31139,0.30318,0.30912,31291289.3,2021-01-14 02:00:00
1610593200000,0.30919,0.30946,0.30388,0.30444,21568829.3,2021-01-14 03:00:00
1610596800000,0.30456,0.30946,0.30034,0.30902,25292800.0,2021-01-14 04:00:00
1610600400000,0.30902,0.30972,0.30498,0.30541,14644709.3,2021-01-14 05:00:00
1610604000000,0.30545,0.31157,0.30545,0.31014,17760431.7,2021-01-14 06:00:00
1610607600000,0.30993,0.31535,0.30854,0.30993,28670028.8,2021-01-14 07:00:00
1610611200000,0.30998,0.31409,0.30997,0.31079,19451347.5,2021-01-14 08:00:00
1610614800000,0.31079,0.31181,0.30703,0.30746,18889577.7,2021-01-14 09:00:00
1610618400000,0.30743,0.31473,0.30626,0.31467,18366922.5,2021-01-14 10:00:00
1610622000000,0.31473,0.31633,0.30939,0.31221,20763213.2,2021-01-14 11:00:00
1610625600000,0.31214,0.31425,0.308,0.31405,21824691.8,2021-01-14 12:00:00
1610629200000,0.31404,0.31564,0.31167,0.31431,27205576.2,2021-01-14 13:00:00
1610632800000,0.31442,0.31992,0.31369,0.31821,39710395.3,2021-01-14 14:00:00
1610636400000,0.31821,0.31882,0.31403,0.31725,25674262.0,2021-01-14 15:00:00
1610640000000,0.31724,0.32455,0.31706,0.31812,45257749.6,2021-01-14 16:00:00
1610643600000,0.31827,0.32052,0.31496,0.31569,23498142.1,2021-01-14 17:00:00
1610647200000,0.3155,0.31796,0.30752,0.31119,40848553.6,2021-01-14 18:00:00
1610650800000,0.31119,0.31766,0.31111,0.31672,19873442.4,2021-01-14 19:00:00
1610654400000,0.31658,0.31698,0.30795,0.3083,21076044.1,2021-01-14 20:00:00
1610658000000,0.30851,0.31001,0.29646,0.30353,60031498.1,2021-01-14 21:00:00
1610661600000,0.30355,0.30897,0.303,0.30806,21240803.5,2021-01-14 22:00:00
1610665200000,0.30819,0.31313,0.30637,0.31201,24583013.9,2021-01-14 23:00:00
1610668800000,0.31203,0.31499,0.31013,0.31355,31413463.4,2021-01-15 00:00:00
1610672400000,0.31373,0.33225,0.31342,0.32294,79337498.4,2021-01-15 01:00:00
1610676000000,0.32299,0.32603,0.3187,0.32443,30627405.3,2021-01-15 02:00:00
1610679600000,0.32444,0.32444,0.31279,0.31759,33823155.9,2021-01-15 03:00:00
1610683200000,0.31766,0.319,0.3135,0.31363,22547684.0,2021-01-15 04:00:00
1610686800000,0.31371,0.31877,0.3078,0.30895,29567234.2,2021-01-15 05:00:00
1610690400000,0.30893,0.31494,0.30712,0.31379,28551388.2,2021-01-15 06:00:00
1610694000000,0.31378,0.325,0.31006,0.3246,33587717.4,2021-01-15 07:00:00
1610697600000,0.32461,0.32536,0.31682,0.31708,29329826.6,2021-01-15 08:00:00
1610701200000,0.31725,0.324,0.31515,0.32127,25935540.4,2021-01-15 09:00:00
1610704800000,0.32106,0.32242,0.31821,0.31986,20633608.6,2021-01-15 10:00:00
1610708400000,0.31997,0.32282,0.31794,0.31881,24983456.0,2021-01-15 11:00:00
1610712000000,0.31871,0.32033,0.30875,0.31455,33915802.8,2021-01-15 12:00:00
1610715600000,0.31444,0.32079,0.31023,0.31903,35229209.4,2021-01-15 13:00:00
1610719200000,0.3191,0.32045,0.30543,0.30939,35199771.4,2021-01-15 14:00:00
1610722800000,0.30941,0.30964,0.29207,0.29614,61894897.3,2021-01-15 15:00:00
1610726400000,0.29651,0.30451,0.27739,0.30298,103726576.4,2021-01-15 16:00:00
1610730000000,0.30292,0.30378,0.29649,0.30113,42009157.2,2021-01-15 17:00:00
1610733600000,0.30079,0.315,0.29643,0.30022,43026431.1,2021-01-15 18:00:00
1610737200000,0.30034,0.305,0.29756,0.3,20296593.4,2021-01-15 19:00:00
1610740800000,0.29977,0.30152,0.29314,0.30012,25781389.9,2021-01-15 20:00:00
1610744400000,0.30006,0.30467,0.29716,0.30238,26590631.5,2021-01-15 21:00:00
1610748000000,0.30239,0.30599,0.3,0.3035,20445095.3,2021-01-15 22:00:00
1610751600000,0.30382,0.30392,0.3005,0.30188,15063868.7,2021-01-15 23:00:00
1610755200000,0.30189,0.30979,0.30186,0.30722,30113585.3,2021-01-16 00:00:00
1610758800000,0.30722,0.31672,0.30709,0.30795,38790900.0,2021-01-16 01:00:00
1610762400000,0.30795,0.31074,0.30193,0.30376,21473763.6,2021-01-16 02:00:00
1610766000000,0.3037,0.3099,0.30189,0.30858,16204612.8,2021-01-16 03:00:00
1610769600000,0.30867,0.3101,0.30553,0.3101,13275447.2,2021-01-16 04:00:00
1610773200000,0.30999,0.31085,0.30252,0.307,16685092.4,2021-01-16 05:00:00
1610776800000,0.30701,0.31688,0.30701,0.31525,28392748.3,2021-01-16 06:00:00
