time,open,high,low,close,vol,time_stamp
1610337600000,0.228,0.2317,0.2228,0.2308,2654745.32,2021-01-11 04:00:00
1610341200000,0.2308,0.2337,0.2247,0.2277,1856916.58,2021-01-11 05:00:00
1610344800000,0.2271,0.2287,0.2193,0.2207,3833078.27,2021-01-11 06:00:00
1610348400000,0.221,0.2299,0.2189,0.2274,2899026.66,2021-01-11 07:00:00
1610352000000,0.2271,0.2333,0.2255,0.2313,1794745.72,2021-01-11 08:00:00
1610355600000,0.2313,0.2387,0.2289,0.2387,1758608.44,2021-01-11 09:00:00
1610359200000,0.2386,0.2405,0.2347,0.235,1443840.95,2021-01-11 10:00:00
1610362800000,0.2351,0.2366,0.2278,0.2287,1551521.55,2021-01-11 11:00:00
1610366400000,0.2287,0.233,0.2233,0.2282,3251842.48,2021-01-11 12:00:00
1610370000000,0.2281,0.2284,0.2201,0.2209,2410339.12,2021-01-11 13:00:00
1610373600000,0.2209,0.225,0.21,0.2247,3420528.21,2021-01-11 14:00:00
1610377200000,0.2244,0.226,0.2125,0.2133,2767386.69,2021-01-11 15:00:00
1610380800000,0.2131,0.2151,0.2015,0.2101,5839033.22,2021-01-11 16:00:00
1610384400000,0.2105,0.2205,0.2065,0.2182,3286515.52,2021-01-11 17:00:00
1610388000000,0.2182,0.2265,0.2164,0.2247,2674398.4,2021-01-11 18:00:00
1610391600000,0.2245,0.2265,0.2187,0.2211,1447473.94,2021-01-11 19:00:00
1610395200000,0.2213,0.2247,0.2187,0.2247,1494797.95,2021-01-11 20:00:00
1610398800000,0.2246,0.2274,0.2222,0.2257,1851577.13,2021-01-11 21:00:00
1610402400000,0.2256,0.2302,0.225,0.2273,1209269.05,2021-01-11 22:00:00
1610406000000,0.2273,0.2308,0.2269,0.23,1489194.23,2021-01-11 23:00:00
1610409600000,0.2298,0.2305,0.2224,0.2283,1919800.8,2021-01-12 00:00:00
1610413200000,0.228,0.2323,0.2249,0.2265,1084611.23,2021-01-12 01:00:00
1610416800000,0.2263,0.2318,0.2263,0.2311,1050607.81,2021-01-12 02:00:00
1610420400000,0.2315,0.2347,0.2282,0.2341,1013543.27,2021-01-12 03:00:00
1610424000000,0.2343,0.2364,0.2328,0.2363,1331803.14,2021-01-12 04:00:00
1610427600000,0.2363,0.2448,0.2357,0.2445,2970927.27,2021-01-12 05:00:00
1610431200000,0.2446,0.2484,0.2439,0.2467,1664464.87,2021-01-12 06:00:00
1610434800000,0.2468,0.2477,0.241,0.2443,1490713.01,2021-01-12 07:00:00
1610438400000,0.2441,0.2451,0.2384,0.2396,1435658.76,2021-01-12 08:00:00
1610442000000,0.2396,0.2419,0.2371,0.2395,968521.38,2021-01-12 09:00:00
1610445600000,0.2394,0.241,0.2289,0.2303,1980306.58,2021-01-12 10:00:00
1610449200000,0.2303,0.2349,0.2303,0.233,987210.03,2021-01-12 11:00:00
1610452800000,0.2329,0.2364,0.2313,0.2327,972781.35,2021-01-12 12:00:00
1610456400000,0.2327,0.2346,0.2233,0.2234,1714536.46,2021-01-12 13:00:00
1610460000000,0.2236,0.2305,0.2223,0.2272,2388129.11,2021-01-12 14:00:00
1610463600000,0.227,0.2311,0.2269,0.2299,933685.27,2021-01-12 15:00:00
1610467200000,0.2298,0.2382,0.2297,0.2379,1283844.83,2021-01-12 16:00:00
1610470800000,0.2379,0.2382,0.2341,0.2367,722031.53,2021-01-12 17:00:00
1610474400000,0.2365,0.238,0.2353,0.2368,615304.09,2021-01-12 18:00:00
1610478000000,0.2368,0.2395,0.2324,0.2354,1179439.94,2021-01-12 19:00:00
1610481600000,0.2357,0.2357,0.2327,0.235,1262068.04,2021-01-12 20:00:00
1610485200000,0.2346,0.2371,0.2301,0.236,1235489.82,2021-01-12 21:00:00
1610488800000,0.2363,0.2383,0.2289,0.2308,1503920.44,2021-01-12 22:00:00
1610492400000,0.2303,0.2318,0.2281,0.2317,1107837.98,2021-01-12 23:00:00
1610496000000,0.2315,0.2318,0.2237,0.2243,1291246.21,2021-01-13 00:00:00
1610499600000,0.2243,0.2298,0.2225,0.2292,944824.99,2021-01-13 01:00:00
1610503200000,0.2291,0.2315,0.2262,0.2289,993225.16,2021-01-13 02:00:00
1610506800000,0.2288,0.2327,0.2288,0.2311,934493.92,2021-01-13 03:00:00
1610510400000,0.2311,0.2314,0.2265,0.2279,720260.73,2021-01-13 04:00:00
1610514000000,0.2279,0.2301,0.2239,0.2288,617332.45,2021-01-13 05:00:00
1610517600000,0.2288,0.2335,0.2285,0.2308,760134.62,2021-01-13 06:00:00
1610521200000,0.2309,0.2366,0.2308,0.2349,1204257.36,2021-01-13 07:00:00
1610524800000,0.235,0.2366,0.233,0.2359,538335.09,2021-01-13 08:00:00
1610528400000,0.2358,0.2392,0.2358,0.2378,621229.7,2021-01-13 09:00:00
1610532000000,0.2379,0.2403,0.2373,0.2391,789363.63,2021-01-13 10:00:00
1610535600000,0.2394,0.2431,0.238,0.2395,1966304.81,2021-01-13 11:00:00
1610539200000,0.2394,0.2449,0.2373,0.2427,1601328.19,2021-01-13 12:00:00
1610542800000,0.243,0.2456,0.2412,0.2453,1188880.72,2021-01-13 13:00:00
1610546400000,0.2453,0.2461,0.2411,0.2419,1297150.22,2021-01-13 14:00:00
1610550000000,0.2418,0.2447,0.2417,0.2441,468482.85,2021-01-13 15:00:00
1610553600000,0.2443,0.2465,0.2435,0.2454,789653.15,2021-01-13 16:00:00
1610557200000,0.2455,0.2465,0.2439,0.2458,660215.9,2021-01-13 17:00:00
1610560800000,0.2458,0.2476,0.2455,0.247,891497.62,2021-01-13 18:00:00
1610564400000,0.2469,0.2479,0.246,0.247,574836.65,2021-01-13 19:00:00
1610568000000,0.247,0.2497,0.2447,0.2472,1092228.15,2021-01-13 20:00:00
1610571600000,0.2471,0.2479,0.2428,0.2439,1338471.22,2021-01-13 21:00:00
1610575200000,0.244,0.2471,0.244,0.2454,1017674.65,2021-01-13 22:00:00
1610578800000,0.2455,0.25,0.2452,0.2497,952516.5,2021-01-13 23:00:00
1610582400000,0.2495,0.2559,0.2455,0.2465,3546786.99,2021-01-14 00:00:00
1610586000000,0.2465,0.2465,0.2408,0.2422,1179866.85,2021-01-14 01:00:00
1610589600000,0.2422,0.2451,0.2406,0.2436,1061088.04,2021-01-14 02:00:00
1610593200000,0.2438,0.2438,0.2402,0.2403,732327.38,2021-01-14 03:00:00
1610596800000,0.2402,0.2438,0.2381,0.2431,1144637.65,2021-01-14 04:00:00
1610600400000,0.2428,0.2433,0.241,0.2413,560272.3,2021-01-14 05:00:00
1610604000000,0.2414,0.2449,0.2411,0.2444,530707.76,2021-01-14 06:00:00
1610607600000,0.2445,0.2489,0.2434,0.2453,2155149.92,2021-01-14 07:00:00
1610611200000,0.2453,0.247,0.2447,0.2457,541924.02,2021-01-14 08:00:00
1610614800000,0.2457,0.246,0.2429,0.2433,652663.68,2021-01-14 09:00:00
1610618400000,0.2433,0.2479,0.2429,0.2479,622056.41,2021-01-14 10:00:00
1610622000000,0.2479,0.248,0.245,0.2478,679477.61,2021-01-14 11:00:00
1610625600000,0.2477,0.2499,0.244,0.2496,978908.76,2021-01-14 12:00:00
1610629200000,0.2495,0.2527,0.249,0.2512,1407602.99,2021-01-14 13:00:00
1610632800000,0.2511,0.2519,0.2496,0.2503,1418632.59,2021-01-14 14:00:00
1610636400000,0.2501,0.2507,0.2469,0.2481,1729475.87,2021-01-14 15:00:00
1610640000000,0.2484,0.252,0.248,0.2485,1227316.94,2021-01-14 16:00:00
1610643600000,0.2484,0.251,0.2482,0.2485,576141.97,2021-01-14 17:00:00
1610647200000,0.2488,0.2497,0.2473,0.248,465098.44,2021-01-14 18:00:00
1610650800000,0.2482,0.2495,0.2474,0.2486,530370.97,2021-01-14 19:00:00
1610654400000,0.2484,0.2492,0.2457,0.2461,655006.91,2021-01-14 20:00:00
1610658000000,0.2459,0.2471,0.2412,0.2436,1413861.03,2021-01-14 21:00:00
1610661600000,0.2439,0.2444,0.2401,0.2428,1154068.15,2021-01-14 22:00:00
1610665200000,0.2426,0.2467,0.2421,0.2463,971750.85,2021-01-14 23:00:00
1610668800000,0.246,0.2488,0.2449,0.2466,1096200.77,2021-01-15 00:00:00
1610672400000,0.2466,0.2518,0.2459,0.2513,1798013.32,2021-01-15 01:00:00
1610676000000,0.2514,0.257,0.249,0.2549,2824604.68,2021-01-15 02:00:00
1610679600000,0.2548,0.255,0.2462,0.2482,1421830.05,2021-01-15 03:00:00
1610683200000,0.2481,0.2483,0.2432,0.2437,1408289.13,2021-01-15 04:00:00
1610686800000,0.2439,0.2484,0.2394,0.2394,1200840.65,2021-01-15 05:00:00
1610690400000,0.2396,0.243,0.2388,0.2427,1169572.72,2021-01-15 06:00:00
1610694000000,0.2428,0.2471,0.2406,0.2466,1075254.88,2021-01-15 07:00:00
1610697600000,0.2467,0.2496,0.2437,0.2476,734189.01,2021-01-15 08:00:00
1610701200000,0.2475,0.254,0.2462,0.2538,1145163.69,2021-01-15 09:00:00
1610704800000,0.2538,0.2597,0.2514,0.2541,2874782.19,2021-01-15 10:00:00
1610708400000,0.2541,0.257,0.2507,0.2516,1441907.14,2021-01-15 11:00:00
1610712000000,0.2516,0.2527,0.2461,0.2496,1794541.77,2021-01-15 12:00:00
1610715600000,0.2494,0.2593,0.2475,0.2574,2957753.04,2021-01-15 13:00:00
1610719200000,0.2578,0.2583,0.2447,0.2481,2673779.23,2021-01-15 14:00:00
1610722800000,0.2481,0.2482,0.2355,0.237,2617349.95,2021-01-15 15:00:00
1610726400000,0.2369,0.2419,0.2267,0.2417,3352417.54,2021-01-15 16:00:00
1610730000000,0.2414,0.2433,0.2382,0.2416,995841.87,2021-01-15 17:00:00
1610733600000,0.2414,0.2466,0.2379,0.2408,1080123.63,2021-01-15 18:00:00
1610737200000,0.2411,0.245,0.2384,0.2409,713918.21,2021-01-15 19:00:00
1610740800000,0.2406,0.2425,0.2381,0.2421,701332.41,2021-01-15 20:00:00
1610744400000,0.2421,0.247,0.2405,0.2462,479287.83,2021-01-15 21:00:00
1610748000000,0.2457,0.248,0.2438,0.2474,599174.7,2021-01-15 22:00:00
1610751600000,0.2471,0.2492,0.2462,0.2472,683400.9,2021-01-15 23:00:00
1610755200000,0.2473,0.28,0.2473,0.2688,21305855.23,2021-01-16 00:00:00
1610758800000,0.2689,0.2784,0.2661,0.273,4983015.87,2021-01-16 01:00:00
1610762400000,0.2728,0.2875,0.2713,0.2737,7717258.58,2021-01-16 02:00:00
1610766000000,0.2737,0.2867,0.2717,0.2794,11085307.46,2021-01-16 03:00:00
1610769600000,0.2795,0.2839,0.2753,0.2779,3220837.76,2021-01-16 04:00:00
1610773200000,0.2779,0.2802,0.2673,0.2704,3659910.45,2021-01-16 05:00:00
1610776800000,0.2705,0.274,0.2705,0.2722,1177876.31,2021-01-16 06:00:00
1610780400000,0.2722,0.2772,0.2718,0.2735,2201636.36,2021-01-16 07:00:00
1610784000000,0.2738,0.2769,0.2719,0.2765,1459801.47,2021-01-16 08:00:00
1610787600000,0.2765,0.2792,0.2745,0.2784,1939794.27,2021-01-16 09:00:00
1610791200000,0.2784,0.2788,0.2714,0.2734,1843432.02,2021-01-16 10:00:00
1610794800000,0.2737,0.2741,0.2696,0.2741,1951091.59,2021-01-16 11:00:00
1610798400000,0.2741,0.2756,0.2639,0.2709,2750647.93,2021-01-16 12:00:00
1610802000000,0.2703,0.274,0.2671,0.2685,1506431.9,2021-01-16 13:00:00
1610805600000,0.2686,0.2743,0.2669,0.2743,1402071.0,2021-01-16 14:00:00
1610809200000,0.2743,0.2769,0.2711,0.2739,2387953.5,2021-01-16 15:00:00
1610812800000,0.2735,0.2765,0.2654,0.267,3495147.34,2021-01-16 16:00:00
1610816400000,0.2672,0.2714,0.2664,0.2706,1319666.05,2021-01-16 17:00:00
1610820000000,0.2704,0.282,0.266,0.2691,5626318.75,2021-01-16 18:00:00
1610823600000,0.2687,0.2776,0.266,0.2742,2800831.66,2021-01-16 19:00:00
1610827200000,0.2741,0.2774,0.2715,0.2728,2584292.28,2021-01-16 20:00:00
1610830800000,0.2726,0.2727,0.2609,0.2638,2660232.94,2021-01-16 21:00:00
1610834400000,0.2634,0.2675,0.2562,0.2672,2161135.23,2021-01-16 22:00:00
1610838000000,0.2672,0.2692,0.2632,0.2665,1682869.43,2021-01-16 23:00:00
1610841600000,0.2662,0.2673,0.2586,0.2669,2337833.11,2021-01-17 00:00:00
1610845200000,0.2671,0.2725,0.2647,0.272,1573328.93,2021-01-17 01:00:00
1610848800000,0.2723,0.2755,0.2694,0.2717,1769341.77,2021-01-17 02:00:00
1610852400000,0.2714,0.2739,0.2662,0.2683,1981025.29,2021-01-17 03:00:00
1610856000000,0.2683,0.2744,0.2662,0.2666,1792958.65,2021-01-17 04:00:00
1610859600000,0.2666,0.2676,0.2588,0.2602,2346313.38,2021-01-17 05:00:00
1610863200000,0.2604,0.2625,0.257,0.2601,1466518.88,2021-01-17 06:00:00
1610866800000,0.2601,0.2622,0.2501,0.2517,1903907.57,2021-01-17 07:00:00
1610870400000,0.2518,0.2557,0.2487,0.2552,1686535.86,2021-01-17 08:00:00
1610874000000,0.2553,0.2587,0.2503,0.2515,1383031.58,2021-01-17 09:00:00
1610877600000,0.2516,0.2582,0.2489,0.2569,1262963.22,2021-01-17 10:00:00
1610881200000,0.2567,0.26,0.2557,0.2592,1061350.79,2021-01-17 11:00:00
1610884800000,0.2592,0.2629,0.2566,0.2579,1288000.62,2021-01-17 12:00:00
1610888400000,0.2577,0.2617,0.2567,0.2604,1496634.1,2021-01-17 13:00:00
1610892000000,0.2603,0.2614,0.2563,0.2591,1263830.06,2021-01-17 14:00:00
1610895600000,0.2588,0.2648,0.2588,0.2644,1446838.37,2021-01-17 15:00:00
1610899200000,0.2642,0.27,0.2629,0.2681,1909238.3,2021-01-17 16:00:00
1610902800000,0.2681,0.273,0.268,0.2721,2035769.99,2021-01-17 17:00:00
1610906400000,0.2724,0.2737,0.2701,0.272,1241788.35,2021-01-17 18:00:00
1610910000000,0.2723,0.275,0.267,0.2701,1429779.16,2021-01-17 19:00:00
1610913600000,0.27,0.274,0.27,0.2725,825883.77,2021-01-17 20:00:00
1610917200000,0.2724,0.2771,0.2711,0.277,1299549.82,2021-01-17 21:00:00
1610920800000,0.2772,0.2781,0.2726,0.2749,1499225.47,2021-01-17 22:00:00
1610924400000,0.2752,0.2794,0.2722,0.2736,1986032.0,2021-01-17 23:00:00
1610928000000,0.2736,0.277,0.273,0.2768,1000420.06,2021-01-18 00:00:00
1610931600000,0.277,0.2784,0.2738,0.277,795866.53,2021-01-18 01:00:00
1610935200000,0.2774,0.2822,0.2762,0.2776,2355550.66,2021-01-18 02:00:00
1610938800000,0.2776,0.2783,0.267,0.2689,2188836.67,2021-01-18 03:00:00
1610942400000,0.2691,0.2735,0.2657,0.2688,1960959.9,2021-01-18 04:00:00
1610946000000,0.2688,0.2785,0.2684,0.2754,1653743.14,2021-01-18 05:00:00
1610949600000,0.2753,0.2756,0.272,0.2732,476339.1,2021-01-18 06:00:00
1610953200000,0.2732,0.2771,0.2732,0.2771,922876.62,2021-01-18 07:00:00
1610956800000,0.2768,0.29,0.2766,0.2874,5348579.7,2021-01-18 08:00:00
1610960400000,0.2874,0.29,0.2836,0.2888,2543832.98,2021-01-18 09:00:00
1610964000000,0.2889,0.2951,0.2818,0.2918,5824141.32,2021-01-18 10:00:00
1610967600000,0.2915,0.2936,0.2842,0.2905,5215080.73,2021-01-18 11:00:00
1610971200000,0.2905,0.3,0.2841,0.2843,3970006.63,2021-01-18 12:00:00
1610974800000,0.2844,0.2904,0.2844,0.2867,2099739.9,2021-01-18 13:00:00
1610978400000,0.2868,0.2889,0.282,0.2835,1580809.73,2021-01-18 14:00:00
1610982000000,0.2835,0.289,0.2814,0.2872,2110097.16,2021-01-18 15:00:00
1610985600000,0.2876,0.29,0.2845,0.2862,2549156.24,2021-01-18 16:00:00
1610989200000,0.2862,0.2888,0.2823,0.2825,1971789.01,2021-01-18 17:00:00
1610992800000,0.2825,0.2842,0.2825,0.284,674212.89,2021-01-18 18:00:00
1610996400000,0.2841,0.2849,0.283,0.2849,798207.41,2021-01-18 19:00:00
1611000000000,0.2849,0.2865,0.2833,0.2835,705048.69,2021-01-18 20:00:00
1611003600000,0.2837,0.2871,0.2832,0.2871,604062.73,2021-01-18 21:00:00
1611007200000,0.2869,0.288,0.2839,0.2842,521173.9,2021-01-18 22:00:00
1611010800000,0.2843,0.2855,0.2819,0.2827,929824.33,2021-01-18 23:00:00
1611014400000,0.2824,0.2871,0.2804,0.2863,1670311.83,2021-01-19 00:00:00
1611018000000,0.286,0.2869,0.2767,0.278,1602780.13,2021-01-19 01:00:00
1611021600000,0.278,0.279,0.275,0.275,1664987.44,2021-01-19 02:00:00
1611025200000,0.2753,0.2777,0.2746,0.2751,857674.71,2021-01-19 03:00:00
1611028800000,0.2749,0.2779,0.2738,0.2765,1671527.61,2021-01-19 04:00:00
1611032400000,0.2764,0.2793,0.2764,0.2769,1062364.77,2021-01-19 05:00:00
1611036000000,0.2766,0.2803,0.2754,0.2792,947094.84,2021-01-19 06:00:00
1611039600000,0.279,0.2824,0.2785,0.2797,1283704.59,2021-01-19 07:00:00
1611043200000,0.2797,0.2856,0.2792,0.2836,1430162.6,2021-01-19 08:00:00
1611046800000,0.2836,0.2873,0.2835,0.2846,1651380.51,2021-01-19 09:00:00
1611050400000,0.2845,0.2902,0.2815,0.2822,2028490.64,2021-01-19 10:00:00
1611054000000,0.2825,0.2902,0.282,0.2899,1803573.15,2021-01-19 11:00:00
1611057600000,0.2899,0.2914,0.2865,0.2871,2589933.79,2021-01-19 12:00:00
1611061200000,0.2871,0.289,0.2857,0.289,1392350.75,2021-01-19 13:00:00
1611064800000,0.289,0.2893,0.286,0.2866,611121.78,2021-01-19 14:00:00
1611068400000,0.2866,0.2869,0.2809,0.2831,1734100.61,2021-01-19 15:00:00
1611072000000,0.2831,0.2856,0.2825,0.2827,1355633.87,2021-01-19 16:00:00
1611075600000,0.2825,0.2852,0.2812,0.2835,897220.53,2021-01-19 17:00:00
1611079200000,0.2838,0.2838,0.27,0.2715,2744958.28,2021-01-19 18:00:00
1611082800000,0.2716,0.2755,0.2666,0.2721,1982213.93,2021-01-19 19:00:00
1611086400000,0.2719,0.2751,0.2702,0.2747,1441979.34,2021-01-19 20:00:00
1611090000000,0.2745,0.2778,0.2743,0.276,780502.58,2021-01-19 21:00:00
1611093600000,0.2762,0.2777,0.2748,0.2769,580451.63,2021-01-19 22:00:00
1611097200000,0.2768,0.2777,0.2683,0.2684,1180523.38,2021-01-19 23:00:00
1611100800000,0.2685,0.2899,0.2652,0.2829,7679840.35,2021-01-20 00:00:00
1611104400000,0.283,0.2839,0.2775,0.2807,1328734.97,2021-01-20 01:00:00
1611108000000,0.2808,0.285,0.2769,0.2841,1555589.46,2021-01-20 02:00:00
1611111600000,0.284,0.2842,0.2682,0.2698,1806463.48,2021-01-20 03:00:00
1611115200000,0.2697,0.2738,0.2663,0.2734,1179898.96,2021-01-20 04:00:00
1611118800000,0.273,0.275,0.2704,0.2744,886123.79,2021-01-20 05:00:00
1611122400000,0.274,0.275,0.27,0.2705,729984.02,2021-01-20 06:00:00
1611126000000,0.2706,0.2766,0.27,0.2759,935285.54,2021-01-20 07:00:00
1611129600000,0.2757,0.2785,0.2723,0.2742,1241944.76,2021-01-20 08:00:00
1611133200000,0.2742,0.2751,0.2639,0.2642,1441692.5,2021-01-20 09:00:00
1611136800000,0.264,0.2653,0.2577,0.2638,2189537.17,2021-01-20 10:00:00
1611140400000,0.264,0.2649,0.2544,0.2571,2005473.97,2021-01-20 11:00:00
1611144000000,0.2571,0.2628,0.252,0.2619,1817839.44,2021-01-20 12:00:00
1611147600000,0.2621,0.2669,0.257,0.2666,918520.34,2021-01-20 13:00:00
1611151200000,0.2666,0.2703,0.265,0.2681,1260866.66,2021-01-20 14:00:00
1611154800000,0.2682,0.2699,0.2622,0.2631,839184.25,2021-01-20 15:00:00
1611158400000,0.2632,0.2728,0.259,0.2714,2963029.85,2021-01-20 16:00:00
1611162000000,0.271,0.2725,0.2693,0.2723,858414.5,2021-01-20 17:00:00
1611165600000,0.2719,0.275,0.2719,0.2746,1361960.2,2021-01-20 18:00:00
