time,open,high,low,close,vol,time_stamp
1610337600000,35438.23,35999.95,34300.0,35544.0,9555.241658,2021-01-11 04:00:00
1610341200000,35542.92,35924.19,34500.18,34904.73,7098.497134,2021-01-11 05:00:00
1610344800000,34904.73,34904.73,32550.0,32872.63,15763.148707,2021-01-11 06:00:00
1610348400000,32843.26,34739.98,32538.0,34375.34,12674.171281,2021-01-11 07:00:00
1610352000000,34372.25,35919.86,34249.0,35430.0,6432.361536,2021-01-11 08:00:00
1610355600000,35430.0,35788.06,34800.0,35765.98,5625.533362,2021-01-11 09:00:00
1610359200000,35765.98,36360.0,35238.01,35367.6,6245.55977,2021-01-11 10:00:00
1610362800000,35368.81,35471.0,34020.0,34198.56,7167.266632,2021-01-11 11:00:00
1610366400000,34198.55,35110.0,33308.01,34275.64,9904.293083,2021-01-11 12:00:00
1610370000000,34273.49,34450.0,32700.0,32813.71,12794.350869,2021-01-11 13:00:00
1610373600000,32808.92,33770.11,31115.0,33299.12,23220.782629,2021-01-11 14:00:00
1610377200000,33291.56,33679.74,31415.9,31580.0,11202.318772,2021-01-11 15:00:00
1610380800000,31582.82,32250.0,30420.0,31777.19,20017.085148,2021-01-11 16:00:00
1610384400000,31771.77,33585.17,30701.8,32839.87,16685.080917,2021-01-11 17:00:00
1610388000000,32848.96,33300.0,32432.32,32562.1,7184.911616,2021-01-11 18:00:00
1610391600000,32562.1,32737.4,31215.0,32254.62,7289.184361,2021-01-11 19:00:00
1610395200000,32254.63,33465.48,31408.07,33409.8,8540.913647,2021-01-11 20:00:00
1610398800000,33410.75,34466.0,33076.05,33968.09,9804.011673,2021-01-11 21:00:00
1610402400000,33962.22,34892.74,33650.0,34359.07,5403.703631,2021-01-11 22:00:00
1610406000000,34361.16,35638.55,34361.16,35404.47,9188.299414,2021-01-11 23:00:00
1610409600000,35410.37,35547.19,34287.34,34929.98,6612.036381,2021-01-12 00:00:00
1610413200000,34929.99,35457.0,33880.0,34289.3,5087.44237,2021-01-12 01:00:00
1610416800000,34289.3,34623.87,33677.03,34399.99,4906.329506,2021-01-12 02:00:00
1610420400000,34400.0,34998.94,34182.24,34984.96,3550.253921,2021-01-12 03:00:00
1610424000000,34984.95,35326.42,34520.69,35287.67,4020.857514,2021-01-12 04:00:00
1610427600000,35284.05,35889.0,34971.24,35882.68,5053.275954,2021-01-12 05:00:00
1610431200000,35882.68,36348.0,35720.43,35993.93,6584.657524,2021-01-12 06:00:00
1610434800000,35998.56,36628.0,35617.67,36413.6,6162.134286,2021-01-12 07:00:00
1610438400000,36413.6,36499.98,35587.86,35773.24,5138.337685,2021-01-12 08:00:00
1610442000000,35773.23,36150.67,35370.21,35925.76,3783.316743,2021-01-12 09:00:00
1610445600000,35925.76,36150.71,34757.0,35085.77,6437.927506,2021-01-12 10:00:00
1610449200000,35085.76,35841.01,35084.92,35410.99,4770.002252,2021-01-12 11:00:00
1610452800000,35410.99,35688.82,34850.0,35014.75,4399.509683,2021-01-12 12:00:00
1610456400000,35012.96,35399.7,33250.0,33291.06,10038.225095,2021-01-12 13:00:00
1610460000000,33286.0,34064.25,32531.0,33426.47,11811.355949,2021-01-12 14:00:00
1610463600000,33416.47,34285.71,33406.88,33829.4,6681.453942,2021-01-12 15:00:00
1610467200000,33829.4,35000.0,33819.11,34998.9,5939.785493,2021-01-12 16:00:00
1610470800000,34998.91,35289.67,34560.0,35012.53,5686.970759,2021-01-12 17:00:00
1610474400000,35012.54,35550.0,34810.01,35040.78,4048.613144,2021-01-12 18:00:00
1610478000000,35040.78,35040.79,34178.89,34685.11,3815.680014,2021-01-12 19:00:00
1610481600000,34686.1,34702.22,33730.0,34287.95,5034.976316,2021-01-12 20:00:00
1610485200000,34287.95,34877.28,33801.04,34719.03,4053.704056,2021-01-12 21:00:00
1610488800000,34721.74,35051.02,33297.82,33743.18,3949.373911,2021-01-12 22:00:00
1610492400000,33751.7,34138.84,33260.74,34051.24,6381.931992,2021-01-12 23:00:00
1610496000000,34049.15,34049.15,32380.0,32526.5,9275.279349,2021-01-13 00:00:00
1610499600000,32526.93,33450.0,32487.11,33124.06,6231.717545,2021-01-13 01:00:00
1610503200000,33125.3,33551.55,32566.55,33035.21,5457.275371,2021-01-13 02:00:00
1610506800000,33035.21,34375.51,32981.94,33818.5,6460.71206,2021-01-13 03:00:00
1610510400000,33818.5,33910.0,33090.9,33183.88,3956.30306,2021-01-13 04:00:00
1610514000000,33183.89,33521.96,32800.0,33321.75,3402.317536,2021-01-13 05:00:00
1610517600000,33321.76,34212.87,33212.12,33780.68,4919.322558,2021-01-13 06:00:00
1610521200000,33780.68,35180.67,33550.0,34986.9,6468.36582,2021-01-13 07:00:00
1610524800000,34986.9,35063.59,34438.95,34519.19,5729.476229,2021-01-13 08:00:00
1610528400000,34517.44,35107.47,34200.0,34343.62,4738.542551,2021-01-13 09:00:00
1610532000000,34343.62,35066.64,34343.61,34923.0,4760.852936,2021-01-13 10:00:00
1610535600000,34922.99,35250.0,34242.15,34385.48,5982.919994,2021-01-13 11:00:00
1610539200000,34385.48,34512.0,34017.0,34266.52,3585.06836,2021-01-13 12:00:00
1610542800000,34266.52,34787.24,34070.0,34575.5,3664.908752,2021-01-13 13:00:00
1610546400000,34575.51,35100.0,34216.0,34260.7,5193.523431,2021-01-13 14:00:00
1610550000000,34260.7,34850.0,34200.0,34673.9,3658.847423,2021-01-13 15:00:00
