time,open,high,low,close,vol,time_stamp
1610337600000,7.9819,8.1702,7.6695,8.1318,2448497.85,2021-01-11 04:00:00
1610341200000,8.1317,8.2153,7.8,7.8679,1879503.68,2021-01-11 05:00:00
1610344800000,7.8651,7.9909,7.4075,7.6059,2689046.8,2021-01-11 06:00:00
1610348400000,7.6001,8.1473,7.5,8.1048,1705310.82,2021-01-11 07:00:00
1610352000000,8.108,8.2652,7.9547,8.1249,1385128.11,2021-01-11 08:00:00
1610355600000,8.1301,8.3288,7.9717,8.3274,996587.78,2021-01-11 09:00:00
1610359200000,8.3224,8.47,8.21,8.2476,1041600.18,2021-01-11 10:00:00
1610362800000,8.2426,8.2998,8.0577,8.1086,1140145.75,2021-01-11 11:00:00
1610366400000,8.1108,8.26,7.7702,8.103,1503352.49,2021-01-11 12:00:00
1610370000000,8.1007,8.1007,7.6939,7.7102,1469499.79,2021-01-11 13:00:00
1610373600000,7.703,8.0203,7.31,8.0203,2550223.24,2021-01-11 14:00:00
1610377200000,8.0202,8.1188,7.5722,7.7901,1771672.53,2021-01-11 15:00:00
1610380800000,7.7889,7.8943,7.2695,7.6381,3184006.95,2021-01-11 16:00:00
1610384400000,7.6453,7.8799,7.35,7.7245,1758256.12,2021-01-11 17:00:00
1610388000000,7.7193,7.8938,7.6816,7.7558,921614.97,2021-01-11 18:00:00
1610391600000,7.7533,8.0,7.5413,7.7068,1287403.98,2021-01-11 19:00:00
1610395200000,7.7096,7.9725,7.5672,7.9725,871519.93,2021-01-11 20:00:00
1610398800000,7.9717,8.1371,7.8468,8.0246,1179841.45,2021-01-11 21:00:00
1610402400000,8.0228,8.2,7.9655,8.157,740448.91,2021-01-11 22:00:00
1610406000000,8.1581,8.2961,8.1464,8.2691,703017.68,2021-01-11 23:00:00
1610409600000,8.2736,8.2922,8.0155,8.203,799640.41,2021-01-12 00:00:00
1610413200000,8.2067,8.2961,7.9988,8.0506,675153.75,2021-01-12 01:00:00
1610416800000,8.0521,8.2281,8.0128,8.1929,586418.63,2021-01-12 02:00:00
1610420400000,8.1921,8.4,8.1373,8.3762,1095015.07,2021-01-12 03:00:00
1610424000000,8.3762,8.4744,8.2151,8.2853,1267152.48,2021-01-12 04:00:00
1610427600000,8.283,8.4797,8.2465,8.4797,1164159.06,2021-01-12 05:00:00
1610431200000,8.4797,8.5793,8.3692,8.496,1027591.17,2021-01-12 06:00:00
1610434800000,8.4925,8.65,8.3497,8.6112,776726.95,2021-01-12 07:00:00
1610438400000,8.6102,8.7243,8.3945,8.4207,1500591.64,2021-01-12 08:00:00
1610442000000,8.4198,8.4963,8.3601,8.4249,363236.31,2021-01-12 09:00:00
1610445600000,8.4255,8.4808,8.1004,8.1938,820851.73,2021-01-12 10:00:00
1610449200000,8.1939,8.4,8.1907,8.3172,579588.19,2021-01-12 11:00:00
1610452800000,8.3179,8.543,8.2686,8.3152,639081.65,2021-01-12 12:00:00
1610456400000,8.311,8.415,8.0345,8.0424,785519.36,2021-01-12 13:00:00
1610460000000,8.0424,8.2043,7.9201,8.0645,981921.13,2021-01-12 14:00:00
1610463600000,8.0641,8.2821,8.0594,8.1592,595050.99,2021-01-12 15:00:00
1610467200000,8.1592,8.3126,8.1592,8.3112,575681.48,2021-01-12 16:00:00
1610470800000,8.3121,8.393,8.2261,8.3703,514520.06,2021-01-12 17:00:00
1610474400000,8.3713,8.4876,8.3188,8.3781,506031.08,2021-01-12 18:00:00
1610478000000,8.3785,8.3786,8.1848,8.2963,509749.87,2021-01-12 19:00:00
1610481600000,8.2959,8.3227,8.1731,8.3134,483948.56,2021-01-12 20:00:00
1610485200000,8.3128,8.376,8.1,8.3582,472543.76,2021-01-12 21:00:00
1610488800000,8.3515,8.44,8.15,8.1744,469524.49,2021-01-12 22:00:00
1610492400000,8.1778,8.3171,8.0776,8.3078,580437.67,2021-01-12 23:00:00
1610496000000,8.3072,8.3476,7.9833,8.0029,770675.54,2021-01-13 00:00:00
1610499600000,8.0081,8.1869,8.0061,8.1669,821742.29,2021-01-13 01:00:00
1610503200000,8.1707,8.288,8.0742,8.2653,745084.63,2021-01-13 02:00:00
1610506800000,8.2617,8.6131,8.2599,8.5486,925665.95,2021-01-13 03:00:00
1610510400000,8.5486,8.6758,8.3139,8.6257,820241.13,2021-01-13 04:00:00
1610514000000,8.6257,8.7471,8.45,8.5802,1104040.41,2021-01-13 05:00:00
1610517600000,8.5798,8.8,8.5742,8.6797,945848.23,2021-01-13 06:00:00
1610521200000,8.6808,8.92,8.6522,8.8501,755110.01,2021-01-13 07:00:00
1610524800000,8.8493,9.0,8.7209,8.9494,747270.39,2021-01-13 08:00:00
1610528400000,8.9487,9.335,8.944,9.1369,1485742.54,2021-01-13 09:00:00
1610532000000,9.1413,9.35,9.0498,9.1347,1069274.37,2021-01-13 10:00:00
1610535600000,9.1348,9.2983,9.04,9.2179,898036.64,2021-01-13 11:00:00
1610539200000,9.222,9.2633,8.9618,9.1621,1012770.62,2021-01-13 12:00:00
1610542800000,9.1598,9.5,9.0761,9.4807,1217676.61,2021-01-13 13:00:00
1610546400000,9.4819,9.75,9.3709,9.5679,1553278.83,2021-01-13 14:00:00
1610550000000,9.5672,9.727,9.4941,9.6759,1094116.5,2021-01-13 15:00:00
1610553600000,9.6763,10.4133,9.6699,10.3208,3186876.41,2021-01-13 16:00:00
1610557200000,10.3197,10.668,10.1376,10.573,3610405.65,2021-01-13 17:00:00
1610560800000,10.5703,10.6293,10.0431,10.2449,2385623.04,2021-01-13 18:00:00
1610564400000,10.2483,10.3244,10.0252,10.0648,787351.43,2021-01-13 19:00:00
1610568000000,10.0651,10.4275,10.065,10.3732,956127.6,2021-01-13 20:00:00
1610571600000,10.375,11.4407,10.375,11.1236,3304787.84,2021-01-13 21:00:00
1610575200000,11.1263,11.2523,10.8,11.1901,1911493.45,2021-01-13 22:00:00
1610578800000,11.1923,11.3979,10.891,10.9486,1864077.34,2021-01-13 23:00:00
1610582400000,10.9417,11.7009,10.9335,11.41,3340093.76,2021-01-14 00:00:00
1610586000000,11.41,11.4344,11.0501,11.0934,1553955.12,2021-01-14 01:00:00
1610589600000,11.0976,11.61,11.0927,11.363,1588450.49,2021-01-14 02:00:00
1610593200000,11.363,11.5388,11.2334,11.2633,1194917.47,2021-01-14 03:00:00
1610596800000,11.2647,11.4489,11.122,11.3856,1054841.7,2021-01-14 04:00:00
1610600400000,11.3817,11.3988,11.1298,11.1389,788493.67,2021-01-14 05:00:00
1610604000000,11.1441,11.249,10.8801,11.1969,1422995.9,2021-01-14 06:00:00
1610607600000,11.2024,11.2912,10.9747,11.1949,1165226.62,2021-01-14 07:00:00
1610611200000,11.1919,11.2016,10.8979,11.0429,2079614.12,2021-01-14 08:00:00
1610614800000,11.038,11.57,11.027,11.2802,2020138.65,2021-01-14 09:00:00
1610618400000,11.2864,12.3013,11.25,12.0159,4429617.63,2021-01-14 10:00:00
1610622000000,12.0121,12.3639,11.873,12.3007,2734375.1,2021-01-14 11:00:00
1610625600000,12.2992,12.5341,11.963,12.4986,2260972.85,2021-01-14 12:00:00
1610629200000,12.4876,12.88,12.3065,12.4672,4548024.0,2021-01-14 13:00:00
1610632800000,12.469,12.6956,12.213,12.3301,2265931.73,2021-01-14 14:00:00
1610636400000,12.3347,12.9264,12.116,12.8824,2253153.68,2021-01-14 15:00:00
1610640000000,12.8886,13.22,12.3519,12.3876,3042469.85,2021-01-14 16:00:00
1610643600000,12.3844,12.9846,12.3725,12.58,1458003.76,2021-01-14 17:00:00
1610647200000,12.5755,12.8498,12.5575,12.6167,771301.16,2021-01-14 18:00:00
1610650800000,12.6167,12.7792,12.5222,12.7092,705128.96,2021-01-14 19:00:00
1610654400000,12.7059,12.73,12.3559,12.4943,803670.35,2021-01-14 20:00:00
1610658000000,12.4766,12.919,11.999,12.6771,2065788.0,2021-01-14 21:00:00
1610661600000,12.6772,12.8166,12.4342,12.7327,958394.41,2021-01-14 22:00:00
1610665200000,12.7267,14.68,12.6575,14.4867,6041045.16,2021-01-14 23:00:00
1610668800000,14.4862,14.9248,14.03,14.4617,4539688.25,2021-01-15 00:00:00
1610672400000,14.4729,14.9599,14.223,14.441,2979139.08,2021-01-15 01:00:00
1610676000000,14.4409,14.845,14.15,14.3308,1725606.38,2021-01-15 02:00:00
1610679600000,14.3284,14.4413,13.471,13.9011,4298424.68,2021-01-15 03:00:00
1610683200000,13.9011,14.0881,13.5849,13.8343,2371852.09,2021-01-15 04:00:00
1610686800000,13.8268,14.25,13.6358,13.7016,2251178.51,2021-01-15 05:00:00
1610690400000,13.6987,14.28,13.5115,14.0127,1895510.16,2021-01-15 06:00:00
1610694000000,14.0069,14.53,13.7844,14.2728,1912234.74,2021-01-15 07:00:00
1610697600000,14.2757,14.5,13.9466,13.9898,1490618.25,2021-01-15 08:00:00
1610701200000,13.9984,14.5975,13.8122,14.1939,2134228.24,2021-01-15 09:00:00
1610704800000,14.198,14.33,13.9691,14.0021,1080880.99,2021-01-15 10:00:00
1610708400000,13.9995,14.32,13.9024,14.119,1254568.67,2021-01-15 11:00:00
1610712000000,14.1212,14.1254,13.262,13.837,2754891.02,2021-01-15 12:00:00
1610715600000,13.8163,13.9284,13.505,13.891,1701121.68,2021-01-15 13:00:00
1610719200000,13.8975,13.9855,12.9326,13.3,2672087.27,2021-01-15 14:00:00
1610722800000,13.2918,13.4302,12.65,12.8724,3040123.83,2021-01-15 15:00:00
1610726400000,12.8751,13.71,11.7619,13.6616,7670053.89,2021-01-15 16:00:00
1610730000000,13.6616,13.6913,12.8889,13.1577,2802956.37,2021-01-15 17:00:00
1610733600000,13.1444,13.6262,12.955,13.312,1783044.15,2021-01-15 18:00:00
1610737200000,13.3125,13.477,12.5544,12.729,1704450.46,2021-01-15 19:00:00
1610740800000,12.7421,13.3556,12.5616,13.3156,1551204.98,2021-01-15 20:00:00
1610744400000,13.3125,13.4118,13.0431,13.2164,1566163.2,2021-01-15 21:00:00
1610748000000,13.22,13.42,13.0168,13.23,879591.2,2021-01-15 22:00:00
1610751600000,13.23,13.2533,12.9111,13.1679,737628.47,2021-01-15 23:00:00
1610755200000,13.1638,15.335,13.1567,14.9921,5481949.75,2021-01-16 00:00:00
1610758800000,14.9969,15.39,14.3489,14.7469,4350632.72,2021-01-16 01:00:00
1610762400000,14.7466,15.0571,14.0642,14.2022,2497650.68,2021-01-16 02:00:00
1610766000000,14.2063,14.6785,14.0346,14.64,1712278.33,2021-01-16 03:00:00
1610769600000,14.6356,14.6959,14.2815,14.5385,966505.25,2021-01-16 04:00:00
1610773200000,14.537,14.8516,14.2843,14.7903,1720504.49,2021-01-16 05:00:00
1610776800000,14.7951,15.2159,14.5581,14.6495,1889813.47,2021-01-16 06:00:00
1610780400000,14.6471,15.2391,14.5814,14.994,1290686.53,2021-01-16 07:00:00
1610784000000,14.9938,15.0954,14.6998,15.0083,1519005.15,2021-01-16 08:00:00
1610787600000,15.0134,15.838,14.9,15.838,2515225.95,2021-01-16 09:00:00
1610791200000,15.825,16.6,15.5752,16.3348,4936029.88,2021-01-16 10:00:00
1610794800000,16.3349,17.1,16.0611,16.9113,3424019.11,2021-01-16 11:00:00
1610798400000,16.9113,17.0397,15.8799,16.5892,3612545.02,2021-01-16 12:00:00
1610802000000,16.5783,16.8724,16.3164,16.3851,2114026.43,2021-01-16 13:00:00
1610805600000,16.3851,17.84,16.3164,17.7299,5088606.47,2021-01-16 14:00:00
1610809200000,17.7305,18.2744,17.1111,17.5392,6802558.75,2021-01-16 15:00:00
1610812800000,17.5392,17.85,16.5,17.3437,4929091.29,2021-01-16 16:00:00
1610816400000,17.3433,17.8,17.1952,17.3013,2751403.31,2021-01-16 17:00:00
1610820000000,17.3013,17.7,17.1846,17.2936,1506286.55,2021-01-16 18:00:00
1610823600000,17.292,18.2,16.95,17.865,2862749.43,2021-01-16 19:00:00
1610827200000,17.865,19.4,17.7328,18.9298,5675849.99,2021-01-16 20:00:00
1610830800000,18.9304,18.95,17.4,17.9696,5388316.87,2021-01-16 21:00:00
1610834400000,17.9994,18.239,17.0434,18.0462,4199714.68,2021-01-16 22:00:00
1610838000000,18.0521,18.6548,17.8609,17.9893,3224640.1,2021-01-16 23:00:00
1610841600000,17.9849,18.1551,17.16,17.8844,4172385.15,2021-01-17 00:00:00
1610845200000,17.8857,17.9129,17.1414,17.719,2394382.66,2021-01-17 01:00:00
1610848800000,17.7201,17.77,17.0277,17.522,2309132.53,2021-01-17 02:00:00
1610852400000,17.528,17.8539,17.2,17.4603,1468225.16,2021-01-17 03:00:00
1610856000000,17.4603,17.7,16.8706,17.0289,1374182.83,2021-01-17 04:00:00
1610859600000,17.0286,17.2907,16.516,16.978,2404441.73,2021-01-17 05:00:00
1610863200000,16.9745,17.46,16.7146,17.3838,1718904.35,2021-01-17 06:00:00
1610866800000,17.3838,17.45,16.6,16.8557,1848677.96,2021-01-17 07:00:00
1610870400000,16.8432,17.054,16.28,17.048,3172083.36,2021-01-17 08:00:00
1610874000000,17.0351,18.17,16.977,17.511,5728225.28,2021-01-17 09:00:00
1610877600000,17.511,18.2677,16.9908,17.8451,4319883.83,2021-01-17 10:00:00
1610881200000,17.8391,17.9793,17.0354,17.3377,3479007.23,2021-01-17 11:00:00
1610884800000,17.3348,17.4134,16.5254,16.6584,2708227.98,2021-01-17 12:00:00
1610888400000,16.658,17.25,16.6493,16.7389,1962511.1,2021-01-17 13:00:00
1610892000000,16.739,17.1444,16.6428,16.8757,1311759.49,2021-01-17 14:00:00
1610895600000,16.8859,17.3499,16.7871,17.0551,1305357.27,2021-01-17 15:00:00
1610899200000,17.0744,17.1987,16.66,16.7991,1485610.71,2021-01-17 16:00:00
1610902800000,16.7991,16.9898,16.6709,16.9,803053.06,2021-01-17 17:00:00
1610906400000,16.9,16.97,16.7085,16.7588,629087.84,2021-01-17 18:00:00
1610910000000,16.7636,17.1,16.75,16.8231,778994.59,2021-01-17 19:00:00
1610913600000,16.8161,17.8401,16.8061,17.5626,2158695.14,2021-01-17 20:00:00
1610917200000,17.567,17.68,17.0458,17.3853,1367875.76,2021-01-17 21:00:00
1610920800000,17.3853,17.4843,16.82,17.0069,962124.32,2021-01-17 22:00:00
1610924400000,17.0069,17.2303,16.8,17.0832,796389.02,2021-01-17 23:00:00
1610928000000,17.0897,17.7473,16.9394,17.7318,1805499.3,2021-01-18 00:00:00
1610931600000,17.7321,18.221,17.6559,17.6734,2405590.65,2021-01-18 01:00:00
1610935200000,17.6734,17.949,17.3033,17.4352,1086720.23,2021-01-18 02:00:00
1610938800000,17.4358,17.5099,17.0822,17.2298,1403236.4,2021-01-18 03:00:00
1610942400000,17.2299,17.5587,17.1907,17.4,790430.31,2021-01-18 04:00:00
1610946000000,17.3912,17.478,17.1769,17.3356,805827.36,2021-01-18 05:00:00
1610949600000,17.3368,17.405,17.2447,17.3194,523009.23,2021-01-18 06:00:00
1610953200000,17.3205,17.7829,17.27,17.7278,1047238.75,2021-01-18 07:00:00
1610956800000,17.7283,17.9522,17.4983,17.5865,1132797.24,2021-01-18 08:00:00
1610960400000,17.5865,17.7199,17.4152,17.5142,839994.64,2021-01-18 09:00:00
1610964000000,17.5186,17.5299,17.1771,17.355,1000844.79,2021-01-18 10:00:00
1610967600000,17.3515,17.3598,17.1008,17.1942,1081589.76,2021-01-18 11:00:00
1610971200000,17.1986,17.4081,16.5,16.7518,2013752.9,2021-01-18 12:00:00
1610974800000,16.7518,17.07,16.6649,16.6985,1276034.99,2021-01-18 13:00:00
1610978400000,16.6952,17.05,16.6952,17.05,1155996.76,2021-01-18 14:00:00
1610982000000,17.0499,17.3249,16.9404,17.1,1209023.6,2021-01-18 15:00:00
1610985600000,17.1009,17.1821,16.8,16.8505,644338.06,2021-01-18 16:00:00
1610989200000,16.8517,16.9068,16.6562,16.718,673144.3,2021-01-18 17:00:00
1610992800000,16.7202,17.0,16.68,16.7428,530615.5,2021-01-18 18:00:00
1610996400000,16.7489,16.8298,16.5963,16.7802,545082.26,2021-01-18 19:00:00
1611000000000,16.7802,16.8255,16.621,16.6731,368245.83,2021-01-18 20:00:00
1611003600000,16.67,16.7043,16.294,16.297,691510.35,2021-01-18 21:00:00
1611007200000,16.2961,16.5,15.7,15.9892,1951417.65,2021-01-18 22:00:00
1611010800000,15.9892,16.59,15.9823,16.5898,1115630.32,2021-01-18 23:00:00
1611014400000,16.5786,16.9043,16.2,16.5634,1598286.25,2021-01-19 00:00:00
1611018000000,16.5585,16.5984,15.887,16.2563,2038655.77,2021-01-19 01:00:00
1611021600000,16.2583,16.5326,16.2144,16.3047,1400753.91,2021-01-19 02:00:00
1611025200000,16.3049,16.8999,16.2901,16.81,1347216.63,2021-01-19 03:00:00
1611028800000,16.8061,17.3607,16.6777,16.8299,2155290.11,2021-01-19 04:00:00
1611032400000,16.8158,17.2199,16.6747,16.6936,1183186.85,2021-01-19 05:00:00
1611036000000,16.6914,17.2272,16.647,17.145,1319916.83,2021-01-19 06:00:00
1611039600000,17.1442,17.25,16.9406,17.0199,688603.35,2021-01-19 07:00:00
1611043200000,17.0312,17.49,17.0003,17.478,1487332.09,2021-01-19 08:00:00
1611046800000,17.4764,17.49,17.0006,17.0137,1244585.76,2021-01-19 09:00:00
1611050400000,17.0137,17.2807,17.0,17.1065,706242.39,2021-01-19 10:00:00
1611054000000,17.1062,17.145,16.8334,16.945,833480.51,2021-01-19 11:00:00
1611057600000,16.937,17.0527,16.6885,16.8117,1013686.73,2021-01-19 12:00:00
1611061200000,16.8087,17.3,16.7566,17.0337,941303.32,2021-01-19 13:00:00
1611064800000,17.0361,17.0492,16.739,16.9438,547518.71,2021-01-19 14:00:00
1611068400000,16.9431,17.0,16.7,16.7676,529707.83,2021-01-19 15:00:00
1611072000000,16.7679,16.85,16.513,16.7331,834165.94,2021-01-19 16:00:00
1611075600000,16.7268,16.832,16.4021,16.5399,713258.86,2021-01-19 17:00:00
1611079200000,16.5365,16.5705,16.2266,16.283,648517.3,2021-01-19 18:00:00
1611082800000,16.2814,16.4754,16.1,16.3035,623698.28,2021-01-19 19:00:00
1611086400000,16.3,16.6434,16.2111,16.6344,407609.24,2021-01-19 20:00:00
1611090000000,16.628,16.7226,16.41,16.4225,465855.72,2021-01-19 21:00:00
1611093600000,16.4226,16.8651,16.35,16.7884,526377.03,2021-01-19 22:00:00
1611097200000,16.7907,16.8465,16.38,16.3933,492224.97,2021-01-19 23:00:00
1611100800000,16.3951,16.566,16.2258,16.3931,742012.1,2021-01-20 00:00:00
1611104400000,16.3927,16.5,16.2597,16.3331,361525.38,2021-01-20 01:00:00
1611108000000,16.3374,16.3638,16.0,16.3034,881964.0,2021-01-20 02:00:00
1611111600000,16.3034,16.325,15.5487,15.5705,1223317.13,2021-01-20 03:00:00
1611115200000,15.5728,16.0405,15.3137,15.9651,1779534.21,2021-01-20 04:00:00
1611118800000,15.9584,16.0205,15.5908,15.7608,905288.86,2021-01-20 05:00:00
1611122400000,15.7546,16.0045,15.5835,15.7794,920034.46,2021-01-20 06:00:00
1611126000000,15.7779,16.0447,15.5,15.9643,850174.04,2021-01-20 07:00:00
1611129600000,15.9669,16.0556,15.665,15.7376,782877.57,2021-01-20 08:00:00
1611133200000,15.7263,15.7857,15.2165,15.2726,1054577.09,2021-01-20 09:00:00
1611136800000,15.2712,15.4316,14.9356,15.2592,1639641.54,2021-01-20 10:00:00
1611140400000,15.2592,15.3768,14.8,15.0823,1317119.8,2021-01-20 11:00:00
1611144000000,15.0826,15.35,14.8,15.2219,1160255.26,2021-01-20 12:00:00
1611147600000,15.226,15.4807,14.95,15.4258,1054936.34,2021-01-20 13:00:00
1611151200000,15.4272,15.5198,15.2951,15.3286,694539.48,2021-01-20 14:00:00
1611154800000,15.3286,15.5143,14.97,15.0347,928983.43,2021-01-20 15:00:00
1611158400000,15.0175,15.7671,14.79,15.7669,1779275.5,2021-01-20 16:00:00
1611162000000,15.7647,16.3359,15.6706,16.13,1882057.82,2021-01-20 17:00:00
1611165600000,16.1342,16.6034,16.0233,16.6034,785201.73,2021-01-20 18:00:00
1611169200000,16.6026,17.85,16.5246,17.8221,3343161.58,2021-01-20 19:00:00
1611172800000,17.8268,18.2078,17.4047,17.451,4130026.09,2021-01-20 20:00:00
1611176400000,17.4624,17.99,17.0236,17.9066,2393369.75,2021-01-20 21:00:00
1611180000000,17.8948,18.0417,17.3046,17.7467,1496159.07,2021-01-20 22:00:00
1611183600000,17.7466,18.04,17.5,17.9808,1550637.25,2021-01-20 23:00:00
1611187200000,17.9798,18.15,17.3534,17.5662,1763003.42,2021-01-21 00:00:00
1611190800000,17.5679,17.762,17.3769,17.5881,1330722.52,2021-01-21 01:00:00
1611194400000,17.5881,17.7545,17.3731,17.4629,1240422.22,2021-01-21 02:00:00
1611198000000,17.4649,17.5949,16.8888,17.2957,1487455.23,2021-01-21 03:00:00
1611201600000,17.289,17.4982,16.335,16.508,2336579.72,2021-01-21 04:00:00
1611205200000,16.5077,16.8796,16.2809,16.8545,1130245.92,2021-01-21 05:00:00
1611208800000,16.8518,16.9601,16.5888,16.8012,959594.34,2021-01-21 06:00:00
1611212400000,16.7972,16.9549,16.5626,16.6825,746563.1,2021-01-21 07:00:00
1611216000000,16.6824,16.8308,15.9735,15.9914,1580953.26,2021-01-21 08:00:00
1611219600000,15.9916,16.368,15.5372,16.1982,3266656.77,2021-01-21 09:00:00
1611223200000,16.1948,16.85,15.845,16.7,2375296.59,2021-01-21 10:00:00
1611226800000,16.6971,16.7391,16.1946,16.3272,1989855.05,2021-01-21 11:00:00
1611230400000,16.3273,16.7,15.812,16.518,2760454.25,2021-01-21 12:00:00
1611234000000,16.5119,16.5766,16.2596,16.2881,909312.06,2021-01-21 13:00:00
1611237600000,16.2971,16.4151,15.9715,16.0305,1824486.74,2021-01-21 14:00:00
1611241200000,16.0134,16.46,15.95,16.1583,1609253.43,2021-01-21 15:00:00
1611244800000,16.1508,16.6061,16.0022,16.0347,2158076.59,2021-01-21 16:00:00
1611248400000,16.0419,16.2848,15.9101,16.2412,1141547.43,2021-01-21 17:00:00
1611252000000,16.242,16.25,16.0064,16.1308,576283.31,2021-01-21 18:00:00
1611255600000,16.1218,16.5818,16.0754,16.546,923765.05,2021-01-21 19:00:00
1611259200000,16.5425,16.546,16.244,16.28,609317.19,2021-01-21 20:00:00
1611262800000,16.28,16.44,15.8299,15.8376,633454.2,2021-01-21 21:00:00
1611266400000,15.8376,15.8963,14.982,15.5802,2483142.54,2021-01-21 22:00:00
1611270000000,15.5796,16.65,15.5719,15.9818,3147349.93,2021-01-21 23:00:00
1611273600000,15.9837,16.0073,14.7111,15.1504,4633585.16,2021-01-22 00:00:00
1611277200000,15.1504,15.7444,14.87,15.655,2826248.34,2021-01-22 01:00:00
1611280800000,15.6515,16.2876,15.6039,16.2752,2430305.88,2021-01-22 02:00:00
1611284400000,16.2745,16.4,15.9138,16.3331,1133069.07,2021-01-22 03:00:00
1611288000000,16.3398,16.595,16.1692,16.189,1070173.6,2021-01-22 04:00:00
1611291600000,16.1904,16.6373,16.1576,16.5852,891113.48,2021-01-22 05:00:00
1611295200000,16.5904,16.6246,16.2647,16.2873,780825.14,2021-01-22 06:00:00
1611298800000,16.2857,16.55,16.02,16.2025,788433.11,2021-01-22 07:00:00
1611302400000,16.2021,16.5397,16.0323,16.5241,803523.63,2021-01-22 08:00:00
1611306000000,16.5299,16.6,16.3,16.3427,638576.51,2021-01-22 09:00:00
1611309600000,16.3427,16.4947,16.1864,16.3957,595372.61,2021-01-22 10:00:00
1611313200000,16.3946,16.6,16.3851,16.5952,881880.6,2021-01-22 11:00:00
1611316800000,16.5965,17.5,16.596,17.2357,2926581.1,2021-01-22 12:00:00
1611320400000,17.2357,17.3823,17.0118,17.2246,993866.02,2021-01-22 13:00:00
1611324000000,17.2245,17.7138,17.2212,17.5165,1416331.53,2021-01-22 14:00:00
1611327600000,17.513,17.52,17.0813,17.3077,1059457.22,2021-01-22 15:00:00
1611331200000,17.3103,17.4891,16.8026,17.1895,1361863.43,2021-01-22 16:00:00
1611334800000,17.1899,17.6529,17.1289,17.3872,997855.11,2021-01-22 17:00:00
1611338400000,17.3823,17.707,17.2646,17.6979,682943.85,2021-01-22 18:00:00
1611342000000,17.7,18.0178,17.606,17.6803,1615876.3,2021-01-22 19:00:00
1611345600000,17.6874,17.7701,17.43,17.5103,686140.04,2021-01-22 20:00:00
1611349200000,17.5102,17.79,17.4301,17.4462,569697.26,2021-01-22 21:00:00
1611352800000,17.4547,17.6207,16.8936,16.8936,783984.89,2021-01-22 22:00:00
1611356400000,16.9055,17.3478,16.86,17.1207,890338.19,2021-01-22 23:00:00
1611360000000,17.1243,17.1667,16.81,17.0268,710096.9,2021-01-23 00:00:00
1611363600000,17.0315,17.2897,16.8307,17.1236,666536.56,2021-01-23 01:00:00
1611367200000,17.1284,17.1877,16.7951,16.8606,533004.73,2021-01-23 02:00:00
1611370800000,16.8655,17.1818,16.8655,17.0783,388087.56,2021-01-23 03:00:00
1611374400000,17.0716,17.45,16.9804,17.369,686779.4,2021-01-23 04:00:00
1611378000000,17.3601,17.69,17.1919,17.5759,731761.04,2021-01-23 05:00:00
1611381600000,17.5759,18.5,17.5221,18.2149,2487753.22,2021-01-23 06:00:00
1611385200000,18.2121,18.267,17.795,17.9877,1302564.99,2021-01-23 07:00:00
1611388800000,17.9878,18.3524,17.7695,18.1758,906625.41,2021-01-23 08:00:00
1611392400000,18.1898,18.2458,17.798,17.8657,1100916.26,2021-01-23 09:00:00
1611396000000,17.866,17.9081,17.44,17.7224,1335354.73,2021-01-23 10:00:00
1611399600000,17.7211,17.8797,17.0,17.2353,1448772.06,2021-01-23 11:00:00
1611403200000,17.228,17.5,17.1701,17.3137,911241.88,2021-01-23 12:00:00
