time,open,high,low,close,vol,time_stamp
1610337600000,0.02595,0.02681,0.0252,0.02671,23907851.9,2021-01-11 04:00:00
1610341200000,0.02672,0.02698,0.0261,0.02628,20110617.1,2021-01-11 05:00:00
1610344800000,0.02623,0.02629,0.02431,0.02496,25281774.9,2021-01-11 06:00:00
1610348400000,0.02502,0.02646,0.0247,0.02616,16514571.7,2021-01-11 07:00:00
1610352000000,0.02622,0.02777,0.02602,0.02762,22517763.7,2021-01-11 08:00:00
1610355600000,0.02761,0.02796,0.02724,0.02793,15706328.5,2021-01-11 09:00:00
1610359200000,0.02795,0.02851,0.02758,0.02784,17398119.1,2021-01-11 10:00:00
1610362800000,0.02783,0.02795,0.02678,0.02696,18139236.5,2021-01-11 11:00:00
1610366400000,0.027,0.02732,0.02633,0.02658,21272995.7,2021-01-11 12:00:00
1610370000000,0.02661,0.02677,0.02562,0.02569,18098248.6,2021-01-11 13:00:00
1610373600000,0.0257,0.02594,0.02387,0.02581,40484852.6,2021-01-11 14:00:00
1610377200000,0.0258,0.026,0.02427,0.02437,15370172.3,2021-01-11 15:00:00
1610380800000,0.02443,0.0248,0.02281,0.02372,41090383.4,2021-01-11 16:00:00
1610384400000,0.02378,0.02511,0.02298,0.02464,32140254.5,2021-01-11 17:00:00
1610388000000,0.02464,0.0251,0.02423,0.02455,14787619.0,2021-01-11 18:00:00
1610391600000,0.02452,0.02471,0.02372,0.02435,21459547.9,2021-01-11 19:00:00
1610395200000,0.02436,0.02489,0.02369,0.0248,10457490.5,2021-01-11 20:00:00
1610398800000,0.02486,0.02553,0.02477,0.02533,9075089.4,2021-01-11 21:00:00
1610402400000,0.02534,0.02581,0.02504,0.02541,9181606.8,2021-01-11 22:00:00
1610406000000,0.0254,0.0261,0.02538,0.02593,9919274.2,2021-01-11 23:00:00
1610409600000,0.02593,0.02689,0.02508,0.02569,7931505.1,2021-01-12 00:00:00
1610413200000,0.02568,0.02608,0.02505,0.02585,13829111.2,2021-01-12 01:00:00
1610416800000,0.02582,0.02641,0.02567,0.02628,14310173.4,2021-01-12 02:00:00
1610420400000,0.02633,0.02657,0.02598,0.02641,18922370.1,2021-01-12 03:00:00
1610424000000,0.02647,0.02683,0.0263,0.02679,10549286.9,2021-01-12 04:00:00
1610427600000,0.02673,0.02755,0.02667,0.02749,12319594.4,2021-01-12 05:00:00
1610431200000,0.02748,0.0289,0.02746,0.02798,14802475.1,2021-01-12 06:00:00
1610434800000,0.02794,0.02805,0.02715,0.02776,11742361.6,2021-01-12 07:00:00
1610438400000,0.02771,0.02788,0.02702,0.02721,7735729.7,2021-01-12 08:00:00
1610442000000,0.02718,0.02785,0.02698,0.02761,14240521.7,2021-01-12 09:00:00
1610445600000,0.02756,0.02776,0.02644,0.02688,18561363.4,2021-01-12 10:00:00
1610449200000,0.02685,0.0272,0.02665,0.0269,12240434.5,2021-01-12 11:00:00
1610452800000,0.02689,0.0272,0.02668,0.0269,12580526.5,2021-01-12 12:00:00
1610456400000,0.02696,0.02708,0.02565,0.02566,19102431.8,2021-01-12 13:00:00
1610460000000,0.02572,0.02612,0.02501,0.02547,20389409.6,2021-01-12 14:00:00
1610463600000,0.02551,0.02612,0.02547,0.02604,11642173.3,2021-01-12 15:00:00
1610467200000,0.02604,0.02689,0.02585,0.02664,23912939.7,2021-01-12 16:00:00
1610470800000,0.02669,0.02724,0.02661,0.02716,11595796.6,2021-01-12 17:00:00
1610474400000,0.02717,0.02743,0.02701,0.02723,5938487.0,2021-01-12 18:00:00
1610478000000,0.02727,0.02727,0.0265,0.02663,10789327.7,2021-01-12 19:00:00
1610481600000,0.02665,0.02671,0.02627,0.02668,7830038.8,2021-01-12 20:00:00
1610485200000,0.02664,0.02668,0.02586,0.02649,5605694.8,2021-01-12 21:00:00
1610488800000,0.0265,0.02668,0.0258,0.02587,9068176.1,2021-01-12 22:00:00
1610492400000,0.0259,0.02618,0.02524,0.02609,10467735.2,2021-01-12 23:00:00
1610496000000,0.02608,0.02608,0.02467,0.02474,13011720.5,2021-01-13 00:00:00
1610499600000,0.02481,0.0259,0.0247,0.02546,16716251.7,2021-01-13 01:00:00
1610503200000,0.02547,0.0257,0.02493,0.02535,11102389.5,2021-01-13 02:00:00
1610506800000,0.02534,0.02584,0.02527,0.02559,10774355.1,2021-01-13 03:00:00
1610510400000,0.0256,0.02563,0.02512,0.02526,4997106.7,2021-01-13 04:00:00
