time,open,high,low,close,vol,time_stamp
1620855120000,1.3086,1.3091,1.3059,1.3075,23079.88,2021-05-12 21:32:00
1620855180000,1.3065,1.3073,1.306,1.3066,1393.16,2021-05-12 21:33:00
1620855240000,1.3069,1.3085,1.3038,1.3083,33184.31,2021-05-12 21:34:00
1620855300000,1.3075,1.3083,1.3056,1.3065,2598.88,2021-05-12 21:35:00
1620855360000,1.3056,1.3081,1.3052,1.3077,6534.64,2021-05-12 21:36:00
1620855420000,1.3083,1.3094,1.3082,1.3088,2767.9,2021-05-12 21:37:00
1620855480000,1.3094,1.3094,1.307,1.307,5891.66,2021-05-12 21:38:00
1620855540000,1.3072,1.3073,1.306,1.3069,796.28,2021-05-12 21:39:00
1620855600000,1.3075,1.3092,1.3072,1.3075,2200.49,2021-05-12 21:40:00
1620855660000,1.3071,1.3082,1.307,1.3073,990.43,2021-05-12 21:41:00
1620855720000,1.3074,1.3091,1.3074,1.3087,2683.59,2021-05-12 21:42:00
1620855780000,1.309,1.309,1.3077,1.3077,1202.55,2021-05-12 21:43:00
1620855840000,1.3074,1.3075,1.3062,1.3074,15447.04,2021-05-12 21:44:00
1620855900000,1.3072,1.3097,1.3067,1.3084,9287.9,2021-05-12 21:45:00
1620855960000,1.3087,1.3087,1.306,1.306,3153.68,2021-05-12 21:46:00
1620856020000,1.306,1.3083,1.306,1.3071,6438.17,2021-05-12 21:47:00
1620856080000,1.3077,1.309,1.3072,1.3081,4985.08,2021-05-12 21:48:00
1620856140000,1.3079,1.3086,1.3073,1.3073,3824.06,2021-05-12 21:49:00
1620856200000,1.3078,1.3087,1.3049,1.3049,3837.7,2021-05-12 21:50:00
1620856260000,1.3043,1.3052,1.3028,1.3028,3312.94,2021-05-12 21:51:00
1620856320000,1.303,1.3053,1.3022,1.3029,12597.3,2021-05-12 21:52:00
1620856380000,1.3026,1.3039,1.3017,1.3033,2347.13,2021-05-12 21:53:00
1620856440000,1.3019,1.3033,1.2994,1.3011,26367.37,2021-05-12 21:54:00
1620856500000,1.301,1.306,1.3003,1.3038,8491.39,2021-05-12 21:55:00
1620856560000,1.3038,1.3052,1.3025,1.3052,9752.33,2021-05-12 21:56:00
1620856620000,1.3045,1.3056,1.3039,1.3056,2136.0,2021-05-12 21:57:00
1620856680000,1.305,1.3054,1.3042,1.3047,5105.82,2021-05-12 21:58:00
1620856740000,1.3053,1.3057,1.3048,1.3056,4791.59,2021-05-12 21:59:00
1620856800000,1.3057,1.3091,1.3048,1.3091,7567.0,2021-05-12 22:00:00
1620856860000,1.309,1.3109,1.309,1.3108,9146.14,2021-05-12 22:01:00
1620856920000,1.3108,1.3109,1.3077,1.3079,11729.31,2021-05-12 22:02:00
1620856980000,1.3085,1.309,1.304,1.3063,9779.54,2021-05-12 22:03:00
1620857040000,1.3071,1.3094,1.3071,1.3087,3106.5,2021-05-12 22:04:00
