time,open,high,low,close,vol,time_stamp
1620855120000,136.56,136.57,136.49,136.5,71.6857,2021-05-12 21:32:00
1620855180000,136.5,136.53,136.48,136.52,137.335,2021-05-12 21:33:00
1620855240000,136.52,136.63,136.51,136.63,222.8997,2021-05-12 21:34:00
1620855300000,136.65,136.71,136.58,136.58,295.7818,2021-05-12 21:35:00
1620855360000,136.58,136.63,136.56,136.62,171.3744,2021-05-12 21:36:00
1620855420000,136.63,136.71,136.63,136.67,49.647,2021-05-12 21:37:00
1620855480000,136.67,136.8,136.67,136.8,128.0311,2021-05-12 21:38:00
1620855540000,136.78,137.01,136.78,137.0,349.7561,2021-05-12 21:39:00
1620855600000,137.01,137.11,137.01,137.09,155.0728,2021-05-12 21:40:00
1620855660000,137.09,137.15,137.09,137.15,87.3141,2021-05-12 21:41:00
1620855720000,137.13,137.23,137.1,137.21,443.0308,2021-05-12 21:42:00
1620855780000,137.21,137.21,136.98,136.98,638.8374,2021-05-12 21:43:00
1620855840000,136.97,136.97,136.88,136.91,97.4543,2021-05-12 21:44:00
1620855900000,136.91,137.0,136.91,136.99,111.3989,2021-05-12 21:45:00
1620855960000,137.0,137.01,136.85,136.86,133.557,2021-05-12 21:46:00
1620856020000,136.86,136.89,136.86,136.87,131.558,2021-05-12 21:47:00
1620856080000,136.87,137.0,136.86,136.97,237.1165,2021-05-12 21:48:00
1620856140000,136.96,137.12,136.96,137.12,118.9019,2021-05-12 21:49:00
1620856200000,137.1,137.12,137.0,137.01,201.1009,2021-05-12 21:50:00
1620856260000,137.0,137.01,136.98,136.99,136.1804,2021-05-12 21:51:00
1620856320000,136.98,137.03,136.83,136.85,539.3195,2021-05-12 21:52:00
1620856380000,136.84,136.84,136.69,136.69,205.4333,2021-05-12 21:53:00
1620856440000,136.68,136.7,136.62,136.67,154.4187,2021-05-12 21:54:00
1620856500000,136.68,136.7,136.65,136.69,122.4617,2021-05-12 21:55:00
1620856560000,136.68,136.68,136.65,136.67,61.9548,2021-05-12 21:56:00
1620856620000,136.68,136.68,136.64,136.67,103.4354,2021-05-12 21:57:00
1620856680000,136.67,136.96,136.62,136.96,502.163,2021-05-12 21:58:00
1620856740000,136.95,136.95,136.67,136.8,2218.8487,2021-05-12 21:59:00
1620856800000,136.79,136.87,136.74,136.87,235.3351,2021-05-12 22:00:00
1620856860000,136.86,136.91,136.39,136.48,3414.58,2021-05-12 22:01:00
1620856920000,136.47,136.48,136.13,136.31,1216.8802,2021-05-12 22:02:00
1620856980000,136.32,136.41,136.25,136.36,389.5673,2021-05-12 22:03:00
1620857040000,136.36,136.41,136.32,136.4,259.4697,2021-05-12 22:04:00
1620857100000,136.4,136.49,136.39,136.44,200.4021,2021-05-12 22:05:00
1620857160000,136.43,136.5,136.4,136.5,139.5003,2021-05-12 22:06:00
1620857220000,136.5,136.5,135.8,135.8,1614.8676,2021-05-12 22:07:00
1620857280000,135.79,135.79,134.17,134.34,4773.4554,2021-05-12 22:08:00
