time,open,high,low,close,vol,time_stamp
1618455600000,36.91,38.3237,36.9051,38.3035,387875.34,2021-04-15 03:00:00
1618456500000,38.3046,38.5,37.8516,38.2709,188962.7,2021-04-15 03:15:00
1618457400000,38.259,38.5042,37.9056,38.0848,134352.34,2021-04-15 03:30:00
1618458300000,38.1,38.525,38.0829,38.3687,107795.18,2021-04-15 03:45:00
1618459200000,38.4035,38.7943,38.1097,38.5625,95639.7,2021-04-15 04:00:00
1618460100000,38.5336,38.6844,38.1589,38.3005,62507.79,2021-04-15 04:15:00
1618461000000,38.3033,38.5166,37.6998,37.983,97190.58,2021-04-15 04:30:00
1618461900000,37.9817,38.0621,37.5628,37.7355,58357.84,2021-04-15 04:45:00
1618462800000,37.7377,37.9756,37.6906,37.7813,29595.51,2021-04-15 05:00:00
1618463700000,37.7847,37.8767,37.561,37.6483,32462.34,2021-04-15 05:15:00
1618464600000,37.6437,37.9999,37.5909,37.8076,32965.88,2021-04-15 05:30:00
1618465500000,37.8102,38.0693,37.7278,38.0263,32802.31,2021-04-15 05:45:00
1618466400000,38.0186,38.578,37.7401,37.8706,62512.05,2021-04-15 06:00:00
1618467300000,37.8599,38.1154,37.6783,37.7192,65565.23,2021-04-15 06:15:00
1618468200000,37.708,38.3951,37.4997,38.1802,70556.31,2021-04-15 06:30:00
1618469100000,38.1833,38.4148,38.0,38.1948,42300.11,2021-04-15 06:45:00
1618470000000,38.1973,38.22,37.743,37.9334,49856.64,2021-04-15 07:00:00
1618470900000,37.9396,38.3231,37.8659,38.3049,40892.29,2021-04-15 07:15:00
1618471800000,38.3213,39.0,38.1728,38.7489,182405.2,2021-04-15 07:30:00
1618472700000,38.7476,39.2,37.9507,38.1,201777.97,2021-04-15 07:45:00
1618473600000,38.0639,38.287,37.8,37.8221,98689.12,2021-04-15 08:00:00
1618474500000,37.824,37.8661,37.2169,37.5131,91142.68,2021-04-15 08:15:00
1618475400000,37.5295,37.6925,37.4286,37.6134,55159.54,2021-04-15 08:30:00
1618476300000,37.5995,37.9136,37.4751,37.587,53492.0,2021-04-15 08:45:00
1618477200000,37.5586,37.7771,37.3842,37.5423,57730.04,2021-04-15 09:00:00
1618478100000,37.5417,37.7467,37.4984,37.6911,40554.47,2021-04-15 09:15:00
1618479000000,37.682,37.9257,37.682,37.827,25815.61,2021-04-15 09:30:00
1618479900000,37.8221,37.8726,37.6897,37.7175,18414.25,2021-04-15 09:45:00
1618480800000,37.7175,37.8681,37.1745,37.1942,35188.22,2021-04-15 10:00:00
1618481700000,37.2035,37.3991,36.9184,37.1686,75908.91,2021-04-15 10:15:00
1618482600000,37.1425,37.3063,37.0,37.3057,24054.24,2021-04-15 10:30:00
1618483500000,37.2908,37.3333,36.77,36.8643,82395.3,2021-04-15 10:45:00
1618484400000,36.86,37.0405,36.5544,36.9163,47726.58,2021-04-15 11:00:00
1618485300000,36.9232,37.1874,36.913,37.1716,25771.38,2021-04-15 11:15:00
1618486200000,37.1841,37.4185,37.1534,37.3956,49987.11,2021-04-15 11:30:00
1618487100000,37.3956,37.5014,37.2834,37.473,39319.26,2021-04-15 11:45:00
1618488000000,37.4997,38.186,37.4749,37.9777,123018.55,2021-04-15 12:00:00
