date,open,high,low,close,volume,amount,turn,pctChg
1997-06-26,1.9645768000,2.0030399000,1.7766993500,1.7974102500,31887149,397037526.1700,59.126922,97.560970
1997-06-27,1.7974102500,1.9778909500,1.7796580500,1.9778909500,18327942,240038394.6200,33.984688,10.041150
1997-07-02,2.0725693500,2.1361814000,1.8491875000,2.1228672500,15264283,209668094.1700,28.303881,7.329847
1997-07-03,2.0710900000,2.0710900000,1.9157582500,1.9409072000,6922153,92520873.5900,12.835440,-8.571432
1997-07-04,1.9083615000,1.9675355000,1.8491875000,1.8743364500,4249680,54517987.4200,7.879993,-3.429877
1997-07-07,1.8639810000,1.8743364500,1.6864590000,1.6864590000,2895450,34111158.0300,5.368904,-10.023680
1997-07-08,1.6435578500,1.6864590000,1.5178131000,1.6213676000,4414282,46952872.6700,8.185207,-3.859646
1997-07-09,1.6065741000,1.6835003000,1.5089370000,1.6775829000,3206879,34596579.4800,5.946373,3.467155
1997-07-10,1.6539133000,1.6982938000,1.5976980000,1.6006567000,2332659,25840056.7200,4.325346,-4.585542
1997-07-11,1.5976980000,1.7264014500,1.5533175000,1.7204840500,2960273,33327502.0700,5.489103,7.486141
1997-07-14,1.7204840500,1.8196005000,1.7130873000,1.7500710500,4084730,48488789.8400,7.574133,1.719689
1997-07-15,1.7456330000,1.7500710500,1.6761035500,1.7278808000,2382768,27526383.8600,4.418261,-1.267960
1997-07-16,1.7234427500,1.7234427500,1.6361611000,1.6716655000,2069847,23248128.5200,3.838025,-3.253426
1997-07-17,1.6568720000,1.7086492500,1.6302437000,1.6775829000,1657141,18738372.2000,3.072763,0.353982
1997-07-18,1.6775829000,1.7160460000,1.6317230500,1.6982938000,1486251,16832785.8100,2.755889,1.234563
1997-07-21,1.6864590000,1.6982938000,1.6272850000,1.6539133000,1439600,16137230.0800,2.669386,-2.613234
1997-07-22,1.6568720000,1.7752200000,1.6479959000,1.7648645500,4591336,54231027.4400,8.513510,6.708407
1997-07-23,1.8062863500,1.8225592000,1.7175253500,1.7308395000,3012725,36089554.3500,5.586362,-1.927917
1997-07-24,1.7308395000,1.7382362500,1.6716655000,1.6790622500,1164200,13401518.6800,2.158724,-2.991448
1997-07-25,1.6568720000,1.6997731500,1.6494752500,1.6716655000,919650,10403136.3500,1.705266,-0.440530
1997-07-28,1.6435578500,1.6864590000,1.5976980000,1.6065741000,923910,10253128.3000,1.713165,-3.893810
1997-07-29,1.5976980000,1.6716655000,1.5888219000,1.6553926500,709586,7841527.6600,1.315754,3.038673
1997-07-30,1.6420785000,1.7012525000,1.6272850000,1.6849796500,649450,7331507.6000,1.204246,1.787317
1997-07-31,1.6879383500,1.6982938000,1.6539133000,1.6701861500,655100,7390896.2000,1.214723,-0.877966
1997-08-01,1.6642687500,1.6790622500,1.6494752500,1.6716655000,742491,8357763.4300,1.376768,0.088576
1997-08-04,1.6642687500,1.7278808000,1.6287643500,1.7264014500,1373702,15720189.6700,2.547195,3.274335
1997-08-05,1.7456330000,1.7678232500,1.7012525000,1.7086492500,1311420,15389971.5800,2.431708,-1.028277
1997-08-06,1.6953351000,1.7012525000,1.6494752500,1.6583513500,905312,10207602.8500,1.678680,-2.943724
1997-08-07,1.6302437000,1.6835003000,1.6154502000,1.6805416000,672904,7481686.8800,1.247736,1.338088
1997-08-08,1.6731448500,1.6790622500,1.6243263000,1.6376404500,1018908,11328260.4600,1.889316,-2.552817
1997-08-11,1.6272850000,1.6272850000,1.5163337500,1.5385240000,1546500,16265893.0500,2.867606,-6.052394
1997-08-12,1.5089370000,1.5607142500,1.4956228500,1.5030196000,803800,8327105.7900,1.490451,-2.307690
1997-08-13,1.5044989500,1.5385240000,1.4423662500,1.4497630000,699800,7084314.0000,1.297608,-3.543304
1997-08-14,1.4216553500,1.4823087000,1.4216553500,1.4778706500,763598,7522856.2000,1.415906,1.938771
1997-08-15,1.4941435000,1.5089370000,1.4571597500,1.4675152000,600100,6017572.5000,1.112739,-0.700698
1997-08-18,1.4734326000,1.4734326000,1.3314150000,1.3491672000,603510,5641350.3300,1.119062,-8.064518
1997-08-19,1.3462085000,1.3994651000,1.3462085000,1.3624813500,438700,4063271.2400,0.813462,0.986844
