coin,time_period,coin_yield,strategy_yield,drawdown,is_win
"LTC,DOT",10,"3.109,13.233",11.617,36.999,False
"LTC,BNB",10,"3.109,42.908",43.233,76.067,False
"LTC,BTC",10,"3.109,8.396",0.998,0.0,False
"LTC,CAKE",10,"3.109,1.273",0.92,61.088,False
"LTC,FIL",10,"3.109,2.601",10.481,58.367,False
"LTC,UNI",10,"3.109,10.2",0.961,94.742,False
"LTC,XRP",10,"3.109,3.466",3.382,76.743,False
"LTC,ETH",10,"3.109,4.725",0.998,0.0,False
"LTC,EOS",10,"3.109,0.807",0.998,0.0,False
"LTC,KSM",10,"3.109,10.041",10.359,53.004,False
"LTC,ADA",10,"3.109,7.418",0.998,0.0,False
"DOT,BNB",10,"13.233,42.908",43.233,76.067,False
"DOT,BTC",10,"13.233,8.396",8.491,63.341,False
"DOT,CAKE",10,"13.233,1.273",0.92,61.088,False
"DOT,FIL",10,"13.233,2.601",4.185,60.786,False
"DOT,UNI",10,"13.233,10.2",0.963,94.54,False
"DOT,XRP",10,"13.233,3.466",3.382,76.743,False
"DOT,ETH",10,"13.233,4.725",4.618,82.524,False
"DOT,EOS",10,"13.233,0.807",0.789,79.887,False
"DOT,KSM",10,"13.233,10.041",6.641,40.264,False
"DOT,ADA",10,"13.233,7.418",7.472,87.197,False
"BNB,BTC",10,"42.908,8.396",1.008,0.0,False
"BNB,CAKE",10,"42.908,1.273",0.927,64.195,False
"BNB,FIL",10,"42.908,2.601",63.912,55.118,False
"BNB,UNI",10,"42.908,10.2",0.97,94.742,False
"BNB,XRP",10,"42.908,3.466",3.382,76.743,False
"BNB,ETH",10,"42.908,4.725",1.008,0.0,False
"BNB,EOS",10,"42.908,0.807",1.008,0.0,False
"BNB,KSM",10,"42.908,10.041",76.83,47.103,False
"BNB,ADA",10,"42.908,7.418",1.008,0.0,False
"BTC,CAKE",10,"8.396,1.273",0.92,61.088,False
"BTC,FIL",10,"8.396,2.601",11.904,58.264,False
"BTC,UNI",10,"8.396,10.2",0.963,94.54,False
"BTC,XRP",10,"8.396,3.466",3.382,76.743,False
"BTC,ETH",10,"8.396,4.725",4.618,82.524,False
"BTC,EOS",10,"8.396,0.807",0.789,79.887,False
"BTC,KSM",10,"8.396,10.041",14.705,32.377,False
"BTC,ADA",10,"8.396,7.418",7.472,87.197,False
"CAKE,FIL",10,"1.273,2.601",4.094,25.769,False
"CAKE,UNI",10,"1.273,10.2",9.261,29.203,False
"CAKE,XRP",10,"1.273,3.466",3.382,76.743,False
"CAKE,ETH",10,"1.273,4.725",2.126,27.408,False
