date,open,high,low,close,volume,amount,turn,pctChg,adjustflag,flag
2017-03-15,8.93350426,9.14752175,8.87137015,9.07848385,10584644,138856012.0,1.020384,1.5444,2,
2017-03-16,9.0439649,9.13371417,9.00944595,9.03706111,5201528,68167748.0,0.501439,-0.45627,2,f
2017-03-17,9.08538764,9.10609901,8.93350426,8.974927,3953650,51635954.0,0.381141,-0.687549,2,
2017-03-20,8.974927,9.0439649,8.9058891,8.96802321,3454469,44829225.0,0.333019,-0.076925,2,
2017-03-21,9.03706111,9.03706111,8.86446636,8.99563837,6111787,79309146.0,0.58919,0.307929,2,
2017-03-22,8.96111942,9.02325353,8.82304362,8.82304362,5494418,71033899.0,0.529674,-1.918649,2,
2017-03-23,8.81613983,8.94731184,8.6987754,8.94731184,4315985,55250119.0,0.416071,1.408453,2,
2017-03-24,8.91279289,9.3201165,8.9058891,9.25798239,13454911,178182003.0,1.297084,3.472221,2,
2017-03-27,9.32702029,9.63078705,9.21655965,9.49271125,19374011,265096580.0,1.867699,2.535423,2,
2017-03-28,9.47890367,9.97597655,9.44438472,9.94836139,31099770,441625664.0,2.998089,4.799999,2,
2017-03-29,9.9414576,10.25212815,9.69292116,9.8724197,19288312,276926656.0,1.859437,-0.763356,2,
2017-03-30,9.76886285,10.05882203,9.71363253,9.74124769,16079050,229497733.0,1.550057,-1.328675,2,
2017-03-31,9.72744011,9.85861212,9.44438472,9.62388326,11522480,160135025.0,1.110793,-1.20482,2,
2017-04-05,9.63078705,9.90003486,9.5272302,9.83790075,11461254,161626160.0,1.104891,2.223819,2,
2017-04-06,9.84480454,10.11405235,9.67911358,10.07262961,23047881,332030848.0,2.221868,2.385966,2,
2017-04-07,10.0104955,10.27283952,9.94836139,10.24522436,20701956,304559952.0,1.995716,1.713502,2,
2017-04-10,10.2866471,10.5627987,10.05191824,10.1485713,19221021,284638016.0,1.85295,-0.943399,2,
2017-04-11,10.06572582,10.20380162,9.90693865,10.05191824,18583457,269952000.0,1.791488,-0.952377,2,
2017-04-12,9.98288034,10.4247229,9.9414576,10.22451299,17274398,257012978.0,1.665291,1.717033,2,
2017-04-13,10.23832057,10.34187742,10.1485713,10.2176092,6391735,94634742.0,0.616178,-0.067523,2,
2017-04-14,10.12095614,10.32116605,10.03120687,10.25903194,8522263,125391567.0,0.821566,0.405402,2,
2017-04-17,10.1485713,10.355685,10.04501445,10.31426226,7958903,118146967.0,0.767256,0.538358,2,
2017-04-18,10.2866471,10.33497363,10.18309025,10.23832057,7810388,115956123.0,0.752939,-0.736276,2,
2017-04-19,10.18309025,10.2176092,9.8033818,10.15547509,13093387,189642638.0,1.262232,-0.80917,2,
2017-04-20,10.03811066,10.31426226,10.03811066,10.11405235,8020720,118064237.0,0.773216,-0.407889,2,
2017-04-21,10.06572582,10.2866471,9.9414576,10.03120687,5784342,84798531.0,0.557624,-0.819112,2,
2017-04-24,10.0104955,10.03120687,9.71363253,9.91384244,6691034,95532456.0,0.645031,-1.169994,2,
2017-04-25,9.91385535,10.12802226,9.82404342,10.07966199,6861892,99272187.0,0.661502,1.672472,2,
2017-04-26,10.11420504,10.32146334,10.02439311,10.16256531,7910186,116801208.0,0.762874,0.82248,2,
2017-04-27,10.16256531,10.21092558,10.02439311,10.03821033,5991600,87757252.0,0.577842,-1.223659,2,
2017-04-28,10.01057589,10.27310307,9.88622091,10.25928585,7743227,113218851.0,0.734835,2.202344,2,
2017-05-02,10.26619446,10.48726998,10.1556567,10.19019975,6995967,104391900.0,0.663919,-0.673403,2,
2017-05-03,10.16256531,10.21783419,9.96912423,10.14183948,4991287,73024039.0,0.473675,-0.474574,2,
2017-05-04,10.16256531,10.25928585,10.0174845,10.20401697,5506219,81006291.0,0.522542,0.61308,2,
2017-05-05,10.19019975,10.23856002,9.9483984,10.12802226,8069196,117637912.0,0.765769,-0.744757,2,
2017-05-08,10.14183948,10.16947392,9.83786064,10.0174845,6305196,91201524.0,0.598365,-1.091404,2,
2017-05-09,10.10729643,10.14183948,9.90003813,10.02439311,8730531,126499170.0,0.82853,0.068967,2,
2017-05-10,9.99675867,10.05893616,9.92767257,10.03130172,5866454,84856348.0,0.556728,0.06892,2,
2017-05-11,9.96221562,10.07275338,9.90003813,10.02439311,5746469,82927964.0,0.545342,-0.068872,2,
2017-05-12,9.96912423,10.34909778,9.9483984,10.34218917,7791735,114933029.0,0.739438,3.170228,2,
2017-05-15,10.4320011,10.69452828,10.27310307,10.28001168,10097018,153052931.0,0.95821,-0.601203,2,
2017-05-16,10.23165141,10.60471635,10.0174845,10.53563025,14350342,214903024.0,1.361852,2.486558,2,
