币名,周期,周期线类型,币自身回报,策略回报,策略是否跑赢大盘
BNB,90,SMA,27.0550553,42.03124959,TRUE
BNB,50,SMA,27.82532675,39.63289955,TRUE
BNB,120,SMA,28.67255954,35.08148204,TRUE
BNB,90,EMA,27.0550553,28.86202068,TRUE
BNB,60,SMA,24.66045187,28.52379287,TRUE
BNB,30,SMA,19.83052844,24.8494882,TRUE
BNB,50,EMA,27.82532675,24.61633333,FALSE
BNB,60,EMA,24.66045187,24.11494769,FALSE
BNB,240,EMA,27.52352565,24.08109236,FALSE
BNB,120,EMA,28.67255954,22.81905219,FALSE
BNB,30,EMA,19.83052844,20.47511504,TRUE
BNB,240,SMA,27.52352565,19.90685761,FALSE
BNB,20,EMA,22.23537761,19.09440238,FALSE
BNB,5,SMA,19.13954096,18.74032627,FALSE
BNB,20,SMA,22.23537761,16.03948834,FALSE
BNB,3,EMA,19.69592297,16.01636474,FALSE
BTC,120,SMA,8.846976798,14.09938233,TRUE
BNB,5,EMA,19.13954096,13.84509368,FALSE
BTC,60,SMA,7.988501272,13.27629651,TRUE
BNB,10,EMA,22.33929837,12.23951981,FALSE
ETH,90,EMA,7.299132824,11.95155601,TRUE
BTC,50,SMA,8.643373457,11.48602246,TRUE
ETH,20,SMA,3.716659016,11.04872309,TRUE
BTC,90,SMA,8.452194725,10.97481106,TRUE
BTC,90,EMA,8.452194725,10.95950665,TRUE
BTC,120,EMA,8.846976798,10.83745798,TRUE
BNB,10,SMA,22.33929837,9.59937261,FALSE
ETH,120,EMA,8.618948649,9.237986377,TRUE
BTC,50,EMA,8.643373457,9.235129514,TRUE
BTC,60,EMA,7.988501272,8.851648,TRUE
BTC,240,SMA,14.66946913,8.747676875,FALSE
ETH,30,SMA,4.044290098,8.498174513,TRUE
ETH,50,EMA,6.046228797,8.198622404,TRUE
BTC,240,EMA,14.66946913,7.977782859,FALSE
ETH,60,EMA,6.041931701,7.872899072,TRUE
LTC,60,SMA,2.957930368,7.204531811,TRUE
BTC,20,SMA,7.574124485,7.14187426,FALSE
BNB,3,SMA,19.69592297,7.134899375,FALSE
LTC,90,SMA,2.998039536,7.059379481,TRUE
ETH,30,EMA,4.044290098,6.905678427,TRUE
BTC,30,SMA,7.365174671,6.900623863,FALSE
ETH,20,EMA,3.716659016,6.897136562,TRUE
ETH,90,SMA,7.299132824,6.698066303,FALSE
DOT,90,SMA,7.43188897,6.670646231,FALSE
BTC,10,EMA,8.96063239,6.628768705,FALSE
LTC,50,EMA,3.252570011,6.59753577,TRUE
BTC,20,EMA,7.574124485,6.340009179,FALSE
ETH,50,SMA,6.046228797,6.303371839,TRUE
BTC,3,EMA,8.578242357,6.184339676,FALSE
DOT,120,EMA,6.193926438,6.183587215,FALSE
LTC,30,EMA,2.366954727,6.118823526,TRUE
LTC,50,SMA,3.252570011,6.100935876,TRUE
DOT,90,EMA,7.43188897,6.033508764,FALSE
