币名,短均线周期,长均线周期,币自身回报,策略回报,策略是否跑赢大盘
BNB,3,5,20.169976035604243,13.066652203057718,False
BNB,3,10,21.35681920267299,10.040236913744183,False
BNB,5,10,21.35681920267299,10.686166553908684,False
BNB,3,20,22.277415642595866,32.786888368949334,True
BNB,5,20,22.277415642595866,34.3550032965073,True
BNB,10,20,22.277415642595866,49.013539732233056,True
BNB,3,30,19.584337784714997,34.87453020200847,True
BNB,5,30,19.584337784714997,26.19040243376391,True
BNB,10,30,19.584337784714997,33.34362684989571,True
BNB,20,30,19.584337784714997,26.051337223363927,True
BNB,3,60,25.117554379558662,38.711442765690066,True
BNB,5,60,25.117554379558662,39.11458976737614,True
BNB,10,60,25.117554379558662,36.37014910160137,True
BNB,20,60,25.117554379558662,45.02687487108167,True
BNB,30,60,25.117554379558662,35.46725922071155,True
BNB,50,60,25.117554379558662,28.333521228362628,True
BNB,3,90,27.101589999999998,32.0062870828559,True
BNB,5,90,27.101589999999998,30.262593306474283,True
BNB,10,90,27.101589999999998,23.61224573760678,False
BNB,20,90,27.101589999999998,29.74288403276452,True
BNB,30,90,27.101589999999998,32.68942286521894,True
BNB,50,90,27.101589999999998,24.009430826803676,False
BNB,60,90,27.101589999999998,27.34150172174731,True
BNB,3,120,28.67407634686191,41.02000697519455,True
BNB,5,120,28.67407634686191,41.18889803500038,True
BNB,10,120,28.67407634686191,29.125074250571835,True
BNB,20,120,28.67407634686191,26.581143475913077,False
BNB,30,120,28.67407634686191,32.55792348709579,True
BNB,50,120,28.67407634686191,23.61769824932747,False
BNB,60,120,28.67407634686191,25.34303760793138,False
BNB,90,120,28.67407634686191,21.518559887419215,False
BNB,3,180,46.088787987007464,32.7350918698549,False
BNB,5,180,46.088787987007464,26.874958932064484,False
BNB,10,180,46.088787987007464,17.20146976536122,False
BNB,20,180,46.088787987007464,15.184067372153043,False
BNB,30,180,46.088787987007464,13.32647448227979,False
BNB,50,180,46.088787987007464,11.733187999178636,False
BNB,60,180,46.088787987007464,12.380676909294333,False
BNB,90,180,46.088787987007464,19.463842133838174,False
BNB,120,180,46.088787987007464,12.033863146808562,False
BNB,3,240,28.758664233111908,18.10430752016699,False
BNB,5,240,28.758664233111908,18.459960055635605,False
BNB,10,240,28.758664233111908,18.256606627751673,False
BNB,20,240,28.758664233111908,21.390453324551732,False
BNB,30,240,28.758664233111908,12.065779535464825,False
BNB,50,240,28.758664233111908,8.632581212754948,False
BNB,60,240,28.758664233111908,16.763067440438206,False
BNB,90,240,28.758664233111908,16.411274652334242,False
BNB,120,240,28.758664233111908,13.354490778541138,False
BNB,180,240,28.758664233111908,10.832281643768017,False
BNB,3,360,7.503520356603957,5.291330401664288,False
BNB,5,360,7.503520356603957,3.9530549385658222,False
BNB,10,360,7.503520356603957,2.997825077835279,False
BNB,20,360,7.503520356603957,3.9567995527813378,False
BNB,30,360,7.503520356603957,4.447144073373441,False
BNB,50,360,7.503520356603957,6.6801500443431046,False
BNB,60,360,7.503520356603957,7.3025490535603685,False
BNB,90,360,7.503520356603957,5.549385121498076,False
BNB,120,360,7.503520356603957,4.958541916696164,False
BNB,180,360,7.503520356603957,4.016832961824687,False
BNB,240,360,7.503520356603957,8.689677612678008,True
BTC,3,5,8.47365196171134,5.200091967753832,False
BTC,3,10,8.781506004167404,5.377750192796366,False
BTC,5,10,8.781506004167404,5.826477069533402,False
BTC,3,20,7.569559076933473,9.661116475934527,True
BTC,5,20,7.569559076933473,7.401032358310956,False
BTC,10,20,7.569559076933473,9.004106600927427,True
BTC,3,30,7.240363148893373,8.579471762016556,True
BTC,5,30,7.240363148893373,8.970619663004788,True
BTC,10,30,7.240363148893373,8.65918423453169,True
BTC,20,30,7.240363148893373,6.945120188708205,False
BTC,3,60,8.018660413123278,12.058905860372812,True
BTC,5,60,8.018660413123278,11.991082333138102,True
BTC,10,60,8.018660413123278,10.07940473395232,True
BTC,20,60,8.018660413123278,11.23222412099458,True
BTC,30,60,8.018660413123278,9.323483054560587,True
BTC,50,60,8.018660413123278,5.863702955509759,False
BTC,3,90,8.489231030395626,13.77704716134445,True
BTC,5,90,8.489231030395626,13.519978476281473,True
BTC,10,90,8.489231030395626,13.234348090579132,True
BTC,20,90,8.489231030395626,8.13162232489261,False
BTC,30,90,8.489231030395626,7.043670673098274,False
BTC,50,90,8.489231030395626,9.55921832938656,True
BTC,60,90,8.489231030395626,7.8248927644145,False
BTC,3,120,8.827970683268973,14.303285987879825,True
BTC,5,120,8.827970683268973,14.256858948058305,True
BTC,10,120,8.827970683268973,8.487994670810876,False
BTC,20,120,8.827970683268973,7.341961825294801,False
BTC,30,120,8.827970683268973,9.735059258516483,True
BTC,50,120,8.827970683268973,8.664639976745814,False
BTC,60,120,8.827970683268973,8.285712008316477,False
BTC,90,120,8.827970683268973,9.922800241394977,True
BTC,3,180,14.589492055222713,8.552433678189079,False
BTC,5,180,14.589492055222713,8.985155158500636,False
BTC,10,180,14.589492055222713,5.176486658575289,False
BTC,20,180,14.589492055222713,5.7654406191912555,False
BTC,30,180,14.589492055222713,6.068035127225451,False
BTC,50,180,14.589492055222713,5.221162366410301,False
BTC,60,180,14.589492055222713,6.517411886042324,False
BTC,90,180,14.589492055222713,9.370716222702711,False
BTC,120,180,14.589492055222713,12.126350882534984,False
BTC,3,240,14.703203467294601,7.333401112462256,False
BTC,5,240,14.703203467294601,7.713222912765417,False
BTC,10,240,14.703203467294601,7.127027277354765,False
BTC,20,240,14.703203467294601,6.14314151266918,False
BTC,30,240,14.703203467294601,4.26733385593851,False
BTC,50,240,14.703203467294601,5.059892507810556,False
BTC,60,240,14.703203467294601,4.8948458067974805,False
BTC,90,240,14.703203467294601,5.946069093485647,False
BTC,120,240,14.703203467294601,5.430004736176145,False
BTC,180,240,14.703203467294601,5.3790534034068,False
BTC,3,360,4.276029554799907,3.6906068200522824,False
BTC,5,360,4.276029554799907,3.805392832332211,False
BTC,10,360,4.276029554799907,2.094625218411601,False
BTC,20,360,4.276029554799907,2.5272389597540164,False
BTC,30,360,4.276029554799907,2.2596749723565446,False
BTC,50,360,4.276029554799907,2.4576660932479863,False
BTC,60,360,4.276029554799907,3.0967329686392318,False
BTC,90,360,4.276029554799907,2.7444986416646127,False
BTC,120,360,4.276029554799907,4.459533710690388,True
BTC,180,360,4.276029554799907,2.275444584019128,False
BTC,240,360,4.276029554799907,2.711252047655398,False
DOT,3,5,11.431500334660234,4.477456123427074,False
DOT,3,10,5.345358107662911,1.355051745665405,False
DOT,5,10,5.345358107662911,0.9207156301075394,False
DOT,3,20,7.827720957159398,3.9363575602682026,False
DOT,5,20,7.827720957159398,3.5801797402423916,False
DOT,10,20,7.827720957159398,4.800027777133747,False
DOT,3,30,6.421410903334324,5.438019384577235,False
DOT,5,30,6.421410903334324,4.142659180379948,False
DOT,10,30,6.421410903334324,6.1421793451548465,False
DOT,20,30,6.421410903334324,4.379820145485143,False
DOT,3,60,7.9167113930226884,6.794673094241207,False
DOT,5,60,7.9167113930226884,7.336619113291585,False
DOT,10,60,7.9167113930226884,7.143775454045129,False
DOT,20,60,7.9167113930226884,7.143775454045129,False
DOT,30,60,7.9167113930226884,7.213969721894938,False
DOT,50,60,7.9167113930226884,6.169205238159024,False
DOT,3,90,7.26679505553565,6.681339949350408,False
DOT,5,90,7.26679505553565,6.681339949350408,False
DOT,10,90,7.26679505553565,6.204703632887189,False
DOT,20,90,7.26679505553565,5.491445687306449,False
DOT,30,90,7.26679505553565,6.120675996831264,False
DOT,50,90,7.26679505553565,6.3871589969688625,False
DOT,60,90,7.26679505553565,6.263869049916999,False
DOT,3,120,6.62554616358365,6.193926437746942,False
DOT,5,120,6.62554616358365,6.193926437746942,False
DOT,10,120,6.62554616358365,6.193926437746942,False
DOT,20,120,6.62554616358365,6.193926437746942,False
DOT,30,120,6.62554616358365,6.193926437746942,False
DOT,50,120,6.62554616358365,6.193926437746942,False
DOT,60,120,6.62554616358365,6.193926437746942,False
DOT,90,120,6.62554616358365,3.5036655545838324,False
DOT,3,180,1.1325652739919658,1.1615884652281612,True
DOT,5,180,1.1325652739919658,1.1615884652281612,True
DOT,10,180,1.1325652739919658,1.1615884652281612,True
DOT,20,180,1.1325652739919658,1.1615884652281612,True
DOT,30,180,1.1325652739919658,1.1615884652281612,True
DOT,50,180,1.1325652739919658,1.1615884652281612,True
DOT,60,180,1.1325652739919658,1.1615884652281612,True
DOT,90,180,1.1325652739919658,1.1615884652281612,True
DOT,120,180,1.1325652739919658,1.1615884652281612,True
EOS,3,5,0.47662783837869727,1.2480709499244123,True
EOS,3,10,0.5749288385332366,0.8499788346094058,True
EOS,5,10,0.5749288385332366,1.7515569905914237,True
EOS,3,20,0.5154430253067964,1.1372773044140514,True
EOS,5,20,0.5154430253067964,1.5201408318845058,True
EOS,10,20,0.5154430253067964,1.0665897537659574,True
EOS,3,30,0.5619978995321686,0.754422841504792,True
EOS,5,30,0.5619978995321686,0.6921995138368596,True
EOS,10,30,0.5619978995321686,0.8152836623697312,True
EOS,20,30,0.5619978995321686,0.8627725420714243,True
EOS,3,60,0.6794742830758068,1.1888287932763766,True
EOS,5,60,0.6794742830758068,1.3089346789512077,True
EOS,10,60,0.6794742830758068,1.4633739773415884,True
EOS,20,60,0.6794742830758068,1.528403874377723,True
EOS,30,60,0.6794742830758068,0.5960079502545694,False
EOS,50,60,0.6794742830758068,0.37533171344144906,False
EOS,3,90,0.7171900020887002,1.5693284262572025,True
EOS,5,90,0.7171900020887002,1.6126810215545957,True
EOS,10,90,0.7171900020887002,1.3204015724758547,True
EOS,20,90,0.7171900020887002,0.43674873029104183,False
EOS,30,90,0.7171900020887002,0.44367850232157735,False
EOS,50,90,0.7171900020887002,0.33095159737753227,False
EOS,60,90,0.7171900020887002,0.27057384737727974,False
EOS,3,120,0.7995653270719734,1.1061080801134273,True
EOS,5,120,0.7995653270719734,1.1703832474628149,True
EOS,10,120,0.7995653270719734,0.4251852595878966,False
EOS,20,120,0.7995653270719734,0.7076610266234203,False
EOS,30,120,0.7995653270719734,0.905905998039975,True
EOS,50,120,0.7995653270719734,0.7853420838968002,False
EOS,60,120,0.7995653270719734,0.9000384022663561,True
EOS,90,120,0.7995653270719734,1.0076562095865043,True
EOS,3,180,1.5840990350236437,0.7790113676287882,False
EOS,5,180,1.5840990350236437,0.7132565241000886,False
EOS,10,180,1.5840990350236437,0.38701148464782276,False
EOS,20,180,1.5840990350236437,0.5112358796780618,False
EOS,30,180,1.5840990350236437,0.4871072191572861,False
EOS,50,180,1.5840990350236437,0.3544545794503279,False
EOS,60,180,1.5840990350236437,0.2622815794247635,False
EOS,90,180,1.5840990350236437,0.4254209926705702,False
EOS,120,180,1.5840990350236437,0.474824380476431,False
EOS,3,240,1.2004428388299733,0.473339350066156,False
EOS,5,240,1.2004428388299733,0.6387873450480962,False
EOS,10,240,1.2004428388299733,0.5726185364192831,False
EOS,20,240,1.2004428388299733,0.37720840908941594,False
EOS,30,240,1.2004428388299733,0.29537831699684025,False
EOS,50,240,1.2004428388299733,0.3770087333821487,False
EOS,60,240,1.2004428388299733,0.5908900145583685,False
EOS,90,240,1.2004428388299733,0.9376621882611127,False
EOS,120,240,1.2004428388299733,0.5082445689873988,False
EOS,180,240,1.2004428388299733,0.6720471564287918,False
EOS,3,360,0.6052113627684262,0.49233697869860454,False
EOS,5,360,0.6052113627684262,0.4476731157726227,False
EOS,10,360,0.6052113627684262,0.30484731281598154,False
EOS,20,360,0.6052113627684262,0.47420409181779816,False
EOS,30,360,0.6052113627684262,0.37669213932454454,False
EOS,50,360,0.6052113627684262,0.575701898142672,False
EOS,60,360,0.6052113627684262,0.6856435563681326,True
EOS,90,360,0.6052113627684262,0.900622363208186,True
EOS,120,360,0.6052113627684262,0.5663916158943116,False
EOS,180,360,0.6052113627684262,0.8792594369524325,True
EOS,240,360,0.6052113627684262,0.9591190405104334,True
ETH,3,5,3.613883693249447,3.717622114435701,True
ETH,3,10,3.820894851569698,3.4298682591824603,False
ETH,5,10,3.820894851569698,4.411908835752457,True
ETH,3,20,3.694370206201247,10.066201886849942,True
ETH,5,20,3.694370206201247,8.04923663669109,True
ETH,10,20,3.694370206201247,13.894941486151732,True
ETH,3,30,3.9339657565941692,10.458892286165353,True
ETH,5,30,3.9339657565941692,7.2761584985941035,True
ETH,10,30,3.9339657565941692,7.427257401536276,True
ETH,20,30,3.9339657565941692,5.450501062417731,True
ETH,3,60,5.988939767523776,9.247044105019379,True
ETH,5,60,5.988939767523776,9.721244874672893,True
ETH,10,60,5.988939767523776,3.92704062422388,False
ETH,20,60,5.988939767523776,4.500347689297485,False
ETH,30,60,5.988939767523776,6.42077994583241,True
ETH,50,60,5.988939767523776,10.624506042531252,True
ETH,3,90,7.340730506864692,7.359449034611293,True
ETH,5,90,7.340730506864692,7.642752159855965,True
ETH,10,90,7.340730506864692,8.694752771218328,True
ETH,20,90,7.340730506864692,7.327660872636681,False
ETH,30,90,7.340730506864692,9.384960779979002,True
ETH,50,90,7.340730506864692,6.959841772683144,False
ETH,60,90,7.340730506864692,6.2724529412999335,False
ETH,3,120,8.632952526021834,6.505296936720992,False
ETH,5,120,8.632952526021834,10.303723734088946,True
ETH,10,120,8.632952526021834,7.7221720659890165,False
ETH,20,120,8.632952526021834,9.379479446112638,True
ETH,30,120,8.632952526021834,9.227838095210105,True
ETH,50,120,8.632952526021834,7.821780457957433,False
ETH,60,120,8.632952526021834,6.696498461866651,False
ETH,90,120,8.632952526021834,8.637591081235648,True
ETH,3,180,12.566592756836657,6.181022408629109,False
ETH,5,180,12.566592756836657,7.892973729388181,False
ETH,10,180,12.566592756836657,7.43379086021543,False
ETH,20,180,12.566592756836657,7.017948527961213,False
ETH,30,180,12.566592756836657,5.187120636713283,False
ETH,50,180,12.566592756836657,4.589596338913098,False
ETH,60,180,12.566592756836657,5.313839081245935,False
ETH,90,180,12.566592756836657,8.213628012030965,False
ETH,120,180,12.566592756836657,10.770069756961675,False
ETH,3,240,12.481720745852298,3.3514757879674706,False
ETH,5,240,12.481720745852298,3.786993050253207,False
ETH,10,240,12.481720745852298,4.076341300804031,False
ETH,20,240,12.481720745852298,4.934436886492669,False
ETH,30,240,12.481720745852298,4.346072835786297,False
ETH,50,240,12.481720745852298,6.382819196005709,False
ETH,60,240,12.481720745852298,5.615459518374936,False
ETH,90,240,12.481720745852298,6.888554467584158,False
ETH,120,240,12.481720745852298,6.680351736105465,False
ETH,180,240,12.481720745852298,4.576126256938321,False
ETH,3,360,5.007687096869202,1.9603840738916,False
ETH,5,360,5.007687096869202,1.7641567029123228,False
ETH,10,360,5.007687096869202,1.7702694439637665,False
ETH,20,360,5.007687096869202,1.3987635069299111,False
ETH,30,360,5.007687096869202,1.8213097005531933,False
ETH,50,360,5.007687096869202,1.8527460566688605,False
ETH,60,360,5.007687096869202,2.2801135986632115,False
ETH,90,360,5.007687096869202,3.8088616866251357,False
ETH,120,360,5.007687096869202,3.9675523573438345,False
ETH,180,360,5.007687096869202,4.434785240824044,False
ETH,240,360,5.007687096869202,9.795682299811316,True
FIL,3,5,3.9065763407495773,3.460182865365439,False
FIL,3,10,5.2931961508504815,3.951290688620282,False
FIL,5,10,5.2931961508504815,3.326932501268973,False
FIL,3,20,4.266767706090045,4.11216636564254,False
FIL,5,20,4.266767706090045,3.8641979532461734,False
FIL,10,20,4.266767706090045,4.146249029018611,False
FIL,3,30,4.287070418618217,4.403800222836032,True
FIL,5,30,4.287070418618217,5.009908276112835,True
FIL,10,30,4.287070418618217,5.42989809053342,True
FIL,20,30,4.287070418618217,3.529642242795351,False
FIL,3,60,4.225377395071468,5.213984012143511,True
FIL,5,60,4.225377395071468,4.569813599028228,True
FIL,10,60,4.225377395071468,2.864384157644041,False
FIL,20,60,4.225377395071468,2.864384157644041,False
FIL,30,60,4.225377395071468,3.135052753237863,False
FIL,50,60,4.225377395071468,2.9448764782077923,False
FIL,3,90,5.839875999648882,2.864384157644041,False
FIL,5,90,5.839875999648882,2.864384157644041,False
FIL,10,90,5.839875999648882,3.179112698372778,False
FIL,20,90,5.839875999648882,2.963767878077374,False
FIL,30,90,5.839875999648882,2.682327851458886,False
FIL,50,90,5.839875999648882,2.8312152270711453,False
FIL,60,90,5.839875999648882,3.5984542025478614,False
FIL,3,120,3.1807606365310868,3.135052753237863,False
FIL,5,120,3.1807606365310868,3.135052753237863,False
FIL,10,120,3.1807606365310868,3.135052753237863,False
FIL,20,120,3.1807606365310868,3.043402995136515,False
FIL,30,120,3.1807606365310868,3.018691789654679,False
FIL,50,120,3.1807606365310868,3.5641293866203494,True
FIL,60,120,3.1807606365310868,3.514639151179473,True
FIL,90,120,3.1807606365310868,2.8696839605614746,False
LTC,3,5,2.2083032490974728,0.9755479591263666,False
LTC,3,10,2.347275518035303,1.5794333589366074,False
LTC,5,10,2.347275518035303,2.853884473071048,True
LTC,3,20,2.19983217453848,6.8202791995126,True
LTC,5,20,2.19983217453848,8.787352968448529,True
LTC,10,20,2.19983217453848,9.41132262267533,True
LTC,3,30,2.32556076542897,3.6888200165184215,True
LTC,5,30,2.32556076542897,3.829700782041542,True
LTC,10,30,2.32556076542897,3.7537332177862726,True
LTC,20,30,2.32556076542897,2.3066878738384777,False
LTC,3,60,3.0518875769166804,8.068655691276126,True
LTC,5,60,3.0518875769166804,6.196066268359608,True
LTC,10,60,3.0518875769166804,5.437629314661601,True
LTC,20,60,3.0518875769166804,5.174912163379634,True
LTC,30,60,3.0518875769166804,4.649443800981642,True
LTC,50,60,3.0518875769166804,4.424993370098833,True
LTC,3,90,2.978574906670995,9.549705014393092,True
LTC,5,90,2.978574906670995,6.17783527423014,True
LTC,10,90,2.978574906670995,6.743010339644603,True
LTC,20,90,2.978574906670995,3.4056554496927207,True
LTC,30,90,2.978574906670995,2.8291486737379756,False
LTC,50,90,2.978574906670995,2.247713307602693,False
LTC,60,90,2.978574906670995,1.9073271984055815,False
LTC,3,120,3.7329129373474372,5.098779166790793,True
LTC,5,120,3.7329129373474372,4.225913437714921,True
